"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Tipus_Discapacitat","Nombre"
2016,10,"Sant Martí",65,"el Clot","Intel·lectual",159
2016,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Intel·lectual",100
2016,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Intel·lectual",36
2016,10,"Sant Martí",68,"el Poblenou","Intel·lectual",192
2016,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Intel·lectual",67
2016,10,"Sant Martí",70,"el Besòs i el Maresme","Intel·lectual",193
2016,10,"Sant Martí",71,"Provençals del Poblenou","Intel·lectual",139
2016,10,"Sant Martí",72,"Sant Martí de Provençals","Intel·lectual",177
2016,10,"Sant Martí",73,"la Verneda i la Pau","Intel·lectual",223
2016,1,"Ciutat Vella",1,"el Raval","Visuals",260
2016,1,"Ciutat Vella",2,"el Barri Gòtic","Visuals",83
2016,1,"Ciutat Vella",3,"la Barceloneta","Visuals",95
2016,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Visuals",139
2016,2,"Eixample",5,"el Fort Pienc","Visuals",168
2016,2,"Eixample",6,"la Sagrada Família","Visuals",276
2016,2,"Eixample",7,"la Dreta de l'Eixample","Visuals",235
2016,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Visuals",228
2016,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Visuals",357
2016,2,"Eixample",10,"Sant Antoni","Visuals",261
2016,3,"Sants-Montjuïc",11,"el Poble Sec","Visuals",239
2016,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Visuals",11
2016,3,"Sants-Montjuïc",13,"la Marina de Port","Visuals",199
2016,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Visuals",70
2016,3,"Sants-Montjuïc",15,"Hostafrancs","Visuals",89
2016,3,"Sants-Montjuïc",16,"la Bordeta","Visuals",104
2016,3,"Sants-Montjuïc",17,"Sants - Badal","Visuals",173
2016,3,"Sants-Montjuïc",18,"Sants","Visuals",229
2016,4,"Les Corts",19,"les Corts","Visuals",223
2016,4,"Les Corts",20,"la Maternitat i Sant Ramon","Visuals",126
2016,4,"Les Corts",21,"Pedralbes","Visuals",30
2016,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Visuals",15
2016,5,"Sarrià-Sant Gervasi",23,"Sarrià","Visuals",94
2016,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Visuals",43
2016,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Visuals",95
2016,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Visuals",179
2016,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Visuals",135
2016,6,"Gràcia",28,"Vallcarca i els Penitents","Visuals",76
2016,6,"Gràcia",29,"el Coll","Visuals",40
2016,6,"Gràcia",30,"la Salut","Visuals",63
2016,6,"Gràcia",31,"la Vila de Gràcia","Visuals",263
2016,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Visuals",174
2016,7,"Horta-Guinardó",33,"el Baix Guinardó","Visuals",168
2016,7,"Horta-Guinardó",34,"Can Baró","Visuals",57
2016,7,"Horta-Guinardó",35,"el Guinardó","Visuals",188
2016,7,"Horta-Guinardó",36,"la Font d'en Fargues","Visuals",39
2016,7,"Horta-Guinardó",37,"el Carmel","Visuals",187
2016,7,"Horta-Guinardó",38,"la Teixonera","Visuals",63
2016,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Visuals",39
2016,7,"Horta-Guinardó",40,"Montbau","Visuals",40
2016,7,"Horta-Guinardó",41,"la Vall d'Hebron","Visuals",27
2016,7,"Horta-Guinardó",42,"la Clota","Visuals",0
2016,7,"Horta-Guinardó",43,"Horta","Visuals",172
2016,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Visuals",175
2016,8,"Nou Barris",45,"Porta","Visuals",165
