"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Grups_Edat","Nombre"
2016,6,"Gràcia",31,"la Vila de Gràcia","De 65 a 74 anys",681
2016,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","De 65 a 74 anys",592
2016,7,"Horta-Guinardó",33,"el Baix Guinardó","De 65 a 74 anys",406
2016,7,"Horta-Guinardó",34,"Can Baró","De 65 a 74 anys",147
2016,7,"Horta-Guinardó",35,"el Guinardó","De 65 a 74 anys",612
2016,7,"Horta-Guinardó",36,"la Font d'en Fargues","De 65 a 74 anys",178
2016,7,"Horta-Guinardó",37,"el Carmel","De 65 a 74 anys",769
2016,7,"Horta-Guinardó",38,"la Teixonera","De 65 a 74 anys",227
2016,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","De 65 a 74 anys",138
2016,7,"Horta-Guinardó",40,"Montbau","De 65 a 74 anys",75
2016,7,"Horta-Guinardó",41,"la Vall d'Hebron","De 65 a 74 anys",100
2016,7,"Horta-Guinardó",42,"la Clota","De 65 a 74 anys",5
2016,7,"Horta-Guinardó",43,"Horta","De 65 a 74 anys",516
2016,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","De 65 a 74 anys",482
2016,8,"Nou Barris",45,"Porta","De 65 a 74 anys",545
2016,8,"Nou Barris",46,"el Turó de la Peira","De 65 a 74 anys",186
2016,8,"Nou Barris",47,"Can Peguera","De 65 a 74 anys",44
2016,8,"Nou Barris",48,"la Guineueta","De 65 a 74 anys",387
2016,8,"Nou Barris",49,"Canyelles","De 65 a 74 anys",232
2016,8,"Nou Barris",50,"les Roquetes","De 65 a 74 anys",363
2016,8,"Nou Barris",51,"Verdun","De 65 a 74 anys",277
2016,8,"Nou Barris",52,"la Prosperitat","De 65 a 74 anys",588
2016,8,"Nou Barris",53,"la Trinitat Nova","De 65 a 74 anys",146
2016,8,"Nou Barris",54,"Torre Baró","De 65 a 74 anys",59
2016,8,"Nou Barris",55,"Ciutat Meridiana","De 65 a 74 anys",279
2016,8,"Nou Barris",56,"Vallbona","De 65 a 74 anys",25
2016,9,"Sant Andreu",57,"la Trinitat Vella","De 65 a 74 anys",177
2016,9,"Sant Andreu",58,"Baró de Viver","De 65 a 74 anys",58
2016,9,"Sant Andreu",59,"el Bon Pastor","De 65 a 74 anys",251
2016,9,"Sant Andreu",60,"Sant Andreu","De 65 a 74 anys",1086
2016,9,"Sant Andreu",61,"la Sagrera","De 65 a 74 anys",558
2016,9,"Sant Andreu",62,"el Congrés i els Indians","De 65 a 74 anys",206
2016,9,"Sant Andreu",63,"Navas","De 65 a 74 anys",382
2016,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","De 65 a 74 anys",691
2016,10,"Sant Martí",65,"el Clot","De 65 a 74 anys",407
2016,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","De 65 a 74 anys",247
2016,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","De 65 a 74 anys",88
2016,10,"Sant Martí",68,"el Poblenou","De 65 a 74 anys",432
2016,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","De 65 a 74 anys",179
2016,10,"Sant Martí",70,"el Besòs i el Maresme","De 65 a 74 anys",325
2016,10,"Sant Martí",71,"Provençals del Poblenou","De 65 a 74 anys",288
2016,10,"Sant Martí",72,"Sant Martí de Provençals","De 65 a 74 anys",515
2016,10,"Sant Martí",73,"la Verneda i la Pau","De 65 a 74 anys",705
2016,1,"Ciutat Vella",1,"el Raval","75 anys i més",878
2016,1,"Ciutat Vella",2,"el Barri Gòtic","75 anys i més",340
2016,1,"Ciutat Vella",3,"la Barceloneta","75 anys i més",360
2016,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","75 anys i més",443
2016,2,"Eixample",5,"el Fort Pienc","75 anys i més",692
2016,2,"Eixample",6,"la Sagrada Família","75 anys i més",1317
2016,2,"Eixample",7,"la Dreta de l'Eixample","75 anys i més",1093
2016,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","75 anys i més",1091
2016,2,"Eixample",9,"la Nova Esquerra de l'Eixample","75 anys i més",1509
2016,2,"Eixample",10,"Sant Antoni","75 anys i més",1048
2016,3,"Sants-Montjuïc",11,"el Poble Sec","75 anys i més",895
2016,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","75 anys i més",42
2016,3,"Sants-Montjuïc",13,"la Marina de Port","75 anys i més",975
2016,3,"Sants-Montjuïc",14,"la Font de la Guatlla","75 anys i més",303
2016,3,"Sants-Montjuïc",15,"Hostafrancs","75 anys i més",375
2016,3,"Sants-Montjuïc",16,"la Bordeta","75 anys i més",458
2016,3,"Sants-Montjuïc",17,"Sants - Badal","75 anys i més",587
2016,3,"Sants-Montjuïc",18,"Sants","75 anys i més",1012
2016,4,"Les Corts",19,"les Corts","75 anys i més",1171
2016,4,"Les Corts",20,"la Maternitat i Sant Ramon","75 anys i més",748
2016,4,"Les Corts",21,"Pedralbes","75 anys i més",290
2016,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","75 anys i més",61
2016,5,"Sarrià-Sant Gervasi",23,"Sarrià","75 anys i més",532
2016,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","75 anys i més",307
2016,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","75 anys i més",526
