"﻿""Any""","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Estructura_domicili","Nombre"
2020,7,"Horta-Guinardó",37,"el Carmel","Un home sol de 18 a 64 anys",972
2020,7,"Horta-Guinardó",38,"la Teixonera","Un home sol de 18 a 64 anys",440
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Un home sol de 18 a 64 anys",224
2020,7,"Horta-Guinardó",40,"Montbau","Un home sol de 18 a 64 anys",185
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Un home sol de 18 a 64 anys",146
2020,7,"Horta-Guinardó",42,"la Clota","Un home sol de 18 a 64 anys",26
2020,7,"Horta-Guinardó",43,"Horta","Un home sol de 18 a 64 anys",745
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Un home sol de 18 a 64 anys",689
2020,8,"Nou Barris",45,"Porta","Un home sol de 18 a 64 anys",718
2020,8,"Nou Barris",46,"el Turó de la Peira","Un home sol de 18 a 64 anys",522
2020,8,"Nou Barris",47,"Can Peguera","Un home sol de 18 a 64 anys",83
2020,8,"Nou Barris",48,"la Guineueta","Un home sol de 18 a 64 anys",347
2020,8,"Nou Barris",49,"Canyelles","Un home sol de 18 a 64 anys",137
2020,8,"Nou Barris",50,"les Roquetes","Un home sol de 18 a 64 anys",476
2020,8,"Nou Barris",51,"Verdun","Un home sol de 18 a 64 anys",428
2020,8,"Nou Barris",52,"la Prosperitat","Un home sol de 18 a 64 anys",725
2020,8,"Nou Barris",53,"la Trinitat Nova","Un home sol de 18 a 64 anys",263
2020,8,"Nou Barris",54,"Torre Baró","Un home sol de 18 a 64 anys",83
2020,8,"Nou Barris",55,"Ciutat Meridiana","Un home sol de 18 a 64 anys",240
2020,8,"Nou Barris",56,"Vallbona","Un home sol de 18 a 64 anys",65
2020,9,"Sant Andreu",57,"la Trinitat Vella","Un home sol de 18 a 64 anys",313
2020,9,"Sant Andreu",58,"Baró de Viver","Un home sol de 18 a 64 anys",101
2020,9,"Sant Andreu",59,"el Bon Pastor","Un home sol de 18 a 64 anys",343
2020,9,"Sant Andreu",60,"Sant Andreu","Un home sol de 18 a 64 anys",1760
2020,9,"Sant Andreu",61,"la Sagrera","Un home sol de 18 a 64 anys",837
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Un home sol de 18 a 64 anys",487
2020,9,"Sant Andreu",63,"Navas","Un home sol de 18 a 64 anys",616
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Un home sol de 18 a 64 anys",1406
2020,10,"Sant Martí",65,"el Clot","Un home sol de 18 a 64 anys",831
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Un home sol de 18 a 64 anys",608
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Un home sol de 18 a 64 anys",325
2020,10,"Sant Martí",68,"el Poblenou","Un home sol de 18 a 64 anys",1381
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Un home sol de 18 a 64 anys",550
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Un home sol de 18 a 64 anys",638
2020,10,"Sant Martí",71,"Provençals del Poblenou","Un home sol de 18 a 64 anys",691
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Un home sol de 18 a 64 anys",701
2020,10,"Sant Martí",73,"la Verneda i la Pau","Un home sol de 18 a 64 anys",705
2020,1,"Ciutat Vella",1,"el Raval","Una dona sola de 65 anys i més",1114
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Una dona sola de 65 anys i més",424
2020,1,"Ciutat Vella",3,"la Barceloneta","Una dona sola de 65 anys i més",620
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Una dona sola de 65 anys i més",727
2020,2,"Eixample",5,"el Fort Pienc","Una dona sola de 65 anys i més",1332
2020,2,"Eixample",6,"la Sagrada Família","Una dona sola de 65 anys i més",2504
2020,2,"Eixample",7,"la Dreta de l'Eixample","Una dona sola de 65 anys i més",1859
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Una dona sola de 65 anys i més",1979
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Una dona sola de 65 anys i més",2834
2020,2,"Eixample",10,"Sant Antoni","Una dona sola de 65 anys i més",1869
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Una dona sola de 65 anys i més",1393
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Una dona sola de 65 anys i més",46
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Una dona sola de 65 anys i més",1157
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Una dona sola de 65 anys i més",456
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Una dona sola de 65 anys i més",567
2020,3,"Sants-Montjuïc",16,"la Bordeta","Una dona sola de 65 anys i més",780
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Una dona sola de 65 anys i més",993
2020,3,"Sants-Montjuïc",18,"Sants","Una dona sola de 65 anys i més",1806
2020,4,"Les Corts",19,"les Corts","Una dona sola de 65 anys i més",2292
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Una dona sola de 65 anys i més",1108
2020,4,"Les Corts",21,"Pedralbes","Una dona sola de 65 anys i més",453
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Una dona sola de 65 anys i més",99
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Una dona sola de 65 anys i més",897
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Una dona sola de 65 anys i més",578
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Una dona sola de 65 anys i més",1019
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Una dona sola de 65 anys i més",2308
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Una dona sola de 65 anys i més",1422
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Una dona sola de 65 anys i més",734
2020,6,"Gràcia",29,"el Coll","Una dona sola de 65 anys i més",330
2020,6,"Gràcia",30,"la Salut","Una dona sola de 65 anys i més",672
2020,6,"Gràcia",31,"la Vila de Gràcia","Una dona sola de 65 anys i més",2250
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Una dona sola de 65 anys i més",1785
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Una dona sola de 65 anys i més",1269
2020,7,"Horta-Guinardó",34,"Can Baró","Una dona sola de 65 anys i més",411
2020,7,"Horta-Guinardó",35,"el Guinardó","Una dona sola de 65 anys i més",1645
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Una dona sola de 65 anys i més",350
2020,7,"Horta-Guinardó",37,"el Carmel","Una dona sola de 65 anys i més",1299
2020,7,"Horta-Guinardó",38,"la Teixonera","Una dona sola de 65 anys i més",463
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Una dona sola de 65 anys i més",371
2020,7,"Horta-Guinardó",40,"Montbau","Una dona sola de 65 anys i més",274
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Una dona sola de 65 anys i més",297
2020,7,"Horta-Guinardó",42,"la Clota","Una dona sola de 65 anys i més",20
2020,7,"Horta-Guinardó",43,"Horta","Una dona sola de 65 anys i més",1205
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Una dona sola de 65 anys i més",1337
2020,8,"Nou Barris",45,"Porta","Una dona sola de 65 anys i més",1208
2020,8,"Nou Barris",46,"el Turó de la Peira","Una dona sola de 65 anys i més",815
2020,8,"Nou Barris",47,"Can Peguera","Una dona sola de 65 anys i més",108
2020,8,"Nou Barris",48,"la Guineueta","Una dona sola de 65 anys i més",833
2020,8,"Nou Barris",49,"Canyelles","Una dona sola de 65 anys i més",309
2020,8,"Nou Barris",50,"les Roquetes","Una dona sola de 65 anys i més",510
2020,8,"Nou Barris",51,"Verdun","Una dona sola de 65 anys i més",568
2020,8,"Nou Barris",52,"la Prosperitat","Una dona sola de 65 anys i més",1258
2020,8,"Nou Barris",53,"la Trinitat Nova","Una dona sola de 65 anys i més",299
2020,8,"Nou Barris",54,"Torre Baró","Una dona sola de 65 anys i més",51
2020,8,"Nou Barris",55,"Ciutat Meridiana","Una dona sola de 65 anys i més",317
2020,8,"Nou Barris",56,"Vallbona","Una dona sola de 65 anys i més",25
2020,9,"Sant Andreu",57,"la Trinitat Vella","Una dona sola de 65 anys i més",256
2020,9,"Sant Andreu",58,"Baró de Viver","Una dona sola de 65 anys i més",71
2020,9,"Sant Andreu",59,"el Bon Pastor","Una dona sola de 65 anys i més",386
2020,9,"Sant Andreu",60,"Sant Andreu","Una dona sola de 65 anys i més",2273
2020,9,"Sant Andreu",61,"la Sagrera","Una dona sola de 65 anys i més",1232
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Una dona sola de 65 anys i més",706
2020,9,"Sant Andreu",63,"Navas","Una dona sola de 65 anys i més",1096
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Una dona sola de 65 anys i més",1811
2020,10,"Sant Martí",65,"el Clot","Una dona sola de 65 anys i més",994
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Una dona sola de 65 anys i més",610
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Una dona sola de 65 anys i més",199
2020,10,"Sant Martí",68,"el Poblenou","Una dona sola de 65 anys i més",1070
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Una dona sola de 65 anys i més",311
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Una dona sola de 65 anys i més",817
2020,10,"Sant Martí",71,"Provençals del Poblenou","Una dona sola de 65 anys i més",668
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Una dona sola de 65 anys i més",1302
2020,10,"Sant Martí",73,"la Verneda i la Pau","Una dona sola de 65 anys i més",1266
2020,1,"Ciutat Vella",1,"el Raval","Un home sol de 65 anys i més",619
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Un home sol de 65 anys i més",241
2020,1,"Ciutat Vella",3,"la Barceloneta","Un home sol de 65 anys i més",221
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Un home sol de 65 anys i més",335
2020,2,"Eixample",5,"el Fort Pienc","Un home sol de 65 anys i més",428
2020,2,"Eixample",6,"la Sagrada Família","Un home sol de 65 anys i més",694
2020,2,"Eixample",7,"la Dreta de l'Eixample","Un home sol de 65 anys i més",698
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Un home sol de 65 anys i més",634
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Un home sol de 65 anys i més",833
2020,2,"Eixample",10,"Sant Antoni","Un home sol de 65 anys i més",566
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Un home sol de 65 anys i més",510
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Un home sol de 65 anys i més",24
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Un home sol de 65 anys i més",424
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Un home sol de 65 anys i més",151
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Un home sol de 65 anys i més",201
2020,3,"Sants-Montjuïc",16,"la Bordeta","Un home sol de 65 anys i més",226
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Un home sol de 65 anys i més",310
2020,3,"Sants-Montjuïc",18,"Sants","Un home sol de 65 anys i més",558
2020,4,"Les Corts",19,"les Corts","Un home sol de 65 anys i més",621
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Un home sol de 65 anys i més",349
2020,4,"Les Corts",21,"Pedralbes","Un home sol de 65 anys i més",164
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Un home sol de 65 anys i més",46
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Un home sol de 65 anys i més",266
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Un home sol de 65 anys i més",173
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Un home sol de 65 anys i més",331
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Un home sol de 65 anys i més",600
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Un home sol de 65 anys i més",381
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Un home sol de 65 anys i més",209
2020,6,"Gràcia",29,"el Coll","Un home sol de 65 anys i més",82
2020,6,"Gràcia",30,"la Salut","Un home sol de 65 anys i més",178
2020,6,"Gràcia",31,"la Vila de Gràcia","Un home sol de 65 anys i més",726
