"﻿""CODI_CAPA""","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","EQUIPAMENT","ADRECA","TELEFON"
"G008","Serveis religiosos","Esglésies catòliques",430469.842,4584023.802,430377.911,4583822.851,2.167077,41.402934,6,32,"Gràcia","el Camp d'en Grassot i Gràcia Nova","Parròquia de Sant Tomàs d'Aquino","C Roger de Flor, 245","934570681"
"G014","Serveis religiosos","Altres",426875.93799999997,4583972.761,426784.04,4583771.812,2.1240919999999996,41.402155,5,23,"Sarrià-Sant Gervasi","Sarrià","Sukyo Mahikari","C Anglí, 48","934604934"
"G008","Serveis religiosos","Esglésies catòliques",426802.391,4584054.726,426710.49299999996,4583853.776000001,2.1232029999999997,41.402887,5,23,"Sarrià-Sant Gervasi","Sarrià","Monestir de Sant Pere de les Puel·les","C Anglí, 55","932038915"
"G008","Serveis religiosos","Esglésies catòliques",431401.219,4581770.017,431309.278,4581569.087,2.178474,41.382715000000005,1,2,"Ciutat Vella","el Barri Gòtic","Casa de Recés - Fundació de l'Esperança-Capella","C Palma de Sant Just, 2","933179301"
"G008","Serveis religiosos","Esglésies catòliques",426400.804,4584411.425,426308.91,4584210.472,2.1183560000000003,41.406063,5,23,"Sarrià-Sant Gervasi","Sarrià","Església de les Operàries Parroquials","Ptge Torras i Bages, 1","932039083"
"G009","Serveis religiosos","Esglésies evangèliques",433582.588,4588215.73,433490.62899999996,4588014.739,2.203851,41.440953,9,59,"Sant Andreu","el Bon Pastor","Església Evangèlica de la Bíblia Oberta Nova Vida","C Cusco, 5","932430928"
"G009","Serveis religiosos","Esglésies evangèliques",428559.48,4581115.182,428467.565,4580914.259,2.144568,41.37657,3,15,"Sants-Montjuïc","Hostafrancs","Església Evangèlica Hechos Barcelona","C Rector Triadó, 31","678483027"
"G009","Serveis religiosos","Esglésies evangèliques",431110.28799999994,4588287.796,431018.352,4588086.805,2.174252,41.441393,8,51,"Nou Barris","Verdun","Església Evangèlica Assemblea de Germans-  Font Canyelles (Església9Barris)","C Font de Canyelles, 106","933595738"
"G008","Serveis religiosos","Esglésies catòliques",429961.18299999996,4582660.705,429869.256,4582459.767,2.16115,41.390613,2,7,"Eixample","la Dreta de l'Eixample","Parròquia de la Mare de Déu dels Àngels","C Balmes, 78","932152730"
"G004","Serveis religiosos","Centres hindús",430616.153,4587173.874,430524.221,4586972.893999999,2.1684650000000003,41.431318,8,46,"Nou Barris","el Turó de la Peira","Centre de Ioga Vedanta Sivananda","C Cadí, 19",""
"G004","Serveis religiosos","Centres hindús",429921.75200000004,4583761.352,429829.826,4583560.404,2.160551,41.400523,6,31,"Gràcia","la Vila de Gràcia","Shiva Shakti Om","C Fraternitat, 25","627771612"
"G009","Serveis religiosos","Esglésies evangèliques",432030.52,4585118.972,431938.57399999996,4584918.01,2.185623,41.412932,10,64,"Sant Martí","el Camp de l'Arpa del Clot","Església Evangèlica de Betlem","C Nació, 24","934351763"
"G008","Serveis religiosos","Esglésies catòliques",429164.677,4581087.744,429072.75700000004,4580886.821,2.1518080000000004,41.376376,2,10,"Eixample","Sant Antoni","Parròquia de Sant Ferran","G.V. Corts Catalanes, 406","934239746"
"G008","Serveis religiosos","Esglésies catòliques",431010.21,4581731.92,430918.273,4581530.99,2.1738020000000002,41.382339,1,2,"Ciutat Vella","el Barri Gòtic","Parròquia de Santa Maria del Pi - Basílica","Pl Pi, 7","933184743"
"G010","Serveis religiosos","Mesquites",431609.08700000006,4582529.912,431517.145,4582328.975,2.180874,41.389577,1,4,"Ciutat Vella","Sant Pere, Santa Caterina i la Ribera","Comunitat Musulmana Assafa","C Portal Nou, 55",""
"G008","Serveis religiosos","Esglésies catòliques",433325.05600000004,4586516.857,433233.099,4586315.882,2.200956,41.42563,10,73,"Sant Martí","la Verneda i la Pau","Parròquia de Sant Joan d'Àvila","Rbla Prim, 252","933131393"
"G009","Serveis religiosos","Esglésies evangèliques",432328.689,4582962.709,432236.74,4582761.767,2.189432,41.393536,10,66,"Sant Martí","el Parc i la Llacuna del Poblenou","Església Evangèlica Bíblica Maranata","C Pujades, 23","933098838"
