"SECCIO_CENSAL","HOMES","DONES","EDAT_0_A_14","EDAT_15_A_24","EDAT_25_A_64","EDAT_65_A_MES","NACIONALS","COMUNITARIS","ESTRANGERS","DATA_DADES"
8088,596,683,159,118,717,285,1044,28,207,"07-03-2021 11:00:04"
8089,588,663,164,106,704,277,980,34,237,"07-03-2021 11:00:04"
8090,570,646,148,109,643,316,1006,16,194,"07-03-2021 11:00:04"
8091,556,640,103,118,644,331,994,24,178,"07-03-2021 11:00:04"
8092,474,525,114,82,478,325,859,11,129,"07-03-2021 11:00:04"
8093,626,643,167,123,676,303,1101,10,158,"07-03-2021 11:00:04"
8094,686,758,118,142,662,522,1276,31,137,"07-03-2021 11:00:04"
8095,514,563,103,110,525,339,983,18,76,"07-03-2021 11:00:04"
8096,734,812,209,162,853,322,1289,33,224,"07-03-2021 11:00:04"
8097,616,725,186,144,735,276,1140,22,179,"07-03-2021 11:00:04"
8098,609,690,161,154,709,275,1058,35,206,"07-03-2021 11:00:04"
8099,700,761,186,160,854,261,1132,51,278,"07-03-2021 11:00:04"
8100,585,708,155,114,736,288,1041,33,219,"07-03-2021 11:00:04"
8101,808,915,222,143,885,473,1484,17,222,"07-03-2021 11:00:04"
8102,689,896,177,143,826,439,1178,28,379,"07-03-2021 11:00:04"
8103,838,841,252,159,1028,240,1132,39,508,"07-03-2021 11:00:04"
8104,608,663,158,141,749,223,972,34,265,"07-03-2021 11:00:04"
8105,703,807,195,185,845,285,1163,23,324,"07-03-2021 11:00:04"
8106,616,648,175,165,710,214,840,33,391,"07-03-2021 11:00:04"
8107,935,1018,243,209,1125,376,1674,18,261,"07-03-2021 11:00:04"
8108,974,982,341,248,1141,226,1470,69,417,"07-03-2021 11:00:04"
8109,500,486,141,123,552,170,870,14,102,"07-03-2021 11:00:04"
8110,1021,1035,383,251,1169,253,1286,37,733,"07-03-2021 11:00:04"
8111,824,911,285,210,950,290,1167,34,534,"07-03-2021 11:00:04"
8112,887,891,304,205,981,288,1175,35,568,"07-03-2021 11:00:04"
8113,877,930,309,232,934,332,1258,30,519,"07-03-2021 11:00:04"
8114,1003,1044,322,221,1120,384,1419,34,594,"07-03-2021 11:00:04"
8115,888,910,298,199,1005,296,1159,36,603,"07-03-2021 11:00:04"
8116,705,731,248,162,780,246,1180,35,221,"07-03-2021 11:00:04"
8215,690,909,300,134,845,320,1292,48,259,"07-03-2021 11:00:04"
9001,1470,1330,531,330,1620,319,1633,81,1086,"07-03-2021 11:00:04"
9002,1092,1098,361,258,1245,326,1415,87,688,"07-03-2021 11:00:04"
9003,1137,1067,370,243,1219,372,1494,74,636,"07-03-2021 11:00:04"
9004,803,789,217,189,915,271,1129,37,426,"07-03-2021 11:00:04"
9005,882,908,279,183,1041,287,1453,58,279,"07-03-2021 11:00:04"
9006,640,652,208,123,734,227,1113,30,149,"07-03-2021 11:00:04"
9007,669,715,206,175,798,205,1123,18,243,"07-03-2021 11:00:04"
9008,938,923,487,200,1064,110,1722,33,106,"07-03-2021 11:00:04"
9009,692,747,250,148,720,321,1316,19,104,"07-03-2021 11:00:04"
9010,874,948,217,187,976,442,1645,13,164,"07-03-2021 11:00:04"
9011,834,865,242,181,925,351,1466,26,207,"07-03-2021 11:00:04"
9013,979,1086,363,228,1179,295,1576,41,448,"07-03-2021 11:00:04"
9014,1697,1388,352,343,2025,365,1575,108,1402,"07-03-2021 11:00:04"
9015,892,953,253,207,1078,307,1407,54,384,"07-03-2021 11:00:04"
9016,627,713,121,122,774,323,1267,14,59,"07-03-2021 11:00:04"
9017,724,796,203,174,861,282,1383,36,101,"07-03-2021 11:00:04"
9018,717,775,194,126,813,359,1410,18,64,"07-03-2021 11:00:04"
9019,1319,1388,415,225,1553,514,2523,54,130,"07-03-2021 11:00:04"
9020,527,620,104,100,594,349,1054,18,75,"07-03-2021 11:00:04"
9021,651,735,167,111,763,345,1232,46,108,"07-03-2021 11:00:04"
9022,617,666,166,124,692,301,1156,32,95,"07-03-2021 11:00:04"
9023,616,627,178,113,714,238,1140,40,63,"07-03-2021 11:00:04"
9024,526,664,165,93,640,292,1100,22,68,"07-03-2021 11:00:04"
9025,556,659,160,101,697,257,1083,27,105,"07-03-2021 11:00:04"
9026,721,802,164,112,850,397,1379,34,110,"07-03-2021 11:00:04"
9027,629,671,120,102,688,390,1210,17,73,"07-03-2021 11:00:04"
9028,780,823,315,199,883,206,1571,14,18,"07-03-2021 11:00:04"
9029,533,591,129,88,589,318,1023,21,80,"07-03-2021 11:00:04"
