"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nacionalitat","Edat_quinquennal","Nombre"
2020,2,"Eixample",10,"Sant Antoni","Dona","Espanyola","95-99 anys",145
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Dona","Espanyola","95-99 anys",68
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dona","Espanyola","95-99 anys",2
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Dona","Espanyola","95-99 anys",38
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dona","Espanyola","95-99 anys",37
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Dona","Espanyola","95-99 anys",25
2020,3,"Sants-Montjuïc",16,"la Bordeta","Dona","Espanyola","95-99 anys",55
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Dona","Espanyola","95-99 anys",45
2020,3,"Sants-Montjuïc",18,"Sants","Dona","Espanyola","95-99 anys",107
2020,4,"Les Corts",19,"les Corts","Dona","Espanyola","95-99 anys",123
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dona","Espanyola","95-99 anys",56
2020,4,"Les Corts",21,"Pedralbes","Dona","Espanyola","95-99 anys",46
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dona","Espanyola","95-99 anys",10
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dona","Espanyola","95-99 anys",104
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dona","Espanyola","95-99 anys",55
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dona","Espanyola","95-99 anys",105
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dona","Espanyola","95-99 anys",196
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dona","Espanyola","95-99 anys",95
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Dona","Espanyola","95-99 anys",58
2020,6,"Gràcia",29,"el Coll","Dona","Espanyola","95-99 anys",15
2020,6,"Gràcia",30,"la Salut","Dona","Espanyola","95-99 anys",41
