"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Seccio_censal","Desc_tipus_propietari","Concepte","Valor"
2020,2,"Eixample",5,"el Fort Pienc",3,"Subjecte jurídic","Valor_cadastral",24526097.85
2020,2,"Eixample",5,"el Fort Pienc",3,"Altres","Valor_cadastral",8102.94
2020,2,"Eixample",5,"el Fort Pienc",4,"Subjecte físic","Valor_cadastral",48758806.33
2020,2,"Eixample",5,"el Fort Pienc",4,"Subjecte jurídic","Valor_cadastral",36371570.67
2020,2,"Eixample",5,"el Fort Pienc",4,"Altres","Valor_cadastral",180919.87
2020,2,"Eixample",5,"el Fort Pienc",5,"Subjecte físic","Valor_cadastral",120701979.35
2020,2,"Eixample",5,"el Fort Pienc",5,"Subjecte jurídic","Valor_cadastral",50897320.18
2020,2,"Eixample",5,"el Fort Pienc",5,"Comunitat de propietaris","Valor_cadastral",87768.02
2020,2,"Eixample",5,"el Fort Pienc",5,"Altres","Valor_cadastral",110601.65
2020,2,"Eixample",5,"el Fort Pienc",6,"Subjecte físic","Valor_cadastral",94514871.07
2020,2,"Eixample",5,"el Fort Pienc",6,"Subjecte jurídic","Valor_cadastral",31115490.03
2020,2,"Eixample",5,"el Fort Pienc",6,"Altres","Valor_cadastral",2965060.27
2020,2,"Eixample",5,"el Fort Pienc",7,"Subjecte físic","Valor_cadastral",64097377.65
2020,2,"Eixample",5,"el Fort Pienc",7,"Subjecte jurídic","Valor_cadastral",51547132.52
2020,2,"Eixample",5,"el Fort Pienc",7,"Altres","Valor_cadastral",534404.58
2020,2,"Eixample",5,"el Fort Pienc",8,"Subjecte físic","Valor_cadastral",83976311.84
2020,2,"Eixample",5,"el Fort Pienc",8,"Subjecte jurídic","Valor_cadastral",62857321.92
2020,2,"Eixample",5,"el Fort Pienc",8,"Altres","Valor_cadastral",348877.19
2020,2,"Eixample",5,"el Fort Pienc",9,"Subjecte físic","Valor_cadastral",89701563.98
2020,2,"Eixample",5,"el Fort Pienc",9,"Subjecte jurídic","Valor_cadastral",39619824.9
2020,2,"Eixample",5,"el Fort Pienc",9,"Comunitat de propietaris","Valor_cadastral",7066.79
2020,2,"Eixample",5,"el Fort Pienc",9,"Altres","Valor_cadastral",1033235.08
2020,2,"Eixample",5,"el Fort Pienc",10,"Subjecte físic","Valor_cadastral",57558498.62
2020,2,"Eixample",5,"el Fort Pienc",10,"Subjecte jurídic","Valor_cadastral",15756748.97
2020,2,"Eixample",5,"el Fort Pienc",10,"Comunitat de propietaris","Valor_cadastral",148694.82
2020,2,"Eixample",5,"el Fort Pienc",11,"Subjecte físic","Valor_cadastral",56526293.57
2020,2,"Eixample",5,"el Fort Pienc",11,"Subjecte jurídic","Valor_cadastral",8830637.23
2020,2,"Eixample",5,"el Fort Pienc",11,"Altres","Valor_cadastral",21815.61
2020,2,"Eixample",5,"el Fort Pienc",12,"Subjecte físic","Valor_cadastral",50237099.56
2020,2,"Eixample",5,"el Fort Pienc",12,"Subjecte jurídic","Valor_cadastral",33438941.7
2020,2,"Eixample",5,"el Fort Pienc",12,"Comunitat de propietaris","Valor_cadastral",11229.35
2020,2,"Eixample",5,"el Fort Pienc",12,"Altres","Valor_cadastral",569089.62
2020,2,"Eixample",5,"el Fort Pienc",13,"Subjecte físic","Valor_cadastral",40175947.13
2020,2,"Eixample",5,"el Fort Pienc",13,"Subjecte jurídic","Valor_cadastral",107855544.47
2020,2,"Eixample",5,"el Fort Pienc",13,"Altres","Valor_cadastral",262365.61
2020,2,"Eixample",5,"el Fort Pienc",14,"Subjecte físic","Valor_cadastral",46968444.72
2020,2,"Eixample",5,"el Fort Pienc",14,"Subjecte jurídic","Valor_cadastral",11989630.25
2020,2,"Eixample",5,"el Fort Pienc",14,"Altres","Valor_cadastral",2667240.68
2020,2,"Eixample",5,"el Fort Pienc",15,"Subjecte físic","Valor_cadastral",58792690.78
2020,2,"Eixample",5,"el Fort Pienc",15,"Subjecte jurídic","Valor_cadastral",30494241.66
2020,2,"Eixample",5,"el Fort Pienc",15,"Altres","Valor_cadastral",1782819.41
2020,2,"Eixample",5,"el Fort Pienc",16,"Subjecte físic","Valor_cadastral",95878925.1
2020,2,"Eixample",5,"el Fort Pienc",16,"Subjecte jurídic","Valor_cadastral",37027744.76
2020,2,"Eixample",5,"el Fort Pienc",16,"Comunitat de propietaris","Valor_cadastral",51579.21
2020,2,"Eixample",5,"el Fort Pienc",16,"Altres","Valor_cadastral",496788.43
2020,2,"Eixample",5,"el Fort Pienc",17,"Subjecte físic","Valor_cadastral",111604173.64
2020,2,"Eixample",5,"el Fort Pienc",17,"Subjecte jurídic","Valor_cadastral",37420896.35
2020,2,"Eixample",5,"el Fort Pienc",17,"Altres","Valor_cadastral",342581.91
2020,2,"Eixample",5,"el Fort Pienc",18,"Subjecte físic","Valor_cadastral",102284910.92
2020,2,"Eixample",5,"el Fort Pienc",18,"Subjecte jurídic","Valor_cadastral",19969662.66
2020,2,"Eixample",5,"el Fort Pienc",18,"Comunitat de propietaris","Valor_cadastral",80122.64
2020,2,"Eixample",5,"el Fort Pienc",19,"Subjecte físic","Valor_cadastral",85798685.35
2020,2,"Eixample",5,"el Fort Pienc",19,"Subjecte jurídic","Valor_cadastral",45652480.01
2020,2,"Eixample",5,"el Fort Pienc",19,"Altres","Valor_cadastral",381392.79
2020,2,"Eixample",5,"el Fort Pienc",20,"Subjecte físic","Valor_cadastral",49252071.58
2020,2,"Eixample",5,"el Fort Pienc",20,"Subjecte jurídic","Valor_cadastral",60660538.42
2020,2,"Eixample",5,"el Fort Pienc",20,"Altres","Valor_cadastral",3587898.13
2020,2,"Eixample",6,"la Sagrada Família",21,"Subjecte físic","Valor_cadastral",61740165.53
2020,2,"Eixample",6,"la Sagrada Família",21,"Subjecte jurídic","Valor_cadastral",11254105.11
2020,2,"Eixample",6,"la Sagrada Família",21,"Altres","Valor_cadastral",197456.04
2020,2,"Eixample",6,"la Sagrada Família",22,"Subjecte físic","Valor_cadastral",54105281.41
2020,2,"Eixample",6,"la Sagrada Família",22,"Subjecte jurídic","Valor_cadastral",19005866.06
2020,2,"Eixample",6,"la Sagrada Família",22,"Altres","Valor_cadastral",443033.58
2020,2,"Eixample",6,"la Sagrada Família",23,"Subjecte físic","Valor_cadastral",49192913.95
2020,2,"Eixample",6,"la Sagrada Família",23,"Subjecte jurídic","Valor_cadastral",6508673.18
2020,2,"Eixample",6,"la Sagrada Família",23,"Altres","Valor_cadastral",429932.35
2020,2,"Eixample",6,"la Sagrada Família",24,"Subjecte físic","Valor_cadastral",41797407.53
2020,2,"Eixample",6,"la Sagrada Família",24,"Subjecte jurídic","Valor_cadastral",16792736.58
2020,2,"Eixample",6,"la Sagrada Família",24,"Altres","Valor_cadastral",877949.58
2020,2,"Eixample",6,"la Sagrada Família",25,"Subjecte físic","Valor_cadastral",51410420.31
2020,2,"Eixample",6,"la Sagrada Família",25,"Subjecte jurídic","Valor_cadastral",8932714.2
2020,2,"Eixample",6,"la Sagrada Família",25,"Altres","Valor_cadastral",31064.69
2020,2,"Eixample",6,"la Sagrada Família",26,"Subjecte físic","Valor_cadastral",98678190.29
2020,2,"Eixample",6,"la Sagrada Família",26,"Subjecte jurídic","Valor_cadastral",21299343.8
2020,2,"Eixample",6,"la Sagrada Família",26,"Altres","Valor_cadastral",811571.56
