"Codi_Senyal","Descripció_Senyal"
"C-5j","Plaques complementàries de senyals de reglamentació"
"C-5k","Plaques complementàries de senyals de reglamentació"
"C-5l","Plaques complementàries de senyals de reglamentació"
"C-5m","Plaques complementàries de senyals de reglamentació"
"C-5n","Plaques complementàries de senyals de reglamentació"
"C-5o","Plaques complementàries de senyals de reglamentació"
"C-5p","Plaques complementàries de senyals de reglamentació"
"C-5q","Plaques complementàries de senyals de reglamentació"
"C-5r","Plaques complementàries de senyals de reglamentació"
"C-5s","Plaques complementàries de senyals de reglamentació"
"C-5t","Plaques complementàries de senyals de reglamentació"
"C-5u","Plaques complementàries de senyals de reglamentació"
"C-5v","Plaques complementàries de senyals de reglamentació"
"C-5w","Plaques complementàries de senyals de reglamentació"
"C-5w_Taxi","Plaques complementàries de senyals de reglamentació"
"C-5w_TaxiBus","Plaques complementàries de senyals de reglamentació"
"C-6a","Plaques complementàries de senyals de reglamentació"
"C-6b","Plaques complementàries de senyals de reglamentació"
"C-6c","Plaques complementàries de senyals de reglamentació"
"C-6d","Plaques complementàries de senyals de reglamentació"
"C-6e","Plaques complementàries de senyals de reglamentació"
"C-6f","Plaques complementàries de senyals de reglamentació"
"C-6g","Plaques complementàries de senyals de reglamentació"
"C-6h","Plaques complementàries de senyals de reglamentació"
"C-6i","Plaques complementàries de senyals de reglamentació"
"C-7a","Plaques complementàries de senyals de reglamentació"
"C-7b","Plaques complementàries de senyals de reglamentació"
"C-7c","Plaques complementàries de senyals de reglamentació"
"C-7d","Plaques complementàries de senyals de reglamentació"
"C-7e","Plaques complementàries de senyals de reglamentació"
"C-7f","Plaques complementàries de senyals de reglamentació"
"C-7g","Plaques complementàries de senyals de reglamentació"
"C-7h","Plaques complementàries de senyals de reglamentació"
"C-8","Plaques complementàries de senyals de reglamentació"
"C-8a","Plaques complementàries de senyals de reglamentació"
"C-8b","Plaques complementàries de senyals de reglamentació"
"C-9","Plaques complementàries de senyals de reglamentació"
"C-9a","Plaques complementàries de senyals de reglamentació"
"C-9b","Plaques complementàries de senyals de reglamentació"
"CAJ","Cajetín"
"CAJ_BCNETABLAU","Zona Azul Lunes- Domingo 9-14h i 16-20h"
"CAJ_BCNETAVERD","Zona Exclusiva de Residentes (Domingo)"
"CAJBCNETA","Zona exclusiva de Residents Zona 9 (Informativa)"
"CAJMOTOBICI","Prohibido parar-estacionar motos-bici incluido acera"
"CAJP","Cajetín Pictograma Estacionamiento"
"CAJP_R","Cajetín Pictograma Estacionamiento + Flecha Recta"
"CAJR","Cajetín Flecha Recta"
"CAM-GIRDRETA","Atenció prohibit camions gir dreta"
"CAMIESC","Precaución camino escolar"
"CAMPNOU_AC1","CAMPNOU_Accessos1"
"CAMPNOU_AC10","CAMPNOU_AC10"
"CAMPNOU_AC11","CAMPNOU_AC11"
"CAMPNOU_AC12","CAMPNOU_AC12"
"CAMPNOU_AC2","CAMPNOU_Accessos2"
"CAMPNOU_AC3","CAMPNOU_Accessos3"
"CAMPNOU_AC4","CAMPNOU_Accessos4"
"CAMPNOU_AC5","CAMPNOU_Accessos5"
"CAMPNOU_AC6","CAMPNOU_Accessos6"
"CAMPNOU_AC7","CAMPNOU_Accessos7"
"CAMPNOU_AC8","CAMPNOU_AC8"
"CAMPNOU_AC9","CAMPNOU_AC9"
"CAMPNOU_PABON","CAMPNOU_Parking FCB Abonats"
"CID_LD0-24","Carga y Descarga LD 0-24h"
"CID_LS0-24","Carga y Descarga LS 0-24h"
"CID_OLD","Carga y Descarga Genérica"
"CID30min","Excepte càrrega | i descàrrega | Temps màxim 30 min"
"CIUAMI","Barcelona Ciutat Amiga Infància"
"CIUAMI2","Barcelona Ciutat Amiga Infància2"
"CroquisSelvaMar",""
"DirBici1",""
"DirBici2",""
"DirBici2.2",""
"DirBici3",""
"DirBici4",""
"Escales","Escales"
"Espejo","Mirall parabòlic"
"EXCAutoritzat1","Excepte autoritzats_Marina"
"EXCAutoritzat10","Excepte autoritzats_Sardenya"
"EXCAutoritzat11","Excepte autoritzats_SardenyaGirEsquerra"
"EXCAutoritzat12","Excepte autoritzats_RossellóGirDreta"
"EXCAutoritzat2","Excepte autoritzats_MarinaGirDreta"
"EXCAutoritzat4","Excepte autoritzats_Mallorca"
"EXCAutoritzat5","Excepte autoritzats_MallorcaGirEsquerra"
"EXCAutoritzat6","Excepte autoritzats_LepantGirDreta"
"EXCAutoritzat7","Excepte autoritzats_Provença"
"EXCAutoritzat8","Excepte autoritzats_ProvençaGirEsquerra"
"EXCAutoritzat9","Excepte autoritzats_LepantGirDreta"
"EXCAutorizat3","Excepte autoritzats_ValènciaGirEsquerra"
"ExcBicisVP","Excepte bicicletes Via Preferent"
"ExcMotos","Excepte motos"
