"DENOMINACIO CAMPANYA","CONCEPTE","MITJÀ","IMPORT"
"DESCONFINAMENT - MESURES SEGURETAT","MITJANS","REVISTES",302.5
"DESCONFINAMENT - MESURES SEGURETAT","MITJANS","INTERNET",169929.79
"DESCONFINAMENT - MESURES SEGURETAT","MITJANS","EMISSORES DE RÀDIO",274304.2
"DESCONFINAMENT - MESURES SEGURETAT","MITJANS","EXTERIOR",0.0
"DESCONFINAMENT - MESURES SEGURETAT","MITJANS","TELEVISIÓ",0.0
"DESCONFINAMENT - MESURES SEGURETAT","MITJANS","PROXIMITAT REVISTES",0.0
"DIA INTERNACIONAL DELS ARXIUS 2020","MITJANS","PREMSA DIÀRIA",0.0
"DIA INTERNACIONAL DELS ARXIUS 2020","MITJANS","REVISTES",726.0
"DIA INTERNACIONAL DELS ARXIUS 2020","MITJANS","INTERNET",0.0
"DIA INTERNACIONAL DELS ARXIUS 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"DIA INTERNACIONAL DELS ARXIUS 2020","MITJANS","EXTERIOR",0.0
"DIA INTERNACIONAL DELS ARXIUS 2020","MITJANS","TELEVISIÓ",0.0
"DIA INTERNACIONAL DELS ARXIUS 2020","MITJANS","PROXIMITAT REVISTES",0.0
"DRETS ENERGÈTICS 2020","MITJANS","PREMSA DIÀRIA",14510.96
"DRETS ENERGÈTICS 2020","MITJANS","REVISTES",2911.26
"DRETS ENERGÈTICS 2020","MITJANS","INTERNET",16883.72
"DRETS ENERGÈTICS 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"DRETS ENERGÈTICS 2020","MITJANS","EXTERIOR",0.0
"DRETS ENERGÈTICS 2020","MITJANS","TELEVISIÓ",0.0
"DRETS ENERGÈTICS 2020","MITJANS","PROXIMITAT REVISTES",5148.73
"EMERGÈNCIA CLIMÀTICA 2020","MITJANS","PREMSA DIÀRIA",113215.97
"EMERGÈNCIA CLIMÀTICA 2020","MITJANS","REVISTES",0.0
"EMERGÈNCIA CLIMÀTICA 2020","MITJANS","INTERNET",42962.71
"EMERGÈNCIA CLIMÀTICA 2020","MITJANS","EMISSORES DE RÀDIO",35106.02
"EMERGÈNCIA CLIMÀTICA 2020","MITJANS","EXTERIOR",8168.43
"EMERGÈNCIA CLIMÀTICA 2020","MITJANS","TELEVISIÓ",0.0
"EMERGÈNCIA CLIMÀTICA 2020","MITJANS","PROXIMITAT REVISTES",0.0
"ESQUELES 2020","MITJANS","PREMSA DIÀRIA",12667.56
"ESQUELES 2020","MITJANS","REVISTES",0.0
"ESQUELES 2020","MITJANS","INTERNET",0.0
"ESQUELES 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"ESQUELES 2020","MITJANS","EXTERIOR",0.0
"ESQUELES 2020","MITJANS","TELEVISIÓ",0.0
"ESQUELES 2020","MITJANS","PROXIMITAT REVISTES",0.0
"ESTIMAT DIARI 2020","MITJANS","PREMSA DIÀRIA",0.0
"ESTIMAT DIARI 2020","MITJANS","REVISTES",0.0
"ESTIMAT DIARI 2020","MITJANS","INTERNET",23009.13
"ESTIMAT DIARI 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"ESTIMAT DIARI 2020","MITJANS","EXTERIOR",0.0
"ESTIMAT DIARI 2020","MITJANS","TELEVISIÓ",0.0
"ESTIMAT DIARI 2020","MITJANS","PROXIMITAT REVISTES",0.0
"FABRA I COATS 2020","MITJANS","PREMSA DIÀRIA",0.0
"FABRA I COATS 2020","MITJANS","REVISTES",0.0
"FABRA I COATS 2020","MITJANS","INTERNET",0.0
"FABRA I COATS 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"FABRA I COATS 2020","MITJANS","EXTERIOR",10312.42
"FABRA I COATS 2020","MITJANS","TELEVISIÓ",0.0
"FABRA I COATS 2020","MITJANS","PROXIMITAT REVISTES",0.0
"FESTA MAJOR DE GRÀCIA 2020","MITJANS","PREMSA DIÀRIA",0.0
"FESTA MAJOR DE GRÀCIA 2020","MITJANS","REVISTES",0.0
"FESTA MAJOR DE GRÀCIA 2020","MITJANS","INTERNET",8131.2
"FESTA MAJOR DE GRÀCIA 2020","MITJANS","EMISSORES DE RÀDIO",26988.28
"FESTA MAJOR DE GRÀCIA 2020","MITJANS","EXTERIOR",0.0
"FESTA MAJOR DE GRÀCIA 2020","MITJANS","TELEVISIÓ",0.0
"FESTA MAJOR DE GRÀCIA 2020","MITJANS","PROXIMITAT REVISTES",0.0
"FESTIVAL GREC 2020","MITJANS","PREMSA DIÀRIA",2826.1
"FESTIVAL GREC 2020","MITJANS","REVISTES",12148.8
"FESTIVAL GREC 2020","MITJANS","INTERNET",79374.19
"FESTIVAL GREC 2020","MITJANS","EMISSORES DE RÀDIO",7121.23
"FESTIVAL GREC 2020","MITJANS","EXTERIOR",0.0
"FESTIVAL GREC 2020","MITJANS","TELEVISIÓ",0.0
"FESTIVAL GREC 2020","MITJANS","PROXIMITAT REVISTES",0.0
"FORMACIÓ I OCUPACIÓ BARCELONA ACTIVA 2020","MITJANS","PREMSA DIÀRIA",23885.91
"FORMACIÓ I OCUPACIÓ BARCELONA ACTIVA 2020","MITJANS","REVISTES",0.0
"FORMACIÓ I OCUPACIÓ BARCELONA ACTIVA 2020","MITJANS","INTERNET",57122.06
"FORMACIÓ I OCUPACIÓ BARCELONA ACTIVA 2020","MITJANS","EMISSORES DE RÀDIO",17245.3
"FORMACIÓ I OCUPACIÓ BARCELONA ACTIVA 2020","MITJANS","EXTERIOR",0.0
"FORMACIÓ I OCUPACIÓ BARCELONA ACTIVA 2020","MITJANS","TELEVISIÓ",0.0
"FORMACIÓ I OCUPACIÓ BARCELONA ACTIVA 2020","MITJANS","PROXIMITAT REVISTES",0.0
"HABITATGE I REHABILITACIÓ 2020","MITJANS","PREMSA DIÀRIA",0.0
"HABITATGE I REHABILITACIÓ 2020","MITJANS","REVISTES",0.0
"HABITATGE I REHABILITACIÓ 2020","MITJANS","INTERNET",19173.9
"HABITATGE I REHABILITACIÓ 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"HABITATGE I REHABILITACIÓ 2020","MITJANS","EXTERIOR",0.0
"HABITATGE I REHABILITACIÓ 2020","MITJANS","TELEVISIÓ",0.0
"HABITATGE I REHABILITACIÓ 2020","MITJANS","PROXIMITAT REVISTES",0.0
"ICUB MUSEUS MUNICIPALS I EQUIPAMENTS CULTURALS 2020","MITJANS","PREMSA DIÀRIA",7046.06
"ICUB MUSEUS MUNICIPALS I EQUIPAMENTS CULTURALS 2020","MITJANS","REVISTES",54295.12
"ICUB MUSEUS MUNICIPALS I EQUIPAMENTS CULTURALS 2020","MITJANS","INTERNET",81917.19
"ICUB MUSEUS MUNICIPALS I EQUIPAMENTS CULTURALS 2020","MITJANS","EMISSORES DE RÀDIO",1119.29
"ICUB MUSEUS MUNICIPALS I EQUIPAMENTS CULTURALS 2020","MITJANS","EXTERIOR",5822.52
"ICUB MUSEUS MUNICIPALS I EQUIPAMENTS CULTURALS 2020","MITJANS","TELEVISIÓ",0.0
"ICUB MUSEUS MUNICIPALS I EQUIPAMENTS CULTURALS 2020","MITJANS","PROXIMITAT REVISTES",0.0
"ICUB PROGRAMES I ACTIVITATS 2020","MITJANS","PREMSA DIÀRIA",10173.68
"ICUB PROGRAMES I ACTIVITATS 2020","MITJANS","REVISTES",26797.87
"ICUB PROGRAMES I ACTIVITATS 2020","MITJANS","INTERNET",44384.91
"ICUB PROGRAMES I ACTIVITATS 2020","MITJANS","EMISSORES DE RÀDIO",7901.16
"ICUB PROGRAMES I ACTIVITATS 2020","MITJANS","EXTERIOR",10495.12
"ICUB PROGRAMES I ACTIVITATS 2020","MITJANS","TELEVISIÓ",0.0
"ICUB PROGRAMES I ACTIVITATS 2020","MITJANS","PROXIMITAT REVISTES",2134.44
"LLUM BARCELONA 2020","MITJANS","PREMSA DIÀRIA",13616.75
"LLUM BARCELONA 2020","MITJANS","REVISTES",6207.08
"LLUM BARCELONA 2020","MITJANS","INTERNET",12425.49
"LLUM BARCELONA 2020","MITJANS","EMISSORES DE RÀDIO",11387.41
"LLUM BARCELONA 2020","MITJANS","EXTERIOR",15890.41
"LLUM BARCELONA 2020","MITJANS","TELEVISIÓ",0.0
"LLUM BARCELONA 2020","MITJANS","PROXIMITAT REVISTES",422.68
"MARKETPLACES 2020","MITJANS","PREMSA DIÀRIA",12100.0
"MARKETPLACES 2020","MITJANS","REVISTES",0.0
"MARKETPLACES 2020","MITJANS","INTERNET",24505.26
"MARKETPLACES 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"MARKETPLACES 2020","MITJANS","EXTERIOR",0.0
"MARKETPLACES 2020","MITJANS","TELEVISIÓ",0.0
"MARKETPLACES 2020","MITJANS","PROXIMITAT REVISTES",0.0
"MERCABARNA 2020","MITJANS","PREMSA DIÀRIA",56343.13
"MERCABARNA 2020","MITJANS","REVISTES",12202.85
"MERCABARNA 2020","MITJANS","INTERNET",1028.5
"MERCABARNA 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"MERCABARNA 2020","MITJANS","EXTERIOR",0.0
"MERCABARNA 2020","MITJANS","TELEVISIÓ",0.0
"MERCABARNA 2020","MITJANS","PROXIMITAT REVISTES",0.0
"MERCATS 2020","MITJANS","PREMSA DIÀRIA",6037.9
"MERCATS 2020","MITJANS","REVISTES",16455.98
"MERCATS 2020","MITJANS","INTERNET",2038.85
"MERCATS 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"MERCATS 2020","MITJANS","EXTERIOR",0.0
