"Organ Gestor","Núm Exp","Objecte ","Import  Adjudicat","Adjudicatari"
"Institut de Cultura de Barcelona","C200001905","Un estudi sobre impunitats del franquisme",6047.58,"ASSOCIACIO ATENEU MEMORIA POPULAR - G67267641"
"Institut de Cultura de Barcelona","C200001288","Anàlisi i visualització dades de la cultura a BCN",8954.0,"TRESCIENTOSMILKILOMETROSPORSEGUNDO - B66941006"
"Institut de Cultura de Barcelona","C200001268","Informe Sector Cultural Crisi Covid",12100.0,"ICC CONSULTORS CULTURALS,SL - B62536909"
"Institut de Cultura de Barcelona","C200002695","Estudi definició OCCU",3630.0,"NEXE CULTURAL, SL - B62683123"
"Institut de Cultura de Barcelona","C200002732","Informe valoratiu  del monument a colom",4840.0,"UNIVERSITAT POLITECNICA  CATALUNYA - Q0818003F"
"Institut de Cultura de Barcelona","C200002029","Estudi arquebiològic sediments hort i abocador",4961.0,"FUNDACIO BOSCH I GIMPERA - G08906653"
"Institut de Cultura de Barcelona","C200001267","Estudi Impacte econòmica a la cultura Covid",6201.25,"FUNDACIÓ EURECAT - G66210345"
"Institut de Cultura de Barcelona","C200002848","Estudi indicadors quantitatius fàbriques creació",1815.0,"DENEVI, LUCILA ANDREA - Y5326525S"
"Institut de Cultura de Barcelona","C200001288","Anàlisi  i visualització de dades de la cultura",8954.0,"TRESCIENTOSMILKILOMETROSPORSEGUNDO - B66941006"
"Institut de Cultura de Barcelona","C200002919","Estudi patrimoni festiu Poble Nou",2420.0,"ASSOC IMATGERIA FEST POBLE NOU IFP9 - G65024549"
"Institut de Cultura de Barcelona","C200003088","Estudi antropol.dos individus exhumats codi 117/17",2597.87,"ABANS Serveis Culturals, SL - B66213554"
"Institut de Cultura de Barcelona","C200002825","Estudi desenvolupament estrategia conserv. calabos",3073.4,"ARTCARE, SL - B63640999"
"Institut de Cultura de Barcelona","C200001965","Informe necessitats cultura de base",15000.01,"RUIZ FERNANDEZ,  ELISABETH - 36573893Y"
"Institut de Cultura de Barcelona","C200003320","Estudi afectació Covid19 Colles Castelleres",2420.0,"CENTRE PROSPECTIVA I ANALISI DELS C - G55651012"
"Institut de Cultura de Barcelona","C200002815","Anàlisi ROI de retorn de patrocinis",11700.7,"RELEVANCE MARKETING SL - B64111222"
"Institut de Cultura de Barcelona","C200001427","Anàlisi ROI per avaluar el retorn dels patrocinis",6338.8,"RELEVANCE MARKETING SL - B64111222"
