"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifierisbn","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsource","dcsubject","dcsubjectcategory","dcsubjectforma","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 47"
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","Si","1986-04-24","1986-07-26","","1986-07-25","Aprovada per l'acord de la Corporació Metropolitana de Barcelona de 24-04-1986","","Modifica l'Ordenanza sobre protección del patrimonio arquitectónico, Histórico-artístico de la ciudad de Barcelona [1979] [http://hdl.handle.net/11703/84038]","Digitalitzat pel SEDAC","","application/pdf","5 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm. 177 (25-07-1986), p. 19-23","","","http://hdl.handle.net/11703/101025","spa","","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/84038","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Patrimoni cultural | Urbanisme | Cultural heritage | City planning | Patrimonio cultural | Urbanismo","Cultura i oci | Legislació i justícia | Urbanisme i infraestructures","documents digitalitzats | ordenances municipals","Ordenanza sobre protección del patrimonio arquitectónico, histórico-artístico de la ciudad de Barcelona [1979] : modificació [1986-04-24]","Ordenança sobre el patrimoni arquitectònic històrico-artístic de la ciutat de Barcelona [1979] : modificació [1986-04-24] | Modificación de la subsección tercera de la Ordenanza sobre protección del patrimonio arquitectónico, histórico-artístico de la ciudad de Barcelona, y  de su articulo tercero","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","Si","2014-07-25","2014-09-15","","2014-09-20","Aprovada pel Plenari del Consell Municipal de 25-07-2014 | Referenciada pel Decret de l'Alcaldia de Delegació en la Quarta Tinenta d'Alcalde en matèria de protecció, seguretat, tinència i venda d'animals [2018] (S1/D/2018-1051) [http://hdl.handle.net/11703/109152]","Modificada per l'Ordenança sobre la protecció, tinença i venda d'animals [2014] : modificació [2019-07-09] [http://hdl.handle.net/11703/114977]","Deroga l'Ordenança sobre la protecció, la tinença i la venda d'animals [2003] [http://hdl.handle.net/11703/96457] | Modifica l'Ordenança municipal de les activitats i dels establiments de concurrència pública de Barcelona [2003] [http://hdl.handle.net/11703/89250] | Modifica l'Ordenança del medi ambient de Barcelona [2011] [http://hdl.handle.net/11703/86859] | Deroga els art. 13 i 63.1 f) de l'Ordenança sobre l'ús de les vies i els espais públics de Barcelona [1999] [http://hdl.handle.net/11703/89244]","","","application/pdf","60 p.","application/pdf","14075","","Butlletí Oficial de la Província de Barcelona (15-09-2014), p. 1-60","","","http://hdl.handle.net/11703/86855","cat","","","","","","","http://hdl.handle.net/11703/109152","","http://hdl.handle.net/11703/89250 | http://hdl.handle.net/11703/86859 | http://hdl.handle.net/11703/89244","","http://hdl.handle.net/11703/96457","http://hdl.handle.net/11703/114977","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Medi ambient | Animals | Environment | Animals | Medio ambiente | Animales","Legislació i justícia","ordenances municipals","Ordenança sobre la protecció, tinença i venda d'animals [2014]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","Si","2008-09-26","2008-10-08","","2008-11-04","Aprovada pel Plenari del Consell Municipal de 26-09-2008","","","","","application/pdf","1 p.","application/pdf","15180","","Butlletí Oficial de la Província de Barcelona, núm. 242 (08-10-2008), p. 19","","","http://hdl.handle.net/11703/89269","cat","","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Sancions administratives | Multes | Administrative sanctions | Fines (Penalties) | Sanciones administrativas | Multa","Legislació i justícia","ordenances municipals","Ordenança reguladora de l'actualització de l'import de les multes coercitives de l'Ajuntament de Barcelona [2008]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","Si","1993-06-22","1993-10-06","","1993-10-07","Aprovada pel Plenari del Consell Municipal de 22-06-1993","","Modifica l'Ordenança sobre els establiments de venda d'articles de pirotècnia [1986]","Digitalitzat pel SEDAC","","application/pdf","2 p.","application/pdf","13031","","Butlletí Oficial de la Província de Barcelona, núm. 239 (06-10-1993), p. 33-34 | Publicada també a la Gaseta Municipal de Barcelona, núm. 28, 30-10-1993","","","http://hdl.handle.net/11703/89268","cat","","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/86851","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Pirotècnia | Fireworks | Fuegos artificiales","Legislació i justícia | Comerç","ordenances municipals","Ordenança sobre els establiments de venda d'articles de pirotècnia [1986] : modificació [1993-06-22]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","Si","2008-02-29","2008-03-10","","2008-03-11","Aprovada pel Plenari del Consell Municipal de 29-02-2008","","Modifica l'Ordenança municipal d'activitats i d'intervenció integral de l'administració ambiental de Barcelona [2001] [http://hdl.handle.net/11703/89255]","","","application/pdf","2 p.","application/pdf","14992 | 14993","","Butlletí Oficial de la Província de Barcelona, núm. 60 (10-03-2008), p. 58-59 | Correccions d'errades: Butlletí Oficial de la Província de Barcelona, núm. 135 (05-06-2008), p. 38","","","http://hdl.handle.net/11703/89258","cat","","","","","","","","","http://hdl.handle.net/11703/89255","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Llicències comercials | Medi ambient | Establiments de concurrència pública | Trade licenses | Environment | Public areas | Licencias comerciales | Medio ambiente | Establecimientos de concurrencia pública","Legislació i justícia | Medi ambient","ordenances municipals","Ordenança municipal d'activitats i d'intervenció integral de l'administració ambiental de Barcelona [2001] : modificació [2008-02-29]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","","2018-05-25","2018-06-04","","2018-05-25","Aprovada per Decret de l'Alcaldia de 25-05-2018","","Modifica els annexos de l'Ordenança reguladora dels procediments d'intervenció municipal en les obres [2011] [http://hdl.handle.net/11703/86861]","","","application/pdf","3 documents","application/pdf","","Núm. Exp. 18 SD 009 NT | S1/D/2018-1329","Butlletí Oficial de la Província de Barcelona (04-06-2018) | Gaseta Municipal de Barcelona (07-06-2018)","","","http://hdl.handle.net/11703/109279","cat","","","","","","","","","http://hdl.handle.net/11703/86861 | <a href=""http://hdl.handle.net/11703/117920"">Informe d'impacte de gènere</a>","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Obres públiques | Construcció | Public works | Building | Obras públicas | Construcción","Legislació i justícia | Urbanisme i infraestructures","ordenances municipals | decrets","Ordenança reguladora dels procediments d'intervenció municipal en les obres [2011] : modificació [2018-05-25]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","Si","1979-03-27","1980","","1980-12-11","Aprovada pel Plenari del Consell Plenari de 27-03-1979","Modificada pel Plenari del Consell Municipal de 23-12-1980 (Inici de vigència: 21-05-1981)","","Digitalitzat pel SEDAC","","application/pdf","10 p.","application/pdf","15679","","","","","http://hdl.handle.net/11703/88840","spa","","","","","","Reproducció digital del document en suport original","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Supressió de barreres arquitectòniques | Barrier-free design | Accesibilidad para personas con discapacidad","Legislació i justícia | Urbanisme i infraestructures","ordenances municipals","Ordenanza sobre supresión de barreras arquitectónicas en la vía pública [1979]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","Si","","2018-09-19","","","Text consolidat que inclou les modificacions des de la creació fins el 29-06-2018 | Podeu consultar la versió de l'Ordenança reguladora dels procediments d'intervenció municipal en les obres aprovada el 25-02-2011 a: http://hdl.handle.net/11703/86861","","","","","application/pdf","68 p.","application/pdf","","","Gaseta Municipal de Barcelona (19-09-2018)","","","http://hdl.handle.net/11703/111011","cat","","","","","","","","","","http://hdl.handle.net/11703/86861","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.es | http://creativecommons.org/publicdomain/mark/1.0/deed.en","","Obres públiques | Construcció | Obras públicas | Construcción | Public works | Building","Legislació i justícia | Urbanisme i infraestructures","ordenances municipals","Ordenança reguladora dels procediments d'intervenció municipal en les obres [2018 text consolidat]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","Si","2012-07-25","2012-08-16","","2012-08-17","Aprovada pel Plenari del Consell Municipal de 25-07-2012","","Modifica a l'Ordenança de mesures per fomentar i garantir la convivència ciutadana a l'espai públic de Barcelona [2005] [http://hdl.handle.net/11703/89246]","","","application/pdf","2 p.","application/pdf","15668","","Butlletí Oficial de la Província de Barcelona (16-08-2012), p. 1-2","","","http://hdl.handle.net/11703/88838","cat","","","","","","","","","http://hdl.handle.net/11703/89246","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Civisme | Convivència | Civics | Coexistence | Civismo | Convivencia","Legislació i justícia | Societat i benestar","ordenances municipals","Ordenança de mesures per fomentar i garantir la convivència ciutadana a l'espai públic de Barcelona [2005] : modificació [2012-07-25]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona. Districte 2. Eixample | Barcelona. District 2. Eixample | Barcelona. Distrito 2. Eixample","","Si","2004-11-24","2004-12-21","","2004-12-22","Aprovada pel Plenari del Consell Municipal de 24-11-2004","","Modifica l'Ordenança de rehabilitació i millora de l'Eixample [2002 text refós] [http://hdl.handle.net/11703/89247]","","","application/pdf","1 p.","application/pdf","17314","","Butlletí Oficial de la Província de Barcelona, núm. 305 (21-12-2004), p. 55","","","http://hdl.handle.net/11703/89248","cat","","","","","","","","","http://hdl.handle.net/11703/89247","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Rehabilitació urbana | Urban renewal | Rehabilitación urbana","Legislació i justícia | Urbanisme i infraestructures","ordenances municipals","Ordenança de rehabilitació i millora de l'Eixample [2002 text refós] : modificació [2004-11-24]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","Si","2003-10-17","2003","","2003-11-07","Aprovada pel Plenari del Consell Municipal de 17-10-2003","","Modifica l'Ordenança dels usos del paisatge urbà a la ciutat de Barcelona [1999] [http://hdl.handle.net/11703/89240]","","","application/pdf","8 p.","application/pdf","13275 | 13276","","Butlletí Oficial de la Província de Barcelona, núm. 266 (06-11-2003), p. 49-56 | Correccions d'errades: Butlletí Oficial de la Província de Barcelona, núm. 281 (24-11-2003), p. 22","","","http://hdl.handle.net/11703/89242","cat","","","","","","","","","http://hdl.handle.net/11703/89240","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Arquitectura del paisatge urbà | Urban landscape | Arquitectura del paisaje urbano","Legislació i justícia | Urbanisme i infraestructures","ordenances municipals","Ordenança dels usos del paisatge urbà a la ciutat de Barcelona [1999] : modificació [2003-10-17]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","Si","2000-07-21","2000-08-12","","2008-08-13","Aprovada pel Plenari del Consell Municipal de 12-08-2000","","Modifica l'Ordenança dels usos del paisatge urbà a la ciutat de Barcelona [1999] [http://hdl.handle.net/11703/89240]","","","application/pdf","","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm. 193 (12-08-2000), p. 6-8 | Correcció d'errades: Butlletí Oficial de la Província de Barcelona, núm. 304 (20-12-2000), p. 35","","","http://hdl.handle.net/11703/103140","cat","","","","","","","","","http://hdl.handle.net/11703/89240","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Arquitectura del paisatge urbà | Urban landscape | Arquitectura del paisaje urbano","Legislació i justícia | Urbanisme i infraestructures","ordenances municipals","Ordenança dels usos del paisatge urbà a la ciutat de Barcelona [1999] : modificació [2000-07-21]","Modificació dels articles 31, 92, 93, 94 i 96 de l'ordenança per a la millora del paisatge urbà, relatius a la implantaciód'antenes i altres instal·lacions de telefonia mòbil","text","info:eu-repo/semantics/other",""
"Gerència de Medi Ambient i Serveis Urbans | Gerència d'Àrea d'Ecologia Urbana","Barcelona | Barcelona | Barcelona | Hospitalet de Llobregat (Catalunya) | Hospitalet de Llobregat (Catalonia) | Hospitalet de Llobregat (Cataluña) | Esplugues de Llobregat (Catalunya) | Esplugues de Llobregat (Catalonia) | Esplugues de Llobregat (Cataluña) | Cornellà de Llobregat (Catalunya) | Cornellà de Llobregat (Catalonia) | Cornellà de Llobregat (Cataluña) | Sant Adrià de Besòs (Catalunya) | Sant Adrià de Besòs (Catalonia) | Sant Adrià de Besòs (Cataluña)","","Si","2019-12-20","2020","","2020-01-01","Aprovada pel Plenari del Consell Municipal de 20-12-2019","","","","","application/pdf","26 p.","application/pdf","","Núm. Exp. 19SD0123NT","","","","http://hdl.handle.net/11703/117444","spa","","<a href=""http://hdl.handle.net/11703/116275"">Versió en català</a>","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Qualitat de l'aire | Air quality | Calidad del aire | Circulació urbana | Urban traffic | Circulación urbana | Vehicles | Vehicles | Vehículos | Contaminació atmosfèrica | Atmospheric pollution | Contaminación atmosférica","Legislació i justícia | Medi ambient","ordenances municipals","Ordenanza relativa a la restricción de la circulación de determinados vehículos en la ciudad de Barcelona con el objetivo de preservar y mejorar la calidad del aire [2019]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","Si","2015-02-27","2015-05-22","","2015-05-23","Aprovada pel Plenari del Consell Municipal de 27-02-2015 | És base per l'Estudi impacte economia col·laborativa en mobilitat : informe relatiu a l'impacte de les modificacions de l'OCVV relatives als VMP sobre el trànsit en carril bici i calçada [http://hdl.handle.net/11703/107991]","","Modifica l'Ordenança de circulació de vianants i de vehicles [1998] [http://hdl.handle.net/11703/89263]","","","application/pdf","5 p.","application/pdf","18832","","Butlletí Oficial de la Província de Barcelona (22-05-2015), p. 1-5","","","http://hdl.handle.net/11703/86848","cat","","","","","http://hdl.handle.net/11703/107991","","","","http://hdl.handle.net/11703/89263","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Circulació urbana | Vianants | Aparcaments | Urban traffic | Pedestrians | Parking garages | Circulación urbana | Peatones | Aparcamiento","Legislació i justícia | Transport","ordenances municipals","Ordenança de circulació de vianants i de vehicles [1998] : modificació [2015-02-27]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona. Districte 10. Sant Martí | Barcelona. District 10. Sant Martí | Barcelona. Distrito 10. Sant Martí","","Si","1992-11-27","1993-04-20","","1993-04-21","Aprovada pel Plenari del Consell Municipal de 27-11-1992","","","Digitalitzat pel SEDAC","","application/pdf","3 p.","application/pdf","17311","","Butlletí Oficial de la Província de Barcelona, núm. 94 (20-04-1993), p. 39-41","","","http://hdl.handle.net/11703/88841","cat","","","","","","Reproducció digital del document en suport original","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Transport de mercaderies | Freight transportation | Transporte de mercancías","Legislació i justícia | Transport | Comerç","ordenances municipals","Ordenança municipal reguladora del règim transitori de l'ús de transport i distribució de mercaderies en l'àmbit territorial del Districte de Sant Martí [1992]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","Si","2003-04-11","2003-07-16","","2004-01-16","Aprovada pel Plenari del Consell Municipal de 11-04-2003","Modificada pel Plenari del Consell Municipal de 22-12-2003 [http://hdl.handle.net/11703/89251] | Modificada pel Plenari del Consell Municipal de 23-02-2007 [http://hdl.handle.net/11703/89252] | Modificada pel Plenari del Consell Municipal de 29-02-2008 [http://hdl.handle.net/11703/89253] | Modificada pel Plenari del Consell Municipal de 29-05-2009[http://hdl.handle.net/11703/89254] | Modificada per l'Ordenança sobre la protecció, tinença i venda d'animals [2014] [http://hdl.handle.net/11703/86855] | Modificada per l'Ordenança reguladora del procediment sancionador [2010] [http://hdl.handle.net/11703/89239] | Derogats els art. 39.7 i 45.1.k  per l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856] | Modificada pel Plenari del Consell Municipal de 03-05-2019 [http://hdl.handle.net/11703/114025]","Deroga l'Ordenança dels establiments de concurrència pública [1987] [http://hdl.handle.net/11703/91635]","","","application/pdf","16 p.","application/pdf","14957 | 14967","","Butlletí Oficial de la Província de Barcelona, núm. 169 (16-07-2003), p. 31-46 | Correccions d'errades: Butlletí Oficial de la Província de Barcelona, núm. 184 (02-08-2003), p. 21-22","","","http://hdl.handle.net/11703/89250","cat","","","","","http://hdl.handle.net/11703/97343","","http://hdl.handle.net/11703/86875 | http://hdl.handle.net/11703/89281 | http://hdl.handle.net/11703/89282 | http://hdl.handle.net/11703/86876 | http://hdl.handle.net/11703/86877 | http://hdl.handle.net/11703/86878 | http://hdl.handle.net/11703/89284 | http://hdl.handle.net/11703/86885 | http://hdl.handle.net/11703/97965 | http://hdl.handle.net/11703/102151 | <a href=""http://hdl.handle.net/11703/97566"">Estudi sobre les normatives aplicables a les activitats culturals de música en viu d’iniciativa privada en l’àmbit municipal de Barcelona i mesures de canvi enfocades al foment d’aquestes activitats</a> | http://hdl.handle.net/11703/108910 | <a href=""http://hdl.handle.net/11703/115845""> Acord de Suspensió potestativa prèvia de comunicats de jocs d'atzar a la ciutat de Barcelona [2019]</a> | <a href=""http://hdl.handle.net/11703/116013""> Guia tècnica : serveis sanitaris dels establiments de restauració</a> | <a href=""http://hdl.handle.net/11703/117652"">Guia tècnica : cuina en els restaurants i restaurants-bars</a>","","","","http://hdl.handle.net/11703/91635","http://hdl.handle.net/11703/89251 | http://hdl.handle.net/11703/89252 | http://hdl.handle.net/11703/89253 | http://hdl.handle.net/11703/89254 | http://hdl.handle.net/11703/89239 | http://hdl.handle.net/11703/86856 | http://hdl.handle.net/11703/114025","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Establiments de concurrència pública | Terrasses (Hoteleria) | Public areas | Bar terraces | Establecimientos de concurrencia pública | Terrazas (Hostelería)","Legislació i justícia | Comerç","ordenances municipals","Ordenança municipal de les activitats i dels establiments de concurrència pública de Barcelona [2003]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","Si","2008-10-15","2008-11-04","","2008-11-05","Aprovada per la Comissió de Govern de 15-10-2008","","Modifica l'Ordenança municipal d'activitats i d'intervenció integral de l'administració ambiental de Barcelona [2001] [http://hdl.handle.net/11703/89255]","","","application/pdf","2 p.","application/pdf","14994","","Butlletí Oficial de la Província de Barcelona, núm. 265 (04-11-2008), p. 22-23","","","http://hdl.handle.net/11703/89259","cat","","","","","","","","","http://hdl.handle.net/11703/89255","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Llicències comercials | Medi ambient | Trade licenses | Environment | Licencias comerciales | Medio ambiente","Legislació i justícia | Medi ambient","ordenances municipals","Ordenança municipal d'activitats i d'intervenció integral de l'administració ambiental de Barcelona [2001] : modificació [2008-10-15]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","Si","2002-09-27","2002-10-11","","2002-10-12","Aprovada pel Plenari del Consell Municipal de 27-09-2002","","Modifica l'Ordenança municipal d'activitats i d'intervenció integral de l'administració ambiental de Barcelona [2001] [http://hdl.handle.net/11703/89255]","","","application/pdf","1 p.","application/pdf","16446","","Butlletí Oficial de la Província de Barcelona, núm. 244 (11-10-2002), p. 36","","","http://hdl.handle.net/11703/89256","cat","","","","","","","","","http://hdl.handle.net/11703/89255","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Llicències comercials | Medi ambient | Establiments de concurrència pública | Trade licenses | Environment | Public areas | Licencias comerciales | Medio ambiente | Establecimientos de concurrencia pública","Legislació i justícia | Medi ambient","ordenances municipals","Ordenança municipal d'activitats i d'intervenció integral de l'administració ambiental de Barcelona [2001] : modificació [2002-09-22]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","Si","2011-04-29","2011-05-30","","2011-05-31","Aprovada pel Plenari del Consell Municipal de 29-04-2011","Modificada per l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856]","Deroga l'Ordenanza de policía de abastos sobre panaderías [1963][http://hdl.handle.net/11703/100494] | Deroga l'Ordenança d'establiments i centres de comerç alimentari [1999] [http://hdl.handle.net/11703/91608]","","","application/pdf","19 p.","application/pdf","8579 | 13283","","Butlletí Oficial de la Província de Barcelona (30-05-2011), p. 1-19 | Correccions d'errades: Butlletí Oficial de la Província de Barcelona (28-11-2011), p. 1-3","","","http://hdl.handle.net/11703/88842","cat","","","","","","","","","","","http://hdl.handle.net/11703/100494 | http://hdl.handle.net/11703/91608","http://hdl.handle.net/11703/86856","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Comerç | Establiments comercials | Alimentació | Commerce | Retail stores | Diet | Comercio | Comercios | Alimentación","Legislació i justícia | Comerç","ordenances municipals","Ordenança d'establiments i centres de comerç alimentari de Barcelona [2011]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","Si","2005-12-23","2006-01-24","","2006-01-25","Aprovada pel Plenari del Consell Municipal de 23-12-2005 | Referenciada per un nota de premsa de la Síndica de Greuges. Podeu consultar la versió en català a: http://hdl.handle.net/11703/88320 i en castellà a: http://hdl.handle.net/11703/88321 | És base per L'aplicació de l'ordenança de mesures per fomentar i garantir la convivència ciutadana a l'espai públic de Barcelona des de la perspectiva dels drets humans : informe [http://hdl.handle.net/11703/111436]","Modificada pel Plenari del Consell Municipal de 29-04-2011 [http://hdl.handle.net/11703/88837 | Modificada pel Plenari del Consell Municipal de 25-07-2012 [http://hdl.handle.net/11703/88838] | Modificada per Sentència del Tribunal Suprem de 23-03-2015 [http://hdl.handle.net/11703/88839] | Modificada per l'Ordenança reguladora del procediment sancionador [2010] [http://hdl.handle.net/11703/89239]","Modifica l'Ordenança de circulació de vianants i de vehicles [1998] [http://hdl.handle.net/11703/89263] | Modifica l'Ordenança sobre l'ús de les vies i els espais públics de Barcelona [1999] [http://hdl.handle.net/11703/89244] | Modifica l'Ordenança general del medi ambient urbà [1999][http://hdl.handle.net/11703/91612]","","","application/pdf","17 p.","application/pdf","15657","","Butlletí Oficial de la Província de Barcelona, núm. 20, Annex I (24-01-2006), p. 14-31","","","http://hdl.handle.net/11703/89246","cat","","","","","http://hdl.handle.net/11703/111436","","http://hdl.handle.net/11703/88320 | http://hdl.handle.net/11703/88321 | <a href=""http://hdl.handle.net/11703/117978"">  Informe del Grup de Treball d'Espai Públic i Convivència</a>","","http://hdl.handle.net/11703/89244 | http://hdl.handle.net/11703/89263 | http://hdl.handle.net/11703/91612","","","http://hdl.handle.net/11703/88837 | http://hdl.handle.net/11703/88838 | http://hdl.handle.net/11703/88839 | http://hdl.handle.net/11703/89239","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Civisme | Convivència | Civics | Coexistence | Civismo | Convivencia","Legislació i justícia | Societat i benestar","ordenances municipals","Ordenança de mesures per fomentar i garantir la convivència ciutadana a l'espai públic de Barcelona [2005]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","","","Si","2008-02-29","2008-03-10","","2008-03-10","Aprovada pel Plenari del Consell Municipal de 29-02-2008","","Modifica l'Ordenança municipal de les activitats i dels establiments de concurrència pública de Barcelona [2003] [http://hdl.handle.net/11703/89250]","","","application/pdf","2 p.","application/pdf","14982","","Butlletí Oficial de la Província de Barcelona, núm. 60 (10-03-2008), p. 58-59","","","http://hdl.handle.net/11703/89253","cat","","","","","","","","","http://hdl.handle.net/11703/89250","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Establiments de concurrència pública | Terrasses (Hoteleria) | Public areas | Bar terraces | Establecimientos de concurrencia pública | Terrazas (Hostelería)","Legislació i justícia | Comerç","ordenances municipals","Ordenança municipal de les activitats i dels establiments de concurrència pública de Barcelona [2003] : modificació [2008-02-29]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","Si","2001-07-20","2001-08-14","","2001-08-15","Aprovada pel Plenari del Consell Municipal de 20-07-2001","","Modifica l'Ordenança sobre l'ús de les vies i els espais públics de Barcelona [1999] [http://hdl.handle.net/11703/89244]","","","application/pdf","2 p.","application/pdf","13270","","Butlletí Oficial de la Província de Barcelona, núm. 194, Annex I (14-08-2001), p. 61-62","","","http://hdl.handle.net/11703/89245","cat","","","","","","","","","http://hdl.handle.net/11703/89244","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Espais públics | Public spaces | Espacios públicos","Legislació i justícia | Urbanisme i infraestructures","ordenances municipals","Ordenança sobre l'ús de les vies i els espais públics de Barcelona [1999] : modificació [2001-07-20]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","Si","1994-10-28","1995-03-25","","1995-03-26","Aprovada pel Plenari del Consell Municipal de 28-10-1994","","Modifica l'Ordenança sobre obres, instal·lacions i serveis en el domini públic municipal [1991] [http://hdl.handle.net/11703/97258]","Digitalitzat pel SEDAC","","application/pdf","1 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona,  núm. 72 (25-03-1995), p. 16","","","http://hdl.handle.net/11703/97259","cat","","","","","","","","","http://hdl.handle.net/11703/97258","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Espais públics | Obres públiques | Enginyeria urbana | Public spaces | Public works | Municipal engineering | Espacios públicos | Obras públicas | Ingenieria urbana","Legislació i justícia | Urbanisme i infraestructures","ordenances municipals","Ordenança sobre obres, instal·lacions i serveis en el domini públic municipal [1991] : modificació [1994-10-28]","","text","info:eu-repo/semantics/other",""
