"dcAccrualPeriodicity","dcAccrualPolicy","dccontributor","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisreferencedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrights","dcrightsaccessrights","dcrightsholder","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 46"
"Anual","Oberta","","Sindicatura de Greuges de Barcelona","","Barcelona | Barcelona | Barcelona","2008","No","2009","2009","Podeu consultar la versió en castellà a:http://hdl.handle.net/11703/87812 | Informe presentat al Plenari del Consell Municipal","","","application/pdf","148 p.","application/pdf","10745","","","","Mandat 2007-2011","http://hdl.handle.net/11703/87757","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/87812","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Sindicatura de Greuges de Barcelona | Responsabilitat administrativa | Sindicatura de Greuges de Barcelona | Government liability | Sindicatura de Greuges de Barcelona | Responsabilidad del Estado","Societat i benestar","informes d'avaluació i de seguiment | informes als òrgans de govern | memòries","","Activitat de la Sindicatura de Greuges de Barcelona: Informe 2008","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"","","","Institut Municipal d'Educació (Barcelona) | Institut Infància i Adolescència de Barcelona | Saurí, Enric","Sintes Pascual, Elena","Barcelona. Districte 6. Gràcia | Barcelona. Districte 7. Horta-Guinardó | Barcelona. Districte 8. Nou Barris | Barcelona. Districte 10. Sant Martí | Barcelona. District 6. Gràcia | Barcelona. District 7. Horta-Guinardó | Barcelona. District 8. Nou Barris | Barcelona. District 10. Sant Martí | Barcelona. Distrito 6. Gràcia | Barcelona. Distrito 7. Horta-Guinardó | Barcelona. Distrito 8. Nou Barris | Barcelona. Distrito 10. Sant Martí","2016 | 2017","","2017","2017-10","És base per l'elaboració del resum executiu [http://hdl.handle.net/11703/108125] | Sol·licitant de l’informe: Institut Municipal d'Educació (Barcelona)","","","application/pdf","86 p.","application/pdf","","Núm. Exp. I160000040","","consorcis | organismes autònoms","Mandat 2015-2019","http://hdl.handle.net/11703/106067","cat","","","","","http://hdl.handle.net/11703/108125","","","","","CC-BY-NC-SA","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona | Institut Infància i Adolescència de Barcelona","","","http://creativecommons.org/licenses/by-nc-sa/4.0/deed.ca","Patis escolars | Activitats extraescolars | Barris | Playgrounds | Student activities | Neighborhood | Patios escolares | Actividades extraescolares | Barrios","Educació | Societat i benestar","informes d'avaluació i de seguiment | informes altres","Programa Patis Escolars Oberts al Barri 2005- (Barcelona)","Avaluació del Programa patis escolars oberts al barri : eines per un seguiment i avaluació : informe","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"Anual","Obert","","Sindicatura de Greuges de Barcelona","","Barcelona | Barcelona | Barcelona","2019","Si","2019","2020","","","","application/pdf","183 p.","application/pdf","","","","","Mandat 2019-","http://hdl.handle.net/11703/117424","cat","Ajuntament de Barcelona","","","","","<a href=""http://hdl.handle.net/11703/117400"">Els Drets socials copsen gairebé el 30% de les queixes ciutadanes a la Síndica de Greuges de Barcelona</a>","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Sindicatura de Greuges de Barcelona | Sindicatura de Greuges de Barcelona | Sindicatura de Greuges de Barcelona | Responsabilitat administrativa | Government liability | Responsabilidad del Estado","Societat i benestar","informes d'avaluació i de seguiment | informes als òrgans de govern | memòries","","Activitat de la Sindicatura de Greuges de Barcelona : Informe 2019","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Direcció de Serveis d'Inversions | Direcció de Gestió Econòmica","","Barcelona | Barcelona | Barcelona","2008 | 2009 | 2010 | 2011","","2011-03-25","2011","Informe presentat al Plenari del Consell Municipal de 25-03-2011 | Citat a la Gaseta Municipal de Barcelona, núm. 19 (30-06-2011)","","","application/pdf","42 p.","application/pdf","8064","","","","Mandat 2007-2011","http://hdl.handle.net/11703/86833","spa","Ajuntament de Barcelona","http://hdl.handle.net/11703/88762 | http://hdl.handle.net/11703/86825","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política econòmica | Política fiscal | Inversions | Economic policy | Fiscal policy | Investments | Política económica | Política fiscal | Inversiones","Economia | Sector públic","informes als òrgans de govern | informes d'avaluació i de seguiment","Programa d'Inversions Municipals 2008-2011 (Barcelona)","Informe de mandato 2008-2011","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Institut Municipal d'Educació (Barcelona) | Foment de Ciutat, S.A. | Institut Català d’Avaluació de Polítiques Públiques | Farré, Marçal | Alegre, Miquel Àngel | Comas, Núria","","Trinitat Nova (Barcelona : Barri) | Trinitat Nova (Barcelona : Barrio) | Trinitat Nova (Barcelona : Neighborhood) | Baró de Viver (Barcelona : Barri) | Baró de Viver (Barcelona : Barrio) | Baró de Viver (Barcelona : Neighborhood) | Besòs i el Maresme (Barcelona : Barri) | Besòs i el Maresme (Barcelona : Barrio) | Besòs i el Maresme (Barcelona : Neighborhood) | Trinitat Vella (Barcelona : Barri) | Trinitat Vella (Barcelona : Barrio) | Trinitat Vella (Barcelona : Neighborhood) | Marina del Port (Barcelona : Barri) | Marina del Port (Barcelona : Barrio) | Marina del Port (Barcelona : Neighborhood) | Marina del Prat Vermell (Barcelona : Barri) | Marina del Prat Vermell (Barcelona : Barrio) | Marina del Prat Vermell (Barcelona : Neighborhood) | Verneda i la Pau (Barcelona : Barri) | Verneda i la Pau (Barcelona : Barrio) | Verneda i la Pau (Barcelona : Neighborhood)","2017","","2017-12","2017-12","","Ivàlua ha avaluat la implementació del programa Baobab, una iniciativa de l’Institut Municipal d’Educació de Barcelona (IMEB) que té com a objectiu enfortir el lleure educatiu de base comunitària als barris on la xarxa de lleure educatiu és feble o inexistent. | Ivàlua ha evaluado la implementación del programa Baobab, una iniciativa del Institut Municipal d’Educació de Barcelona (IMEB) que tiene como objetivo fortalecer el tiempo libre educativo de base comuntaria en los Barrios donde la educación en el tiempo libre es dèbil o inexistente. | Ivàlua has evaluated the implementation of the Baobab programme, an initiative of the Institut Municipal d'Educació de Barcelona (IMEB) which aims to strengthen community-based educational leisure time in neighbourhoods where free time education is weak or non-existent.","","application/pdf","48 p.","application/pdf","","","","consorcis | organismes autònoms | societats mercantils","Mandat 2015-2019","http://hdl.handle.net/11703/114192","cat","","","","","","","","","","CC-BY","","","","","http://creativecommons.org/licenses/by/4.0/deed.ca","Educació i lleure | Infants | Joves | Associacionisme | Education and leisure | Children | Youth | Associationism | Educación y ocio | Niños | Jóvenes | Asociacionismo","Societat i benestar","informes d'avaluació i de seguiment","Projecte Baobab 2016- (Barcelona) | Pla de Barris 2016-2026 (Barcelona)","Avaluació de la implementació del programa Baobab (Pla de Barris) [2017]","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Districte 4. Les Corts","","Barcelona. Districte 4. Les Corts | Barcelona. Distrito 4. Les Corts | Barcelona. District 4. Les Corts","2015 | 2016 | 2017 | 2018 | 2019","Si","2019-03-06","2019","Presentat al Ple del Consell del Districte de Les Corts de 06-03-2019","","","application/pdf","74 p.","application/pdf","","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/112744","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica | Política social | Política econòmica | Política pública | Strategic planning | Social policy | Economic policy | Government policy | Planificación estratégica | Política social | Política económica | Política gubernamental","Sector públic","informes als òrgans de govern | informes d'avaluació i de seguiment","Programa d'Actuació del Districte de Les Corts (PAD) 2016-2019 (Barcelona)","Informe d’actuació a les Corts 2015-2019","Balanç de mandat : Districte de Les Corts 2015-2019 (PAD)","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Regidoria de Dona i Drets Civils | Àrea de Qualitat de Vida, Igualtat i Esports","","Barcelona | Barcelona | Barcelona","2010 | 2011 | 2012","","2012-07-17","2012","Informe presentat a la Comissió de Qualitat de Vida, Igualtat, Joventut i Esports del 17-07-2012, per la Sra. Francina Vila i Valls | Citat a la Gaseta Municipal de Barcelona, núm. 27 (10-10-2012)","","","application/pdf","28 p.","application/pdf","10813","","","","Mandat 2007-2011","http://hdl.handle.net/11703/88712","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Drets civils | Homosexuals | Lesbianes | Transsexuals | Bisexuals | Civil rights | Gays | Lesbians | Transsexuals | Bisexuals | Derechos políticos y civiles | Homosexuales | Lesbianas | Transexuales | Bisexuales","Societat i benestar","informes als òrgans de govern | informes d'avaluació i de seguiment","Pla Municipal per al Col·lectiu Lesbià, Gai, Transsexual i Bisexual 2010-2015 (Barcelona)","Informe d'avaluació sobre el grau d'implementació del Pla Municipal Lesbià, Gai, Transsexual i Bisexual de la Ciutat de Barcelona","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"Anual","Oberta","","Sindicatura de Greuges de Barcelona","","Barcelona | Barcelona | Barcelona","2013","No","2014","2014","Podeu consultar la versió en castellà a:http://hdl.handle.net/11703/87817 | Informe presentat al Plenari del Consell Municipal","","","application/pdf","197 p.","application/pdf","13400","","","","Mandat 2011-2015","http://hdl.handle.net/11703/87762","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/87817","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Sindicatura de Greuges de Barcelona | Responsabilitat administrativa | Sindicatura de Greuges de Barcelona | Government liability | Sindicatura de Greuges de Barcelona | Responsabilidad del Estado","Societat i benestar","informes d'avaluació i de seguiment | informes als òrgans de govern | memòries","","Activitat de la Sindicatura de Greuges de Barcelona: Informe 2013","Informe al Plenari del Consell Municipal 2013","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"","","","Consorci Sanitari de Barcelona | Agència de Salut Pública de Barcelona","","Roquetes (Barcelona : Barri) | Roquetes (Barcelona : Neighborhood) | Roquetes (Barcelona : Barrio)","","","2011","2011","","","","application/pdf","91 p.","application/pdf","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/88304","cat","Agència de Salut Pública de Barcelona","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Agència de Salut Pública de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Indicadors de salut | Política sanitària | Health status indicators | Medical policy | Promoción de la salud | Política sanitaria","Salut","monografies | informes d'avaluació i de seguiment","Programa Salut als Barris (Barcelona)","Salut als barris : avaluació : les Roquetes","","text","info:eu-repo/semantics/book | info:eu-repo/semantics/report",""
"","","","Gerència de Seguretat i Prevenció","","Barcelona | Barcelona | Barcelona","","","2019-03","2019-03","","","","application/pdf","22 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/113953","cat","","","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Policia local | Barris | Seguretat ciutadana | Municipal police | Neighborhood | Public security | Policía municipal | Barrios | Seguridad ciudadana","Societat i benestar","informes d'avaluació i de seguiment","Pla Director de la Guàrdia Urbana de Barcelona 2016-2019","Informe de Policia de Barri","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Ajuntament de Barcelona","","Barcelona. Districte 2. Eixample | Barcelona. District 2. Eixample | Barcelona. Distrito 2. Eixample","2013 | 2014","","2015-03-09","2015","Informe presentat al Ple del Consell Municipal del Districte de l’Eixample de 2015-03-09","","","application/pdf","13 p.","application/pdf","18339","","","","Mandat 2011-2015","http://hdl.handle.net/11703/86806","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica | Strategic planning | Planificación estratégica","Sector públic","informes d'avaluació i de seguiment","Programa d'Actuació del Districte de l'Eixample (PAD) 2012-2015 (Barcelona)","Balanç PAD 2013-2014 : Districte de l'Eixample [versió presentació]","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Direcció de Cooperació Internacional, Solidaritat i Pau","","Barcelona | Barcelona | Barcelona","2010","","2010","2010","","","","application/pdf","69 p.","application/pdf","8554","","","","Mandat 2007-2011","http://hdl.handle.net/11703/86816","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Cooperació internacional | Socors internacional | Solidaritat | International cooperation | International relief | Solidarity | Cooperación internacional | Socorro internacional | Solidaridad","Societat i benestar","informes d'avaluació i de seguiment","Pla Director de Cooperació internacional i Solidaritat 2009-2012 (Barcelona)","Balanç Activitats del Departament de Cooperació Internacional, Solidaritat i Pau : any 2010","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
