"Tipus_despesa","Codi_Organic","Descripcio_organic","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Despesa total capítols 1 a 9",504,"Infraestructures i coordinació urbana / Mobilitat i infraestructures",0.0,0.0,0.0,8.5,48.3,60.2,37.6,47.7,198.5,231.5
"Despesa total capítols 1 a 9",601,"Ciutat Vella",45.8,44.8,45.7,46.5,47.7,46.9,48.3,50.3,51.9,54.2
"Despesa total capítols 1 a 9",602,"Eixample",38.5,38.1,40.6,40.9,41.3,42.0,42.4,44.5,44.1,45.8
"Despesa total capítols 1 a 9",603,"Sants-Montjuïc",41.7,37.4,34.6,35.9,36.1,37.3,37.1,37.8,38.3,38.6
"Despesa total capítols 1 a 9",604,"Les Corts",19.2,15.4,15.6,16.6,17.7,17.5,16.8,17.1,17.1,17.1
"Despesa total capítols 1 a 9",605,"Sarrià-St.Gervasi",28.9,21.9,21.6,24.0,22.2,23.9,22.2,22.4,24.0,23.7
"Despesa total capítols 1 a 9",606,"Gràcia",27.6,25.3,31.9,24.0,24.3,23.7,26.9,26.3,26.2,26.2
"Despesa total capítols 1 a 9",607,"Horta-Guinardó",27.9,31.3,27.5,28.5,28.8,28.8,32.0,32.3,32.4,32.9
"Despesa total capítols 1 a 9",608,"Nou Barris",26.6,25.2,26.9,27.6,28.2,30.5,34.8,38.2,37.7,38.6
"Despesa total capítols 1 a 9",609,"St. Andreu",32.1,31.2,31.4,31.9,42.3,27.8,29.3,28.9,29.7,31.3
"Despesa total capítols 1 a 9",610,"St. Martí",38.9,37.7,39.9,38.5,39.8,42.0,43.1,44.4,45.1,45.9
"Despesa total capítols 1 a 9",701,"Economia / Presidència i Economia",0.0,0.0,29.6,28.7,30.5,88.3,174.4,96.6,80.7,88.1
"Despesa total capítols 1 a 9",701,"Promoció econòmica",63.6,84.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa total capítols 1 a 9",702,"Empresa i Ocupació / Ocupació, Empresa i Turisme",0.0,0.0,64.6,46.2,68.0,74.0,54.6,49.1,61.5,59.0
"Despesa total capítols 1 a 9",703,"Serveis Centrals",0.0,0.0,661.4,637.2,896.9,940.9,810.7,734.9,538.3,499.8
"Despesa total capítols 1 a 9",704,"Gerència turisme, comerç i mercats",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,16.3
"Despesa total capítols 1 a 9",801,"Cultura, Coneix., Creativ. i Innov. / Drets Ciutadania, Particip. i Transp.",0.0,0.0,210.7,203.6,213.5,226.2,180.0,73.4,200.3,194.5
"Despesa total capítols 1 a 9",801,"Educació, Cultura i Benestar",249.4,248.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa total capítols 1 a 9",9901,"Serveis Centrals",815.8,747.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
