"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributoreditor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationispartof","dcrelationreferences","dcrights","dcrightsaccessrights","dcrightsholder","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 43"
"","","Gerència d'Urbanisme | Gerència d'Àrea d'Ecologia Urbana | González, Reynaldo (González García)","","","Barcelona. Districte 4. Les Corts | Barcelona. District 4. Les Corts | Barcelona. Distrito 4. Les Corts | Monestir, Carrer (Barcelona) | Monestir, Street (Barcelona) | Monestir, Calle (Barcelona)","","","2019-12","2019","Sol·licitant de l’informe: Gerència d'Urbanisme","","","application/pdf","7 p.","application/pdf","","Núm. Exp. 20190267","","Mandat 2019-","http://hdl.handle.net/11703/117913","cat","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Monestir de Santa Maria de Pedralbes (Barcelona) | Claustres (Arquitectura) | Patrimoni cultural | Monestir de Santa Maria de Pedralbes (Barcelona) | Cloisters (Architecture) | Cultural heritage | Monestir de Santa Maria de Pedralbes (Barcelona) | Claustros | Patrimonio cultural","Urbanisme i infraestructures","informes altres","","Estudi històric-arquitectònic i valoració patrimonial de les finestres aparegudes al mur est del refetor a la banda del ""Claustre dels Gats"" i de les seves antigues portes de pas de l'antiga cuina del Reial Monestirde Santa Maria de Pedralbes","Estudi històric de les finestres del Claustre dels Gats","text","info:eu-repo/semantics/report",""
"","","Gerència Adjunta d'Urbanisme | Gerència d’Ecologia Urbana | Pardo Díaz, Gonzalo","","","Barcelona. Districte 5. Sarrià-Sant Gervasi | Barcelona. District 5. Sarrià-Sant Gervasi | Barcelona. Distrito 5. Sarrià-Sant Gervasi | Vallirana, Carrer (Barcelona) | Vallirana, Street (Barcelona) | Vallirana, Calle (Barcelona) | Ballester, Carrer (Barcelona) | Ballester, Street (Barcelona) | Ballester, Calle (Barcelona) | General Mitre, Ronda (Barcelona) | General Mitre, Ronda (Barcelona) | General Mitre, Ronda (Barcelona)","","","2019-12","2019-05","Sol·licitant de l’informe: Cementiris de Barcelona, S.A.","","","application/pdf","61 p.","application/pdf","","Núm. Exp. 20190459","","Mandat 2015-2019","http://hdl.handle.net/11703/117902","cat","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Casa Tosquella (Barcelona) | Compravenda de béns immobles | Patrimoni cultural | Rehabilitació d'edificis | Casa Tosquella (Barcelona) | Vendors and purchasers | Cultural heritage | Building reconstruction | Casa Tosquella (Barcelona) | Compraventa de propiedad inmobiliaria | Patrimonio cultural | Rehabilitación de edificios","Urbanisme i infraestructures","informes altres","","Anàlisi valorada de les possibilitats vinculades a la possible adquisició de la Casa Tosquella, arran de la proposta de tanteig i retracta","Dossier anàlisi : Casa Tosquella","text","info:eu-repo/semantics/report",""
"","","Institut de Cultura de Barcelona | Arderiu Renau, Eduard","","","Barcelona | Barcelona | Barcelona","2016","","2017-03-17","2017-06-15","Sol·licitant de l'informe: Institut de Cultura de Barcelona","","","application/pdf","2 documents (5 fitxers)","application/pdf","","Núm. Exp. C170001177","entitats públiques empresarials","Mandat 2015-2019","http://hdl.handle.net/11703/112259","cat","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Institut de Cultura de Barcelona","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Centres cívics | Indicadors socials | Civic centers | Social indicators | Centros cívicos | Indicadores sociales","Cultura i oci","informes altres","","Informe indicadors Centres Cívics","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Institut Municipal del Paisatge Urbà i la Qualitat de Vida (Barcelona) | Renau Bartumeus Arquitectes, S.L.P. | Renau, Anna | Bartumeus Ferré, Sara","","","Barcelona. Districte 7. Horta-Guinardó | Barcelona. Distrito 7. Horta-Guinardó | Barcelona. District 7. Horta-Guinardó | Font d'en Fargues (Barcelona : Barri) | Font d'en Fargues (Barcelona : Barrio) | Font d'en Fargues (Barcelona : Neighborhood)","","","2018-01","2018-07","Sol·licitant de l'informe: Institut Municipal del Paisatge Urbà i la Qualitat de Vida","","","application/pdf","189 p.","application/pdf","","Núm. Exp. U180000019","organismes autònoms","Mandat 2015-2019","http://hdl.handle.net/11703/112379","cat","","","","","","","","CC-BY-ND","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","","","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","Arquitectura del paisatge urbà | Ordenació del territori | Patrimoni cultural | Urban landscape | Regional planning | Cultural heritage | Arquitectura del paisaje urbano | Ordenación del territorio | Patrimonio cultural","Urbanisme i infraestructures","informes altres","","Estudi de paisatge urbà Font d'en Fargues","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Barcelona Activa, S.A. | Districte 1. Ciutat Vella | Güell, Berta | Arrasate Hierro-Olavarría, Marina | Maciocco, Eva | Parella Rubio, Sònia","","","Raval (Barcelona : Barri) | Raval (Barcelona : Barrio) | Raval (Barcelona : Neighborhood) | Barcelona. Districte 1. Ciutat Vella | Barcelona. Distrito 1. Ciutat Vella | Barcelona. District 1. Ciutat Vella","","","2016-10-19","2017-01-01","Sol·licitant de l'informe: Barcelona Activa, S.A.","","","application/pdf","167 p.","application/pdf","","","societats mercantils | districtes","Mandat 2015-2019","http://hdl.handle.net/11703/112381","cat","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Pakistanesos | Comerç | Integració social | Establiments comercials | Pakistanis | Commerce | Social integration | Retail stores | Pakistaníes | Comercio | Integración social | Comercios","Comerç","informes altres","","Diagnosi del comerç pakistanès al barri del Raval: una anàlisi multi-nivell","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Col·legi Oficial d’Enginyers Industrials de Catalunya | Tractament i Selecció de Residus, S.A. (TERSA)","","","Sant Adrià de Besòs (Catalunya) | Sant Adrià de Besòs (Catalonia) | Sant Adrià de Besòs (Cataluña)","","","2019","2019-04","Sol·licitant de l’informe: Tractament i Selecció de Residus, S.A. (TERSA)","","","application/pdf","176 p.","application/pdf","","Núm. Exp. CTTE393","societats mercantils","Mandat 2015-2019","http://hdl.handle.net/11703/116090","cat","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Col·legi Oficial d’Enginyers Industrials de Catalunya | Tractament i Selecció de Residus, S.A. (TERSA)","","","http://creativecommons.org/licenses/by/4.0/deed.ca","Centrals d'energia | Contaminació atmosfèrica | Reciclatge (Residus, etc.) | Power-plants | Atmospheric pollution | Recycling (Waste, etc.) | Centrales de energía | Contaminación atmosférica | Reciclaje (Residuos, etc.)","Medi ambient | Urbanisme i infraestructures | Energia","informes altres","","Informe/dictamen en relació al funcionament de la planta de valorització energètica de Sant Adrià de Besòs","","text","info:eu-repo/semantics/report",""
"","","Gerència Adjunta d'Urbanisme | Jiménez Gómez, Eva | Llobet Ribeiro, Xavier | Sagarra, Ferran | Albareda, Albert | Solsona, Xavier","","","Barcelona | Barcelona | Barcelona","","","2019-12","2019-04","Sol·licitant de l’informe: Gerència d'Urbanisme","","","application/pdf","48 p.","application/pdf","","Núm. Exp. 20190381","","Mandat 2019-","http://hdl.handle.net/11703/117836","cat","Ajuntament de Barcelona. Direcció de Serveis Editorials","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Projectes urbanístics | Ordenació del territori | Canals | Zones verdes | City planning | Regional planning | Canals | Open spaces | Planeamiento urbanístico | Ordenación del territorio | Canales | Zonas verdes","Urbanisme i infraestructures | Medi ambient","informes altres","","Estudi previ per a la recuperació del Canal de la Infanta i del REC","Anàlisi de permanència del Canal de la Infanta","text","info:eu-repo/semantics/report",""
"","","Districte 2. Eixample | Institut de Salut Global de Barcelona (ISGlobal)","","","Barcelona. Districte 2. Eixample | Sant Antoni (Barcelona : Barri) | Barcelona. Distrito 2. Eixample | Sant Antoni (Barcelona : Barrio) | Barcelona. District 2. Eixample | Sant Antoni (Barcelona : Neighborhood)","2017","","2017","2018-04","Sol·licitant de l’informe: Districte 2. Eixample","","","application/pdf","2 documents","application/pdf","","Núm. Exp. 17004948 | Núm. Exp. 20174025","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/110830","cat","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona | Institut de Salut Global de Barcelona (ISGlobal)","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Contaminació atmosfèrica | Contaminació acústica | Participació ciutadana | Investigació | Atmospheric pollution | Noise pollution | Citizen participation | Research | Contaminación atmosférica | Contaminación acústica | Participación ciudadana | Investigación","Medi ambient","informes altres","Pla de Reducció de la Contaminació de Vehicles Comercials al Barri de Sant Antoni 2017- (Barcelona)","Contaminació atmosfèrica i acústica al barri de Sant Antoni de Barcelona : informe de revisió de literatura científica","Recerca evidències científiques per fonamentar el pla de reducció de la contaminació","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Gerència de Drets de Ciutadania, Participació i Transparència | Direcció de Serveis de Drets de Ciutadania i Diversitat | Grup de Periodistes Ramon Barnils","","","Barcelona | Barcelona | Barcelona","2016 | 2017","","2017-05","2017-12","Sol·licitant de l’informe: Gerència de Drets de Ciutadania, Participació i Transparència","","","application/pdf","76 p.","application/pdf","","Núm. Exp. 499/17 | Núm. Contracte 17001578","","Mandat 2015-2019","http://hdl.handle.net/11703/111417","cat","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona | Grup de Periodistes Ramon Barnils","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Discriminació | Mitjans de comunicació de massa | Gitanos | Indigents | Islamofòbia | Xenofòbia | Discrimination | Mass media | Romanies | Homeless persons | Islamophobia | Xenophobia | Discriminación | Medios de comunicación social | Gitanos | Personas sin techo | Islamofobia | Xenofobia","Cultura i oci | Sector públic | Societat i benestar","informes altres","","Observatori del discurs discriminatori als mitjans de comunicació : estudi 2017","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Departament de Feminismes i LGTBI | Gerència de Drets de Ciutadania, Participació i Transparència","","","Barcelona | Barcelona | Barcelona","","","2017","2017","","","","application/pdf","1 carpeta","application/pdf","","","","","http://hdl.handle.net/11703/114276","cat","","","","","","","","CC-BY","","","","","http://creativecommons.org/licenses/by/4.0/deed.ca","Campanyes publicitàries | Masclisme | Violència envers les dones | Advertising | Machismo | Violence against women | Publicidad | Machismo | Violencia contra las mujeres","Societat i benestar","formats publicitaris diversos","Circuit Barcelona contra la Violència Masclista 2011-","Circuit Barcelona contra la violència masclista","","image","info:eu-repo/semantics/other",""
"","","Institut Municipal d'Educació (Barcelona) | Institut Infància i Adolescència de Barcelona | Saurí, Enric","","","Barcelona | Barcelona | Barcelona","2015 | 2016","","2017","2017-10","Sol·licitant de l’informe: Institut Municipal d'Educació (Barcelona) | Es basa en l'Informe d'avaluació del programa Camí escolar, espai amic [http://hdl.handle.net/11703/106066]","","","application/pdf","30 p.","application/pdf","","Núm. Exp. I160000040","consorcis | organismes autònoms","Mandat 2015-2019","http://hdl.handle.net/11703/108121","cat","","","http://hdl.handle.net/11703/106066","","","","","CC-BY-NC-SA","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona | Institut Infància i Adolescència de Barcelona","","","http://creativecommons.org/licenses/by-nc-sa/4.0/deed.ca","Mobilitat urbana | Infants | Entorn escolar | Urban mobility | Children | School environment | Movilidad urbana | Niños | Ambiente escolar","Transport | Educació","informes d'avaluació i de seguiment | informes altres","Programa Camí Escolar, Espai Amic 2007- (Barcelona)","Avaluació del programa Camí escolar, espai amic : eines per un seguiment i avaluació : resum executiu","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Districte 2. Eixample | Straddle3 Constructors, S.L. | Juàrez, David | Kobeaga, Paula | Garcia, Oihana | Feu Fontaiña, Pablo","","","Barcelona. Districte 2. Eixample | Barcelona. District 2. Eixample | Barcelona. Distrito 2. Eixample","","","2017","2018-05","Sol·licitant de l’informe: Districte 2. Eixample","","El contingut del document està especificat al camp “Altres títols”","application/pdf","2 documents","application/pdf","","Núm. Exp. 20173083 | Núm. Exp. 17004358","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/109504","cat","","","","","","","","CC-BY-NC-SA","info:eu-repo/semantics/openAccess","","","","http://creativecommons.org/licenses/by-nc-sa/4.0/deed.ca","Habitatge de lloguer | Rehabilitació de l'habitatge | Joves | Rental housing | Housing rehabilitation | Youth | Vivienda de alquiler | Rehabilitación de viviendas | Jóvenes","Habitatge | Societat i benestar","informes altres | informes jurídics","","Guia per l'aplicació de la masoveria urbana a l'Eixample","Estudi viabilitat model d'habitatge alternatiu pisos socials Eixample | Informe sobre el règim jurídic de les ordres de conservació per fer efectiva la seva execució","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Institut Barcelona Esports | Inèdit Innovació, S.L.","","","Barcelona | Barcelona | Barcelona","2014 | 2015 | 2016 | 2017 | 2018","","2018","2019-02","Sol·licitant de l'informe: Institut Barcelona Esports","","","application/pdf","59 p.","application/pdf","","Núm. Exp. E180185","organismes autònoms","Mandat 2015-2019","http://hdl.handle.net/11703/113716","cat","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Curses | Indicadors ambientals | Anàlisi del cicle de vida | Cronometria | Desenvolupament sostenible | Racing | Environmental indicators | Product life cycle    | Time measurements | Sustainable development | Carreras | Indicadores ambientales | Ciclo de vida del producto | Cronometría | Desarrollo sostenible","Esport","informes altres","","ACV comparatiu de dispositius per al control del temps en curses : dades ambientals objectives per a la presa de decisions","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Gerència de Presidència i Economia | Gabinete Técnico de Auditoría y Consultoría, S.A.","","","Barcelona | Barcelona | Barcelona | Barcelona (Àrea metropolitana) | Barcelona (Área metropolitana) | Barcelona (Metropolitan area)","2016","","2018","2018-03","Sol·licitant de l'informe: Gerència de Presidència i Economia","","","application/pdf","14 p.","application/pdf","","Núm. Exp. 2018/104","","Mandat 2015-2019","http://hdl.handle.net/11703/112615","cat","","","","","Reproducció digital del document en suport original","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Avaluació d'empreses | Societat Urbanística Metropolitana de Rehabilitació i Gestió, S.A. (REGESA) | Regesa Aparcaments i Serveis, S.A. | Finances municipals | Comptabilitat | Auditoria | Business enterprises - Valuation | Societat Urbanística Metropolitana de Rehabilitació i Gestió, S.A. (REGESA) | Regesa Aparcaments i Serveis, S.A. | Municipal finance | Accounting | Auditing | Evaluación de empresas | Societat Urbanística Metropolitana de Rehabilitació i Gestió, S.A. (REGESA) | Regesa Aparcaments i Serveis, S.A. | Finanzas municipales | Contabilidad | Auditoría","Transport","informes altres | documents digitalitzats","","Informe sobre l'anàlisi dels actius i passius del grup REGESA en funció de la seva ubicació o no en el municipi de Barcelona a 31 de desembre de 2016","Identificació actius i passius REGESA","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Districte 2. Eixample | Xarxa de Consum Solidari","","","Barcelona. Districte 2. Eixample | Barcelona. Distrito 2. Eixample | Barcelona. District 2. Eixample","2017","","2017","2018-04","Sol·licitant de l’informe: Districte 2. Eixample","","","application/pdf","35 p.","application/pdf","","Núm. Exp. 17006563 | Num. Exp. 20176012","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/110831","cat","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona | Xarxa de Consum Solidari","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Menjadors escolars | Aliments naturals | School lunchrooms | Natural foods | Comedores escolares | Alimentos naturales","Educació | Societat i benestar","informes altres","","Menjadors escolars ecològics al Districte de l'Eixample","Suport i enfortiment de les experiències agroecològiques al Districte de l'Eixample","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"Anual","Obert","Gerència d'Ocupació, Empresa i Turisme | Barcelona Activa, S.A. | Cambra Oficial de Comerç, Indústria i Navegació de Barcelona | Fundació Barcelona Promoció | Observatori Barcelona","","","Barcelona | Barcelona | Barcelona","2013 | 2014 | 2015","","2015","2015","Sol·licitant de l’informe: Gerència d'Ocupació, Empresa i Turisme","","","application/pdf","98 p.","application/pdf",18355.0,"Núm. Exp. 2015/88","societats mercantils","Mandat 2015-2019","http://hdl.handle.net/11703/92278","cat","Observatori Barcelona","","","","","","","Tots els drets reservats","info:eu-repo/semantics/openAccess","","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l’àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Barcelona Activa, S.A. | Cambra Oficial de Comerç, Indústria i Navegació de Barcelona | Ajuntament de Barcelona","","Economia | Comerç | Turisme | Mercat de treball | Economics | Commerce | Tourism | Labor market | Economía | Comercio | Turismo | Mercado de trabajo","Economia","revistes i anuaris | informes altres","","Informe [versió en català]. 2015","Informe Observatori Barcelona 2015","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Parc d'Atraccions del Tibidabo, S.A. | Nascor Formación (Firma)","","","Barcelona. Districte 5. Sarrià-Sant Gervasi | Tibidabo, Parc d'atraccions (Barcelona) | Barcelona. Distrito 5. Sarrià-Sant Gervasi | Tibidabo, Parque de atracciones (Barcelona) | Barcelona. District 5. Sarrià-Sant Gervasi | Tibidabo, Amusement park (Barcelona)","2017","","2017","2017","Sol·licitant de l’informe: Parc d'Atraccions del Tibidabo, S.A.","","","application/pdf","2 documents","application/pdf","","Núm. Exp. P17001100","societats mercantils","Mandat 2015-2019","http://hdl.handle.net/11703/111653","spa","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Parc d'Atraccions del Tibidabo, S.A. | Nascor Formación (Firma)","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.es","Parc d'Atraccions del Tibidabo, S.A. | Consumidors | Avaluació | Parc d'Atraccions del Tibidabo, S.A. | Consumers | Evaluation | Parc d'Atraccions del Tibidabo, S.A. | Consumidores | Evaluación","Cultura i oci","informes altres","","Mystery Shopper : Parc d'Atraccions Tibidabo, S.A.","Estudis client misteriós","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
