"dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 45"
"Informació i Comunicació de Barcelona, S.A.","","","Si","2016","2016","","","","","Substitueix els Estatuts d'Informació i Comunicació de Barcelona [2004 text refós] [http://hdl.handle.net/11703/106456]","","","application/pdf","6 p.","application/pdf","","","","","http://hdl.handle.net/11703/112412","cat","","","","","","","","","http://hdl.handle.net/11703/106456","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Informació i Comunicació de Barcelona, S.A. | Informació i Comunicació de Barcelona, S.A. | Informació i Comunicació de Barcelona, S.A.","Sector públic","estatuts","","Estatuts d'Informació i Comunicació de Barcelona [2016 text refós no oficial]","","text","info:eu-repo/semantics/other",""
"Barcelona Sagrera Alta Velocitat, S.A.","","","Si","2003-05-06","2003-10-08","","","Aprovat per la Comissió de Govern per Assumptes Econòmics de 06-05-2003 | Podeu consultar-ne una altra versió a: http://hdl.handle.net/11703/106445","","","","","application/pdf","5 p.","application/pdf","5806","","Diari Oficial de la Generalitat de Catalunya, núm. 3983 (08-10-2003)","societats mercantils","http://hdl.handle.net/11703/88533","cat","","http://hdl.handle.net/11703/106445","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Barcelona Sagrera Alta Velocitat, S.A. | Barcelona Sagrera Alta Velocitat, S.A. | Barcelona Sagrera Alta Velocitat, S.A.","Sector públic","estatuts","","Estatuts de la Societat Barcelona Sagrera Alta Velocidad SA [2003]","","text","info:eu-repo/semantics/other",""
"Parcs i Jardins de Barcelona, Institut Municipal","","","No","2002-06-28","2002-07-20","","","Aprovats pel Plenari del Consell Municipal de 28-06-2002 | Podeu consultar-ne una altra versió a: http://hdl.handle.net/11703/106544","Substituït pels Estatuts de Parcs i Jardins de Barcelona [2005] [http://hdl.handle.net/11703/85194]","","","","application/pdf","5 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm. 173 (20-07-2002), p. 37-41","organismes autònoms | entitats públiques empresarials","http://hdl.handle.net/11703/106538","cat","","http://hdl.handle.net/11703/106544","","","","","http://hdl.handle.net/11703/85194","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Parcs i Jardins de Barcelona, Institut Municipal | Parcs i Jardins de Barcelona, Institut Municipal | Parcs i Jardins de Barcelona, Institut Municipal","Sector públic","estatuts","","Estatuts de Parcs i Jardins de Barcelona [2002 text refós]","","text","info:eu-repo/semantics/other",""
"Red de Juderías de España-Caminos de Sefarad","","","Si","2007-03-17","2007","","","Aprovats el 17-03-2017","","","","","application/pdf","17 p.","application/pdf","","","","associacions","http://hdl.handle.net/11703/106401","spa","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Red de Juderías de España-Caminos de Sefarad","http://creativecommons.org/licenses/by/4.0/deed.ca","Red de Juderías de España-Caminos de Sefarad | Red de Juderías de España-Caminos de Sefarad | Red de Juderías de España-Caminos de Sefarad","Sector públic","estatuts","","Estatutos de la Associación Red de Juderías de España-Caminos de Sefarad [2007 text no oficial]","","text","info:eu-repo/semantics/other",""
"Fundació Barcelona Cultura","","","No","2010-03-22","2010","","","","Substituït pels Estatuts de la Fundació Barcelona Cultura [2011 text no oficial] [http://hdl.handle.net/11703/106216]","Substitueix els Estatuts de la Fundació Barcelona Cultura [2004 text no oficial] [http://hdl.handle.net/11703/106214]","","","application/pdf","13 p.","application/pdf","","","","fundacions | fundacions","http://hdl.handle.net/11703/106215","cat","","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/106216","","http://hdl.handle.net/11703/106214","","CC-BY","info:eu-repo/semantics/openAccess","","Fundació Barcelona Cultura","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Barcelona Cultura | Fundació Barcelona Cultura | Fundació Barcelona Cultura","Sector públic | Cultura i oci","estatuts | documents digitalitzats","","Estatuts de la Fundació Barcelona Cultura [2010 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Barcelona d'Aparcaments Municipals, S.A.","","","","2018-11-23","2019-02-07","","","Aprovats pel Plenari del Consell Municipal de 23-11-2018","","Modifica a Estatuts de Barcelona d'Aparcaments Municipals, SA [2014] [http://hdl.handle.net/11703/88528]","","","application/pdf","2 documents","application/pdf","","","Butlletí Oficial de la Província de Barcelona (07-02-2019) | Gaseta Municipal de Barcelona (14-02-2019)","","http://hdl.handle.net/11703/112390","cat","","","","","","","","","http://hdl.handle.net/11703/88528","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Barcelona d'Aparcaments Municipals, S.A. | Barcelona d'Aparcaments Municipals, S.A. | Barcelona d'Aparcaments Municipals, S.A.","Sector públic","estatuts","","Estatuts de Barcelona d'Aparcaments Municipals, SA [2014]: modificació [23-11-2018]","","text","info:eu-repo/semantics/other",""
"Institut Municipal de Mercats (Barcelona)","","","Si","2019-03-29","2019-05-23","","2019-05-24","Aprovats pel plenari del Consell Municipal de 29-03-2019 [http://hdl.handle.net/11703/114191] | Basat en la instrucció relativa a la descentralització funcional i als mitjans propis de l'Ajuntament de Barcelona [http://hdl.handle.net/11703/110771]","","Modifica els Estatuts de l'Institut Municipal de Mercats de Barcelona [2005 text refós] [http://hdl.handle.net/11703/84296]","","","application/pdf","2 documents","application/pdf","","","Butlletí Oficial de la Província de Barcelona (23-05-2019) | Gaseta Municipal de Barcelona (24-05-2019)","organismes autònoms","http://hdl.handle.net/11703/114170","cat","","","http://hdl.handle.net/11703/114191 | http://hdl.handle.net/11703/110771","","","","","http://hdl.handle.net/11703/84296","","","Domini públic","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Institut Municipal de Mercats (Barcelona) | Institut Municipal de Mercats (Barcelona) | Institut Municipal de Mercats (Barcelona)","Sector públic","estatuts","","Estatuts de l'Institut Municipal de Mercats de Barcelona [2005 text refós] : modificació [2019-03-29]","","text","info:eu-repo/semantics/other",""
"Institut Municipal de Persones amb Discapacitat (Barcelona)","","","Si","2019-03-29","2019-05-23","","2019-05-24","Aprovats pel plenari del Consell Municipal de 29-03-2019 [http://hdl.handle.net/11703/114191] | Basat en la instrucció relativa a la descentralització funcional i als mitjans propis de l'Ajuntament de Barcelona [http://hdl.handle.net/11703/110771]","","Modifica els Estatuts de l'Organisme Autònom Local Institut Municipal de Persones de Discapacitat [2005] [http://hdl.handle.net/11703/88655]","","","application/pdf","2 documents","application/pdf","","","Butlletí Oficial de la Província de Barcelona (23-05-2019) | Gaseta Municipal de Barcelona (24-05-2019)","organismes autònoms","http://hdl.handle.net/11703/114168","cat","","","http://hdl.handle.net/11703/114191 | http://hdl.handle.net/11703/110771","","","","","http://hdl.handle.net/11703/88655","","","Domini públic","info:eu-repo/semantics/openAccess","","Ajutament de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Institut Municipal de Persones amb Discapacitat (Barcelona) | Institut Municipal de Persones amb Discapacitat (Barcelona) | Institut Municipal de Persones amb Discapacitat (Barcelona)","Sector públic","estatuts","","Estatuts de l'Organisme Autònom Local Institut Municipal de Persones de Discapacitat [2005] : modificació [2019-03-29]","","text","info:eu-repo/semantics/other",""
"Palau de la Música Catalana. Consorci","","","Si","2001-12-11","2002-06-17","","","Aprovada pel Patronat del Consorci del Palau de la Música Catalana de 11-12-2001 | Text original aprovat en Escriptura Constitucional de 08-04-1983","","Modifica els Estatuts del Consorci del Palau de la Música Catalana [1983 text no oficial] [http://hdl.handle.net/11703/88569]","","","application/pdf","1 p.","application/pdf","17306","","Diari Oficial de la Generalitat de Catalunya, núm. 3658 (17-06-2002)","consorcis","http://hdl.handle.net/11703/88570","cat","","","","","","","","http://hdl.handle.net/11703/88569","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Palau de la Música Catalana. Consorci | Palau de la Música Catalana. Consorci | Palau de la Música Catalana. Consorci","Sector públic","estatuts","","Estatuts del Consorci del Palau de la Música Catalana [1983 text no oficial] : modificació [2001-12-11]","","text","info:eu-repo/semantics/other",""
"Fundació Barcelona Cultura","","","","2004-12-22","2005","","","Aprovada pel Plenari del Consell Municipal de 22-12-2004","","Modifica els Estatuts de la Fundació Barcelona Cultura [2004 text no oficial] [http://hdl.handle.net/11703/106214]","","","application/pdf","4 p.","application/pdf","","","","fundacions | fundacions","http://hdl.handle.net/11703/106213","cat","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/106214","","","CC-BY","info:eu-repo/semantics/openAccess","","Fundació Barcelona Cultura","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Barcelona Cultura | Fundació Barcelona Cultura | Fundació Barcelona Cultura","Sector públic | Cultura i oci","estatuts | documents digitalitzats","","Estatuts de la Fundació Barcelona Cultura [2004 text no oficial] : modificació [2004-12-22 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Agència de Comunicació Local, S.A.","","","Si","2006","2006","","","","","","","","application/pdf","10 p.","application/pdf","","","","societats mercantils","http://hdl.handle.net/11703/106526","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Agència de Comunicació Local, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Agència de Comunicació Local, S.A. | Agència de Comunicació Local, S.A. | Agència de Comunicació Local, S.A.","Sector públic","estatuts","","Estatuts de l'Agència de Comunicació Local, S.A. [2006 text no oficial]","","text","info:eu-repo/semantics/other",""
"Barcelona de Serveis Municipals, S.A. (BSM)","","","No","2010","2010","","","","Substituït pels Estatuts de Barcelona de Serveis Municipals, S.A. (BSM) [2011 text refós no oficial] [http://hdl.handle.net/11703/85204]","","","","application/pdf","8 p.","application/pdf","","","","societats mercantils | societats mercantils","http://hdl.handle.net/11703/106447","cat","","","","","","","http://hdl.handle.net/11703/85204","","","","CC-BY","info:eu-repo/semantics/openAccess","","Barcelona de Serveis Municipals, S.A. (BSM)","http://creativecommons.org/licenses/by/4.0/deed.ca","Barcelona de Serveis Municipals, S.A. (BSM) | Barcelona de Serveis Municipals, S.A. (BSM) | Barcelona de Serveis Municipals, S.A. (BSM)","Sector públic","estatuts","","Estatuts de Barcelona de Serveis Municipals, S.A. (BSM) [2010 text no oficial]","","text","info:eu-repo/semantics/other",""
"Fundació Privada Institut d'Economia de Barcelona","","","Si","2010-12-17","2011-01-26","","","Aprovat pel Plenari del Consell Municipal de 17-12-2010 | Podeu consultar-ne una altra versió a:  http://hdl.handle.net/11703/106344","","","","","application/pdf","12 p.","application/pdf","17451","","Butlletí Oficial de la Província de Barcelona (26-01-2011)","fundacions","http://hdl.handle.net/11703/88635","cat","","http://hdl.handle.net/11703/106344","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Fundació Privada Institut d'Economia de Barcelona | Fundació Privada Institut d'Economia de Barcelona | Fundació Privada Institut d'Economia de Barcelona","Sector públic","estatuts","","Estatuts de la Fundació Privada Institut d'Economia de Barcelona [2010]","","text","info:eu-repo/semantics/other",""
"Institut Municipal del Paisatge Urbà i la Qualitat de Vida (Barcelona)","","","Si","2005-10-14","2005-11-15","","2015-11-16","Aprovat pel Plenari del Consell Municipal de 14-10-2005 | Podeu consultar-ne una altra versió a: http://hdl.handle.net/11703/106545","Modificat pels Estatuts de l'Institut Municipal del Paisatge Urbà i la Qualitat de Vida [2005] : modificació [2019-03-29] [http://hdl.handle.net/11703/114173]","","","","application/pdf","5 p.","application/pdf","5839","","Butlletí Oficial de la Província de Barcelona, núm. 273, Annex II (15-11-2005), p. 80-84","organismes autònoms","http://hdl.handle.net/11703/85199","cat","","http://hdl.handle.net/11703/106545","","","","","","","","http://hdl.handle.net/11703/114173","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Institut Municipal del Paisatge Urbà i la Qualitat de Vida (Barcelona) | Institut Municipal del Paisatge Urbà i la Qualitat de Vida (Barcelona) | Institut Municipal del Paisatge Urbà i la Qualitat de Vida (Barcelona)","Sector públic | Urbanisme i infraestructures","estatuts","","Estatuts de l'Institut Municipal del Paisatge Urbà i la Qualitat de Vida [2005]","","text","info:eu-repo/semantics/other",""
"Fundació Privada Centre Internacional de Premsa de Barcelona","","","Si","2009-01-27","2009","","","Acta notarial, 27 de gener de 2009, dóna fe el notari Don Juan José López Burniol | Aprovats pel Patronat de la Fundació de 27-01-2009","","Substitueix els Estatuts de la Fundació Privada Centre Internacional de Premsa de Barcelona [2005 text no oficial] [http://hdl.handle.net/11703/88631]","","","application/pdf","6 p.","application/pdf","","","","fundacions","http://hdl.handle.net/11703/106341","cat","","","","","Reproducció digital del document en suport original","","","","http://hdl.handle.net/11703/88631","","CC-BY","info:eu-repo/semantics/openAccess","","Fundació Privada Centre Internacional de Premsa de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Privada Centre Internacional de Premsa de Barcelona | Fundació Privada Centre Internacional de Premsa de Barcelona | Fundació Privada Centre Internacional de Premsa de Barcelona","Sector públic","estatuts | documents digitalitzats","","Estatuts de la Fundació Privada Centre Internacional de Premsa de Barcelona [2009 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Serveis Funeraris de Barcelona, S.A.","","","","2008-10-22","2008","","","Acta notarial, 22 d'octubre de 2008, dóna fe el notari Miquel Tarragona Coromina | Aprovats per la Junta General d'accionistes de 10-10-2008","","Modifica els articles 27, 34.2, 36.4 i 38.2 dels Estatuts de Serveis Funeraris de Barcelona [1997 text no oficial] [http://hdl.handle.net/11703/106556]","","","application/pdf","12 p.","application/pdf","","","","societats mercantils","http://hdl.handle.net/11703/101872","cat","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/106556","","","CC-BY","info:eu-repo/semantics/openAccess","","Serveis Funeraris de Barcelona, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Serveis Funeraris de Barcelona, S.A. | Serveis Funeraris de Barcelona, S.A. | Serveis Funeraris de Barcelona, S.A.","Societat i benestar","estatuts","","Estatuts de Serveis Funeraris de Barcelona [1997 text no oficial] : modificació [2008-10-10 text no oficial]","","text","info:eu-repo/semantics/other",""
"Institut Municipal d'Assistència Sanitària (Barcelona)","","","Si","2002-10-29","2002-12-17","","","Aprovats per la Comissió Permanent del Consorci Sanitari de Barcelona de 29-10-2002","Modificats per la Comissió Permanent del Consorci Sanitari de Barcelona de 05-07-2006 [http://hdl.handle.net/11703/89189]","","","","application/pdf","5 p.","application/pdf","","","Diari Oficial de la Generalitat de Catalunya, núm. 3783 (17/12/2002), p. 22169-22173","consorcis","http://hdl.handle.net/11703/106455","cat","","","","","","","","","","http://hdl.handle.net/11703/89189","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Institut Municipal d'Assistència Sanitària (Barcelona) | Institut Municipal d'Assistència Sanitària (Barcelona) | Institut Municipal d'Assistència Sanitària (Barcelona)","Sector públic","estatuts","","Estatuts de l'Institut Municipal d'Assistència Sanitària (IMAS) [2002 text refós]","","text","info:eu-repo/semantics/other",""
"Institut Barcelona Esports","","","Si","2019-03-29","2019-05-23","","2019-05-24","Aprovats pel plenari del Consell Municipal de 29-03-2019 [http://hdl.handle.net/11703/114191] | Basat en la instrucció relativa a la descentralització funcional i als mitjans propis de l'Ajuntament de Barcelona [http://hdl.handle.net/11703/110771]","","Modifica els Estatuts de l'Organisme Autònom Local Institut Barcelona Esports [2008] [http://hdl.handle.net/11703/88650]","","","application/pdf","2 documents","application/pdf","","","Butlletí Oficial de la Província de Barcelona (23-05-2019) | Gaseta Municipal de Barcelona (24-05-2019)","organismes autònoms","http://hdl.handle.net/11703/114171","cat","","","http://hdl.handle.net/11703/114191 | http://hdl.handle.net/11703/110771","","","","","http://hdl.handle.net/11703/88650","","","Domini públic","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Institut Barcelona Esports | Institut Barcelona Esports | Institut Barcelona Esports","Sector públic","estatuts","","Estatuts de l'Organisme Autònom Local Institut Barcelona Esports [2008] : modificació [2019-03-29]","","text","info:eu-repo/semantics/other",""
