"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatereview","dcdescription","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhaspart","dcrelationhasversion","dcrelationisbasedon","dcrelationisformatof","dcrelationispartof","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 45"
"Anual","Oberta","Consorci per a la Normalització Lingüística","","Barcelona","2012","No","2013","2013","","","","","application/pdf","","18557","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/87659","cat","Consorci per a la Normalització Lingüística de Catalunya","","","http://hdl.handle.net/11703/87659","","","","","","","","","","CC-BY","openAccess","Consorci per a la Normalització Lingüística","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci per a la Normalització Lingüística. Cultura","Cultura i oci","memòries","","Memòria 2012","","text",""
"Anual","Oberta","Barcelona Activa, S.A.","","Barcelona","2008","No","2009","2009","","Podeu consultar la versió en castellà a:http://hdl.handle.net/11703/87970","","","application/pdf","","9418","","societats mercantils","Mandat 2007-2011","http://hdl.handle.net/11703/87936","cat","","http://hdl.handle.net/11703/87970","","","","","","","","","","","","CC-BY","openAccess","Barcelona Activa, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Barcelona Activa, S.A.. Desenvolupament econòmic. Serveis municipals","Economia. Ocupació","memòries","","Memòria d'activitats 2008","","text",""
"Anual","Oberta","Consorci del Besòs (Barcelona)","","Barcelona. Sant Adrià de Besòs (Catalunya)","2004","No","2005","2005","","","","","application/pdf","","3517","","consorcis","Mandat 2003-2007","http://hdl.handle.net/11703/87676","cat","","","","","","","","","","","","","","CC-BY","openAccess","Consorci del Besòs (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci del Besòs (Barcelona). Economia. Finances. Infraestructures urbanes","Sector públic","memòries","","Informe de gestió 2004","","text",""
"Anual","Tancada","Programa Barcelona Solidària de Cooperació Internacional i Ajut Humanitari","","Barcelona","2010","No","2011","2011","","","","","application/pdf","","8053","","","Mandat 2007-2011","http://hdl.handle.net/11703/88134","cat","Comissió Municipal de Cooperació Internacional","","","","","","","","","","","","","CC-BY","openAccess","Programa Barcelona Solidària de Cooperació Internacional i Ajut Humanitari. Cooperació internacional","http://creativecommons.org/licenses/by/4.0/deed.ca","Programa Barcelona Solidària de Cooperació Internacional i Ajut Humanitari. Cooperació internacional","Societat i benestar","memòries","","15 anys de cooperació internacional 2010","","text",""
"Anual","Oberta","Centre de Cultura Contemporània de Barcelona","","Barcelona","2006","No","2007","2007","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/87745. Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/87735","","","application/pdf","","7775","","","Mandat 2003-2007","http://hdl.handle.net/11703/87731","cas","Centre de Cultura Contemporània de Barcelona","http://hdl.handle.net/11703/87745http://hdl.handle.net/11703/87735","","","","","","","","","","","","CC-BY","openAccess","Centre de Cultura Contemporània de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Centre de Cultura Contemporània de Barcelona. Cultura","Cultura i oci","memòries","","Memoria 2006","","text",""
"Anual","Oberta","Patronat Municipal de l'Habitatge de Barcelona","","Barcelona","2009","No","2010","2010","","","","","application/pdf","","6892","","entitats públiques empresarials","Mandat 2007-2011","http://hdl.handle.net/11703/88028","cat","Patronat Municipal de l'Habitatge de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Patronat Municipal de l'Habitatge de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Patronat Municipal de l'Habitatge de Barcelona","Habitatge","memòries","","Memòria 2009","","text",""
"Anual","Oberta","Ajuntament de Barcelona","","Barcelona","2014","Si","2015-06-23","2015","","","","Comptes anuals 2014 (juntament amb l’informe d’auditoria). Comptes anuals consolidats 2014 (juntament amb l’informe d’auditoria)","application/pdf","151 p.","19666","","","Mandat 2011-2015","http://hdl.handle.net/11703/87391","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ajuntament de Barcelona. Economia. Finances. Serveis municipals","Sector públic","memòries","","Informe anual de l'Ajuntament de Barcelona 2014","","text",""
"Anual","Oberta","Biblioteca General (Barcelona)","","Barcelona","2002","No","2003-06-16","2003","","","","","application/pdf","39 p.","1852","","","Mandat 1999-2003","http://hdl.handle.net/11703/89410","cat","Biblioteca General","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Biblioteca General (Barcelona). Biblioteques. Cultura","Sector públic","memòries","","Memòria 2002","","text",""
"Anual","Oberta","Servei de Prevenció, Extinció d'Incendis i Salvament","","Barcelona","2014","Si","2015","2015","","Podeu consultar la versió en castellà a:http://hdl.handle.net/11703/87779","","","application/pdf","","19415","","","Mandat 2011-2015","http://hdl.handle.net/11703/87834","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/87779","","","","","","","","","","","","CC-BY","openAccess","Servei de Prevenció, Extinció d'Incendis i Salvament","http://creativecommons.org/licenses/by/4.0/deed.ca","Servei de Prevenció, Extinció d'Incendis i Salvament. Bombers","Seguretat","memòries","","Informes de gestió 2014","","text",""
"Anual","Oberta","Ajuntament de Barcelona","","Barcelona","2002","No","2003-10-14","2003","","","","","application/pdf","229 p.","1092","","","Mandat 1999-2003","http://hdl.handle.net/11703/89398","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ajuntament de Barcelona. Serveis municipals. Empreses públiques. Societat Municipal d’Aparcaments i Serveis, S.A.. Zoo de Barcelona. Informació i Comunicació de Barcelona, S.A.. Barcelona Promoció Instal·lacions Olímpiques, S.A.. Barcelona Activa, S.A.. Pro Nou Barris, S.A.. Infrastructures del Llevant de Barcelona, S.A.. 22@bcn, S.A.. Barcelona Gestió Urbanística, S.A.. Promoció Ciutat Vella, S.A.. Tractament i Selecció de Residus, S.A. (TERSA). Foment de Ciutat Vella, S.A.. Serveis Funeraris de Barcelona, S.A.. ProEixample, S.A.. Mercabarna, S.A.. Barcelona Holding Olímpico, S.A.. BCN Emprèn, S.C.R., S.A.. Clavegueram de Barcelona, S.A.. Catalana d'Iniciatives, S.C.R., S.A.. Nexus Capital, S.A.. Túnels i Accessos de Barcelona, S.A.C.. Patronat Municipal de l'Habitatge de Barcelona. Institut Municipal de Persones amb Disminució (Barcelona). Fundació Mies van der Rohe. Institut Municipal d'Informàtica (Barcelona). Institut Municipal d'Urbanisme (Barcelona). Institut Municipal d'Hisenda (Barcelona). Parcs i Jardins de Barcelona, Institut Municipal. Institut Municipal de Mercats (Barcelona). Institut Municipal d'Educació (Barcelona). Institut de Cultura de Barcelona. Institut Municipal de Salut Pública (Barcelona). Institut Municipal del Paisatge Urbà i la Qualitat de Vida (Barcelona). Fira Internacional de Barcelona. Consorci de la Zona Franca de Barcelona. Consorci Sanitari de Barcelona. Turisme de Barcelona. Consorci de l'Auditori i l'Orquestra. Barcelona de Serveis Municipals, S.A. (BSM)","Sector públic","memòries","","Informe anual de les empreses i institucions municipals 2002","","text",""
"Anual","Oberta","Àrea de Qualitat de Vida, Igualtat i Esports","","Barcelona","2013","No","2014-07-31","2014","","","","","application/pdf","225 p.","15934","","","Mandat 2011-2015","http://hdl.handle.net/11703/87428","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Àrea de Qualitat de Vida, Igualtat i Esports. Benestar social. Serveis socials. Assistència social","Sector públic. Societat i benestar","memòries","","Memòria 2013","","text",""
"Anual","Oberta","Consorci el Far (Barcelona)","","Barcelona","2005","No","2006-07-11","2006-07-11","","","","","application/pdf","45 p.","","","consorcis","Mandat 2003-2007","http://hdl.handle.net/11703/84023","cat","","","","","","","","","","","","","","CC-BY","openAccess","Consorci el Far (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci el Far (Barcelona)","Medi ambient. Educació","memòries","","Memòria 2005","","text",""
"Anual","Oberta","Fira Internacional de Barcelona","","Barcelona","2012","No","2013","2013","","Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/98323. Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/98323","","","application/pdf","123 p.","","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/98321","cat","","http://hdl.handle.net/11703/98323","","","","","","","","","","","","CC-BY","openAccess","Fira Internacional de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Comerç","memòries","","Memòria 2012","","text",""
"Quadrimestral","Tancada","Ajuntament de Barcelona","","Barcelona","1999. 2000. 2001. 2002. 2003","No","2004-09-08","2004","","","","","application/pdf","11 p.","3229","","","Mandat 1999-2003","http://hdl.handle.net/11703/87384","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ajuntament de Barcelona","Sector públic","memòries","","Indicadors bàsics 1999-2003","","text",""
"Biennal","Tancada","Foment de Ciutat Vella, S.A.","","Barcelona","2008. 2009. 2010","No","2011","2011","","","","","application/pdf","","7554","","entitats públiques empresarials","Mandat 2007-2011","http://hdl.handle.net/11703/87858","cat","Foment de Ciutat Vella","","","","","","","","","","","","","CC-BY","openAccess","Foment de Ciutat Vella, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Foment de Ciutat Vella, S.A.. Habitatge","Urbanisme i infraestructures","memòries","","Memòria 2008-2010","","text",""
"Anual","Tancada","Pro Nou Barris, S.A.","","Barcelona","2008","No","2009","2009","","","","","application/pdf","39 p.","3485","","entitats públiques empresarials","Mandat 2007-2011","http://hdl.handle.net/11703/87930","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Pro Nou Barris, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Pro Nou Barris, S.A.","Habitatge. Urbanisme i infraestructures","memòries","","Memòria 2008","","text",""
"Anual","Oberta","Clavegueram de Barcelona, S.A.","","Barcelona","2009","No","2010","2010","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/87899","","","application/pdf","","5801","","societats mercantils","Mandat 2007-2011","http://hdl.handle.net/11703/87907","eng","Clavegueram de Barcelona, S.A.","http://hdl.handle.net/11703/87899","","","","","","","","","","","","CC-BY","openAccess","Clavegueram de Barcelona, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Clavegueram de Barcelona, S.A.","Medi ambient. Urbanisme i infraestructures","memòries","","Annual report 2009","","text",""
"Anual","Oberta","Consell Municipal de Benestar Social (Barcelona)","","Barcelona","2002","No","2003","2003","","","","","application/pdf","","CESB_ACT_2002","","consells","Mandat 1999-2003","http://hdl.handle.net/11703/89484","cat","Consell Municipal de Benestar Social (Barcelona)","","","","","","","","","","","","","CC-BY","openAccess","Consell Municipal de Benestar Social (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Municipal de Benestar Social (Barcelona). Benestar social. Serveis socials. Assistència social","Sector públic. Societat i benestar","memòries","","Memòria d’activitats 2002","","text",""
"Anual","Tancada","Direcció del Programa de Dona. Districte 7. Horta-Guinardó","","Barcelona","2012","No","2013","2013","","","","","application/pdf","41 p.","","","districtes","Mandat 2011-2015","http://hdl.handle.net/11703/97819","cat","","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Direcció del Programa de Dona. Violència envers les dones","Societat i benestar","memòries","","Punt d'informació i atenció a les dones d'Horta-Guinardò: Memòria 2013","","text",""
"Anual","Oberta","Clavegueram de Barcelona, S.A.","","Barcelona","2010","No","2011","2011","","Podeu consultar la versió en castellà a:http://hdl.handle.net/11703/87904","","","application/pdf","","7818","","societats mercantils","Mandat 2007-2011","http://hdl.handle.net/11703/87900","cat","Clavegueram de Barcelona, S.A.","http://hdl.handle.net/11703/87904","","","","","","","","","","","","CC-BY","openAccess","Clavegueram de Barcelona, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Clavegueram de Barcelona, S.A.","Medi ambient. Urbanisme i infraestructures","memòries","","Informe anual d'activitats 2010","","text",""
"Anual","Oberta","Centre de Recursos Barcelona Sostenible. Societat Catalana d'Educació Ambiental","","Barcelona","2000","No","2001","2001","","","","","application/pdf","","9021","","","Mandat 1999-2003","http://hdl.handle.net/11703/87818","cat","Centre de Recursos Barcelona Sostenible","","","","","","","","","","","","","CC-BY","openAccess","Centre de Recursos Barcelona Sostenible","http://creativecommons.org/licenses/by/4.0/deed.ca","Centre de Recursos Barcelona Sostenible. Educació ambiental","Medi ambient","memòries","","Memòria del conveni entre la Societat Catalana d'Educació Ambiental i l'Ajuntament de Barcelona 2000","","text",""
"Anual","Oberta","Àrea de Qualitat de Vida, Igualtat i Esports","","Barcelona","2011","No","2012-09-18","2012","","","","","application/pdf","142 p.","10833","","","Mandat 2011-2015","http://hdl.handle.net/11703/87426","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Àrea de Qualitat de Vida, Igualtat i Esports. Benestar social. Serveis socials. Assistència social","Sector públic. Societat i benestar","memòries","","Memòria 2011","","text",""
"Anual","Oberta","Consell Municipal de Benestar Social (Barcelona)","","Barcelona","2013. 2014","No","2015","2015","","","","","application/pdf","","18284","","consells","Mandat 2011-2015","http://hdl.handle.net/11703/87560","cat","Consell Municipal de Benestar Social (Barcelona)","","","","","","","","","","","","","CC-BY","openAccess","Consell Municipal de Benestar Social (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Municipal de Benestar Social (Barcelona). Benestar social","Societat i benestar","memòries","","Memòria  2013-2014","","text",""
