"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionabstract","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasformat","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationreferences","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 49"
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2008","","2008-01-22","2008-01-26","","","Aprovada per Decret de l'Alcaldia de 22-01-2008","","","","","application/pdf","","application/pdf",12556.0,"","Butlletí Oficial de la Província de Barcelona, núm.  23 (26-01-2008)","","","http://hdl.handle.net/11703/89356","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Associacionisme | Associationism | Asociacionismo","Cultura i oci","ajuts i subvencions","","Realització d'activitats i serveis en diferents àmbits temàtics 2008 : convocatòria","","text","info:eu-repo/semantics/other",""
"","","Institut de Cultura de Barcelona","","Barcelona | Barcelona | Barcelona","2013","","2013-05-23","2013-07-01","","","Aprovada per Decret de Presidència de l'Institut de Cultura de Barcelona el 23-05-2013","","","","","application/pdf","","application/pdf",13311.0,"","Butlletí Oficial de la Província de Barcelona (01-07-2013)","entitats públiques empresarials","","http://hdl.handle.net/11703/86992","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Equipaments culturals | Arts facilities | Equipamientos culturales","Cultura i oci","ajuts i subvencions","","Subvencions per a la rehabilitació i dotació d'equipaments tècnics, destinats a equipaments d'exhibició teatral, auditori o equipaments 2013 : convocatòria","","text","info:eu-repo/semantics/other",""
"","","Consorci de l'Habitatge de Barcelona","","Barcelona | Barcelona | Barcelona","2014","","2014-03-07","2014-03-20","","","Aprovat per la Comissió Permanent del Consorci de l'Habitatge de Barcelona el 07-03-2014","","","","","application/pdf","","application/pdf",13639.0,"","Butlletí Oficial de la Província de Barcelona (20-03-2014)","consorcis","","http://hdl.handle.net/11703/87036","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Rehabilitació urbana | Habitatges | Urban renewal | Dwellings | Rehabilitación urbana | Viviendas","Urbanisme i infraestructures","ajuts i subvencions","","Subvencions per a la rehabilitació d'edificis d'ús residencial i d'habitatges 2014 : convocatòria","","text","info:eu-repo/semantics/other",""
"","","Institut Municipal de Serveis Socials (Barcelona)","","Barcelona | Barcelona | Barcelona","2016","Si","2016-10-06","2016-11-15","","2016-11-16","Aprovació inicial per la Comissió de Govern de 06-10-2016 | No s'ha presentat cap al·legació, per tant, estan definitivament aprovades","","","","","application/pdf","6 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (15-11-2016)","organismes autònoms","","http://hdl.handle.net/11703/99419","cat","","","","","http://hdl.handle.net/11703/98710","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Ajuda econòmica | Famílies monoparentals | Pobresa | Assistència social | Economic assistance | Single-parent family | Poverty | Public welfare | Ayuda económica | Familia monoparental | Pobreza | Asistencia social","Economia | Societat i benestar","ajuts i subvencions","","Fons extraordinari per a famílies monoparentals i per a dones que percebin pensions no contributives 2016 : bases","","text","info:eu-repo/semantics/other",""
"","","Institut Municipal de Serveis Socials (Barcelona)","","Barcelona | Barcelona | Barcelona","2015","","2015-02-11","2015-08-04","","","Aprovat per acord de la Comissió de Govern de 11-02-2015","","","","","application/pdf","2 documents","application/pdf","","","Butlletí Oficial de la Província de Barcelona (31-07-2015) | Correcció d'errades : Butlletí Oficial de la Província de Barcelona (04-08-2015)","organismes autònoms","","http://hdl.handle.net/11703/83773","cat","","","","","","","","https://5.135.88.41/jspui/handle/123456789/83773","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Subvencions | Assistència social | Subsidies | Public welfare | Subvenciones públicas | Asistencia social","Economia","ajuts i subvencions","","Creació fons extraordinari per ajuts puntuals d'urgència social, per a famílies de Barcelona amb infants i/o adolescents menors de 16 anys","","text","info:eu-repo/semantics/other",""
"Anual","","Institut de Cultura de Barcelona","","Barcelona | Barcelona | Barcelona","2018","No","2018-06-18","2018-07-03","","2018-07-04","Aprovada per resolució de la Gerència de l'Institut de Cultura de Barcelona de 18-06-2018 | Requereix les bases de les Subvencions per a la rehabilitació i la dotació d'equipament tècnic, destinades a espais privats de creació, experimentació i difusió cultural llibreries i sales de cinemes 2017  [http://hdl.handle.net/11703/105310]","","","","","application/pdf","15 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (03-07-2018)","entitats públiques empresarials","","http://hdl.handle.net/11703/109810","cat","","","","","","","","","","","http://hdl.handle.net/11703/105310","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Equipaments culturals | Sales de concerts | Galeries d'art | Llibreries | Cinemes | Arts facilities | Concert halls | Commercial art galleries | Bookstores | Motion picture theaters | Equipamientos culturales | Salas de conciertos | Galerías de arte | Librerías | Cines","Cultura i oci","ajuts i subvencions","","Subvencions per a la rehabilitació i la dotació d'equipament tècnic, destinades a espais privats de creació, experimentació i difusió cultural llibreries i sales de cinemes 2018 : convocatòria","","text","info:eu-repo/semantics/other",""
"","","Institut de Cultura de Barcelona","","Barcelona | Barcelona | Barcelona","2013","","2013-07-15","2013-08-12","","","Aprovada per Decret de Presidència de l'Institut de Cultura de Barcelona el 15-07-2013","","","","","application/pdf","","application/pdf",12738.0,"","Butlletí Oficial de la Província de Barcelona (12-08-2013)","entitats públiques empresarials","","http://hdl.handle.net/11703/87020","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Llibreries | Bookstores | Librerías","Cultura i oci","ajuts i subvencions","","Cooperació en la modernització de les llibreries de la ciutat de Barcelona 2013 : convocatòria i bases","","text","info:eu-repo/semantics/other",""
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2006","","2006-01-18","2006-01-21","","","Aprovat per Decret de l'Alcaldia de 18-01-2006","","","","","application/pdf","","application/pdf",12567.0,"","Butlletí Oficial de la Província de Barcelona, núm. 18 (21-01-2006)","","","http://hdl.handle.net/11703/89361","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Associacionisme | Associationism | Asociacionismo","Cultura i oci","ajuts i subvencions","","Realització d'activitats i serveis en diferents àmbits temàtics 2006 : convocatòria i bases","","text","info:eu-repo/semantics/other",""
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2007","","2007-05-21","2007-06-23","","","Aprovada per Decret de l'Alcaldia de 21-05-2007","","","","","application/pdf","","application/pdf",12535.0,"","Gaseta Municipal de Barcelona, núm.  150  (23-06-2007)","","","http://hdl.handle.net/11703/87006","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris | Serveis socials | Real property tax | Human services | Impuestos inmobiliarios | Servicios sociales","Economia | Societat i benestar","ajuts i subvencions","","Impost de béns immobles per a famílies nombroses 2007 :  convocatòria i bases","","text","info:eu-repo/semantics/other",""
"","","Institut de Cultura de Barcelona","","Barcelona | Barcelona | Barcelona","2014","","2014-06-17","2014-04-11","","","Aprovada pel president de l'Institut de Cultura de Barcelona el 17-06-2014","","","","","application/pdf","","application/pdf",13894.0,"","Butlletí Oficial de la Província de Barcelona (11-04-2014)","entitats públiques empresarials","","http://hdl.handle.net/11703/87048","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Equipaments culturals | Arts facilities | Equipamientos culturales","Cultura i oci","ajuts i subvencions","","Rehabilitació i dotació d'equipaments tècnics, destinats a equipaments d'exhibició teatral, auditori o equipaments 2014 : convocatòria correcció errades","","text","info:eu-repo/semantics/other",""
"Anual","","Institut de Cultura de Barcelona","","Barcelona | Barcelona | Barcelona","2018","No","2018-06-18","2018-07-03","","2018-07-04","Aprovada per resolució de la Gerència de l'Institut de Cultura de Barcelona de 18-06-2018 | Requereix les bases de les Inversions per a la realització d'estudis d'impacte acústic, la instal·lació de limitadors -enregistradors de nivells sonors, la rehabilitació i la dotació d'equipament tècnic dels establiments de música en viu oberts al públic 2017 [http://hdl.handle.net/11703/105314]","","","","","application/pdf","15 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (03-07-2018)","entitats públiques empresarials","","http://hdl.handle.net/11703/109811","cat","","","","","","","","","","","http://hdl.handle.net/11703/105314","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Contaminació acústica | Música | Restaurants | Bars | Sales de concerts | Discoteques | Noise pollution | Music | Restaurants | Bars (Drinking establishments) | Concert halls | Nightclubs | Contaminación acústica | Música | Restaurantes | Bares | Salas de conciertos | Discotecas","Cultura i oci | Medi ambient","ajuts i subvencions","","Inversions per a la realització d'estudis d'impacte acústic, la instal·lació de limitadors -enregistradors de nivells sonors, la rehabilitació i la dotació d'equipament tècnic dels establiments de música en viu oberts al públic 2018 : convocatòria","","text","info:eu-repo/semantics/other",""
"","","Institut de Cultura de Barcelona","","Barcelona | Barcelona | Barcelona","2017","No","2017-06-14","2017-09-04","","2017-09-05","Aprovades pel President de l'Institut de Cultura de Barcelona el 14-06-2017","","","","","application/pdf","7 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (04-09-2017)","entitats públiques empresarials","","http://hdl.handle.net/11703/105281","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Arts de l'espectacle | Finançament de projectes | Performing arts | Project finance | Artes escénicas | Financiación de proyectos","Cultura i oci","ajuts i subvencions","","Ajuts per a l'exhibició de projectes en l'àmbit de les arts escèniques 2017 : convocatòria i bases","","text","info:eu-repo/semantics/other",""
"","","Institut Barcelona Esports","","Barcelona | Barcelona | Barcelona","2015 | 2016","","2015-10-29","2015-11-02","","2015-11-03","","","","","","application/pdf","2 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (02-11-2015)","organismes autònoms","","http://hdl.handle.net/11703/84065","cat","","","","","","","","","","","http://hdl.handle.net/11703/86407","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Adolescents | Activitats extraescolars | Infants | Esports | Teenagers | Student activities | Children | Sports | Adolescentes | Actividades extraescolares | Niños | Deportes","Esport","ajuts i subvencions","","Subvencions a infants i joves entre 6 i 17 anys per a la pràctica esportiva fora d'horari escolar de la ciutat de Barcelona 2015-2016 : convocatòria","","text","info:eu-repo/semantics/other",""
"","","Institut Barcelona Esports","","Barcelona | Barcelona | Barcelona","2015 | 2016","","2015-03-05","2015-03-09","","","Aprovada per la presidenta de l'Institut Barcelona Esports el 05-03-2015","","","","","application/pdf","","application/pdf",18140.0,"","Butlletí Oficial de la Província de Barcelona (09-03-2015)","organismes autònoms","","http://hdl.handle.net/11703/87060","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Esports | Sports | Deportes","Esport","ajuts i subvencions","","Homologació a entitats organitzadores d'activitats esportives, per tal que puguin participar en la gestió d'ajuts destinats a la pràctica de l'esport 2015-2016 : convocatòria","","text","info:eu-repo/semantics/other",""
"","","Institut Municipal de Persones amb Discapacitat (Barcelona)","","Barcelona | Barcelona | Barcelona","2013","","2013-09-12","2013-09-20","","","Aprovada per Decret de l'Alcaldia de 12-09-2013","","","","","application/pdf","1 p.","application/pdf",12881.0,"","Butlletí Oficial de la Província de Barcelona 20-09-2013","organismes autònoms","","http://hdl.handle.net/11703/87024","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Discapacitats | Vehicles de motor | Local taxation | People with disabilities | Motor vehicles | Impuestos locales | Personas con discapacidad | Vehículos de motor","Transport | Societat i benestar","ajuts i subvencions","","Subvencions per a titulars de vehicles privats adaptats per al transport de persones amb discapacitat, subjectes a l'impost sobre vehicles de tracció mecànica 2013: convocatòria","","text","info:eu-repo/semantics/other",""
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2015","","2015-04-15","2015-04-24","","","Aprovat per la Comissió de Govern el 15-04-2015","","","","","application/pdf","","application/pdf",18613.0,"","Butlletí Oficial de la Província de Barcelona (24-04-2015)","","","http://hdl.handle.net/11703/87062","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Ordenació del territori | Regional planning | Ordenación del territorio","Urbanisme i infraestructures","ajuts i subvencions","","Concurs Pla Buits: Buits urbans amb implicació territorial i social 2015 : convocatòria i bases","","text","info:eu-repo/semantics/other",""
"Anual","","Institut Municipal d'Hisenda (Barcelona)","","Barcelona | Barcelona | Barcelona","","Si","2019-03-25","2019-03-29","2019-05-31","2019-04-01","Aprovada per resolució del gerent de l'Institut Municipal d'Hisenda de 25-03-2019","","","","","application/pdf","3 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (29-03-2019)","organismes autònoms","","http://hdl.handle.net/11703/113588","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris | Impuestos inmobiliarios | Real property tax | Serveis socials | Servicios sociales | Human services | Subsidis familiars | Subsidios familiares | Family allowances | Família | Familia | Family | Lloguers | Alquileres | Rents","","ajuts i subvencions","","Subvenció a famílies nombroses llogateres del seu habitatge habitual, per import equivalent a un percentatge de l'IBI repercutit 2019 : convocatòria","","text","info:eu-repo/semantics/other",""
"","","Gerència de Política Econòmica i Desenvolupament Local","","Barcelona | Barcelona | Barcelona","2018","No","2018-04-05","2018-04-10","2018-06-30","2018-04-11","Aprovades per la Comissió de Govern de 05-04-2018 | No s'ha presentat cap al·legació, per tant, estan definitivament aprovades | Gaseta Municipal de Barcelona (20-04-2018)","","","","","application/pdf","2 documents","application/pdf","","","Butlletí Oficial de la Província de Barcelona (10-04-2018)","","","http://hdl.handle.net/11703/108721","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Comerç | Màrqueting digital | Internet | Xarxes socials | Commerce | Internet marketing | Internet | Social networks | Comercio | Marketing en Internet | Internet | Redes sociales","Comerç","ajuts i subvencions","","Subvencions per a la transformació digital del comerç per al 2018 : convocatòria i bases","","text","info:eu-repo/semantics/other",""
"","","Gerència de Política Econòmica i Desenvolupament Local","","Barcelona | Barcelona | Barcelona","2018","No","2018-05-24","2018-05-25","","","Aprovació inicial per la Comissió de Govern de 24-05-2019 | No s'ha presentat cap al·legació, per tant, estan definitivament aprovades","","","","","application/pdf","2 documents","application/pdf","","","Butlletí Oficial de la Província de Barcelona (25-05-2018) | Gaseta Municipal de Barcelona (11-06-2018)","","","http://hdl.handle.net/11703/112545","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Empreses petites i mitjanes | Pequeñas y medianas empresas | Small business","Economia | Ocupació","ajuts i subvencions","Programa Barcelona : Afavorint la Continuïtat Empresarial 2016-","Programa Barcelona : afavorint la continuïtat empresarial 2018 : subvencions a persones empresàries individuals i microempreses : convocatòria i bases","","text","info:eu-repo/semantics/other",""
