"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Any_alta_padro","Nombre"
2020,9,"Sant Andreu",59,"el Bon Pastor","Dona","De 6 a 15 anys",1457
2020,9,"Sant Andreu",60,"Sant Andreu","Dona","De 6 a 15 anys",5962
2020,9,"Sant Andreu",61,"la Sagrera","Dona","De 6 a 15 anys",3010
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Dona","De 6 a 15 anys",1582
2020,9,"Sant Andreu",63,"Navas","Dona","De 6 a 15 anys",2282
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dona","De 6 a 15 anys",3935
2020,10,"Sant Martí",65,"el Clot","Dona","De 6 a 15 anys",2671
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dona","De 6 a 15 anys",1729
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dona","De 6 a 15 anys",1006
2020,10,"Sant Martí",68,"el Poblenou","Dona","De 6 a 15 anys",4021
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dona","De 6 a 15 anys",1698
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Dona","De 6 a 15 anys",2458
2020,10,"Sant Martí",71,"Provençals del Poblenou","Dona","De 6 a 15 anys",2350
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Dona","De 6 a 15 anys",2637
2020,10,"Sant Martí",73,"la Verneda i la Pau","Dona","De 6 a 15 anys",2740
2020,1,"Ciutat Vella",1,"el Raval","Dona","Més de 15 anys",6447
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Dona","Més de 15 anys",2309
2020,1,"Ciutat Vella",3,"la Barceloneta","Dona","Més de 15 anys",3065
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dona","Més de 15 anys",3785
2020,2,"Eixample",5,"el Fort Pienc","Dona","Més de 15 anys",8502
2020,2,"Eixample",6,"la Sagrada Família","Dona","Més de 15 anys",14454
2020,2,"Eixample",7,"la Dreta de l'Eixample","Dona","Més de 15 anys",11273
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dona","Més de 15 anys",10827
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dona","Més de 15 anys",16254
2020,2,"Eixample",10,"Sant Antoni","Dona","Més de 15 anys",10150
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Dona","Més de 15 anys",8687
