"﻿""Any""","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Nacionalitat","Nombre"
2020,4,"Les Corts",21,"Pedralbes","Domicilis mixtos",444
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Domicilis mixtos",218
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Domicilis mixtos",898
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Domicilis mixtos",494
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Domicilis mixtos",869
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Domicilis mixtos",1921
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Domicilis mixtos",1338
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Domicilis mixtos",693
2020,6,"Gràcia",29,"el Coll","Domicilis mixtos",372
2020,6,"Gràcia",30,"la Salut","Domicilis mixtos",560
2020,6,"Gràcia",31,"la Vila de Gràcia","Domicilis mixtos",2797
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Domicilis mixtos",1470
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Domicilis mixtos",1152
2020,7,"Horta-Guinardó",34,"Can Baró","Domicilis mixtos",438
2020,7,"Horta-Guinardó",35,"el Guinardó","Domicilis mixtos",1821
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Domicilis mixtos",246
2020,7,"Horta-Guinardó",37,"el Carmel","Domicilis mixtos",1418
2020,7,"Horta-Guinardó",38,"la Teixonera","Domicilis mixtos",537
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Domicilis mixtos",349
2020,7,"Horta-Guinardó",40,"Montbau","Domicilis mixtos",202
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Domicilis mixtos",169
2020,7,"Horta-Guinardó",42,"la Clota","Domicilis mixtos",22
2020,7,"Horta-Guinardó",43,"Horta","Domicilis mixtos",908
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Domicilis mixtos",1084
2020,8,"Nou Barris",45,"Porta","Domicilis mixtos",1095
2020,8,"Nou Barris",46,"el Turó de la Peira","Domicilis mixtos",951
2020,8,"Nou Barris",47,"Can Peguera","Domicilis mixtos",81
2020,8,"Nou Barris",48,"la Guineueta","Domicilis mixtos",437
2020,8,"Nou Barris",49,"Canyelles","Domicilis mixtos",140
2020,8,"Nou Barris",50,"les Roquetes","Domicilis mixtos",810
2020,8,"Nou Barris",51,"Verdun","Domicilis mixtos",638
2020,8,"Nou Barris",52,"la Prosperitat","Domicilis mixtos",1096
2020,8,"Nou Barris",53,"la Trinitat Nova","Domicilis mixtos",385
2020,8,"Nou Barris",54,"Torre Baró","Domicilis mixtos",138
2020,8,"Nou Barris",55,"Ciutat Meridiana","Domicilis mixtos",691
2020,8,"Nou Barris",56,"Vallbona","Domicilis mixtos",70
2020,9,"Sant Andreu",57,"la Trinitat Vella","Domicilis mixtos",629
2020,9,"Sant Andreu",58,"Baró de Viver","Domicilis mixtos",132
2020,9,"Sant Andreu",59,"el Bon Pastor","Domicilis mixtos",463
2020,9,"Sant Andreu",60,"Sant Andreu","Domicilis mixtos",1668
2020,9,"Sant Andreu",61,"la Sagrera","Domicilis mixtos",1248
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Domicilis mixtos",683
2020,9,"Sant Andreu",63,"Navas","Domicilis mixtos",988
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Domicilis mixtos",2007
2020,10,"Sant Martí",65,"el Clot","Domicilis mixtos",1173
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Domicilis mixtos",814
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Domicilis mixtos",421
2020,10,"Sant Martí",68,"el Poblenou","Domicilis mixtos",1652
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Domicilis mixtos",552
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Domicilis mixtos",1056
2020,10,"Sant Martí",71,"Provençals del Poblenou","Domicilis mixtos",857
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Domicilis mixtos",924
