"﻿""Any""","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Edat_quinquennal","Nombre"
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dona","50-54 anys",21
2020,7,"Horta-Guinardó",37,"el Carmel","Dona","50-54 anys",105
2020,7,"Horta-Guinardó",38,"la Teixonera","Dona","50-54 anys",54
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dona","50-54 anys",30
2020,7,"Horta-Guinardó",40,"Montbau","Dona","50-54 anys",22
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dona","50-54 anys",12
2020,7,"Horta-Guinardó",42,"la Clota","Dona","50-54 anys",2
2020,7,"Horta-Guinardó",43,"Horta","Dona","50-54 anys",95
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dona","50-54 anys",97
2020,8,"Nou Barris",45,"Porta","Dona","50-54 anys",78
2020,8,"Nou Barris",46,"el Turó de la Peira","Dona","50-54 anys",51
2020,8,"Nou Barris",47,"Can Peguera","Dona","50-54 anys",10
2020,8,"Nou Barris",48,"la Guineueta","Dona","50-54 anys",48
2020,8,"Nou Barris",49,"Canyelles","Dona","50-54 anys",15
2020,8,"Nou Barris",50,"les Roquetes","Dona","50-54 anys",49
2020,8,"Nou Barris",51,"Verdun","Dona","50-54 anys",45
2020,8,"Nou Barris",52,"la Prosperitat","Dona","50-54 anys",99
2020,8,"Nou Barris",53,"la Trinitat Nova","Dona","50-54 anys",28
2020,8,"Nou Barris",54,"Torre Baró","Dona","50-54 anys",7
2020,8,"Nou Barris",55,"Ciutat Meridiana","Dona","50-54 anys",27
2020,8,"Nou Barris",56,"Vallbona","Dona","50-54 anys",4
2020,9,"Sant Andreu",57,"la Trinitat Vella","Dona","50-54 anys",24
2020,9,"Sant Andreu",58,"Baró de Viver","Dona","50-54 anys",8
2020,9,"Sant Andreu",59,"el Bon Pastor","Dona","50-54 anys",33
2020,9,"Sant Andreu",60,"Sant Andreu","Dona","50-54 anys",205
2020,9,"Sant Andreu",61,"la Sagrera","Dona","50-54 anys",87
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Dona","50-54 anys",54
2020,9,"Sant Andreu",63,"Navas","Dona","50-54 anys",70
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dona","50-54 anys",158
2020,10,"Sant Martí",65,"el Clot","Dona","50-54 anys",74
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dona","50-54 anys",68
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dona","50-54 anys",28
2020,10,"Sant Martí",68,"el Poblenou","Dona","50-54 anys",147
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dona","50-54 anys",59
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Dona","50-54 anys",69
2020,10,"Sant Martí",71,"Provençals del Poblenou","Dona","50-54 anys",53
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Dona","50-54 anys",82
2020,10,"Sant Martí",73,"la Verneda i la Pau","Dona","50-54 anys",94
2020,1,"Ciutat Vella",1,"el Raval","Dona","55-59 anys",149
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Dona","55-59 anys",72
2020,1,"Ciutat Vella",3,"la Barceloneta","Dona","55-59 anys",68
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dona","55-59 anys",112
2020,2,"Eixample",5,"el Fort Pienc","Dona","55-59 anys",123
2020,2,"Eixample",6,"la Sagrada Família","Dona","55-59 anys",263
2020,2,"Eixample",7,"la Dreta de l'Eixample","Dona","55-59 anys",197
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dona","55-59 anys",206
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dona","55-59 anys",261
2020,2,"Eixample",10,"Sant Antoni","Dona","55-59 anys",160
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Dona","55-59 anys",187
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dona","55-59 anys",10
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Dona","55-59 anys",129
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dona","55-59 anys",39
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Dona","55-59 anys",92
2020,3,"Sants-Montjuïc",16,"la Bordeta","Dona","55-59 anys",75
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Dona","55-59 anys",102
2020,3,"Sants-Montjuïc",18,"Sants","Dona","55-59 anys",196
2020,4,"Les Corts",19,"les Corts","Dona","55-59 anys",216
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dona","55-59 anys",95
2020,4,"Les Corts",21,"Pedralbes","Dona","55-59 anys",36
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dona","55-59 anys",16
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dona","55-59 anys",81
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dona","55-59 anys",64
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dona","55-59 anys",83
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dona","55-59 anys",190
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dona","55-59 anys",139
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Dona","55-59 anys",73
2020,6,"Gràcia",29,"el Coll","Dona","55-59 anys",43
2020,6,"Gràcia",30,"la Salut","Dona","55-59 anys",52
2020,6,"Gràcia",31,"la Vila de Gràcia","Dona","55-59 anys",291
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dona","55-59 anys",188
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Dona","55-59 anys",111
2020,7,"Horta-Guinardó",34,"Can Baró","Dona","55-59 anys",44
2020,7,"Horta-Guinardó",35,"el Guinardó","Dona","55-59 anys",174
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dona","55-59 anys",37
2020,7,"Horta-Guinardó",37,"el Carmel","Dona","55-59 anys",114
2020,7,"Horta-Guinardó",38,"la Teixonera","Dona","55-59 anys",44
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dona","55-59 anys",33
2020,7,"Horta-Guinardó",40,"Montbau","Dona","55-59 anys",29
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dona","55-59 anys",18
2020,7,"Horta-Guinardó",42,"la Clota","Dona","55-59 anys",7
2020,7,"Horta-Guinardó",43,"Horta","Dona","55-59 anys",110
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dona","55-59 anys",107
2020,8,"Nou Barris",45,"Porta","Dona","55-59 anys",126
2020,8,"Nou Barris",46,"el Turó de la Peira","Dona","55-59 anys",73
2020,8,"Nou Barris",47,"Can Peguera","Dona","55-59 anys",14
2020,8,"Nou Barris",48,"la Guineueta","Dona","55-59 anys",54
2020,8,"Nou Barris",49,"Canyelles","Dona","55-59 anys",19
2020,8,"Nou Barris",50,"les Roquetes","Dona","55-59 anys",46
2020,8,"Nou Barris",51,"Verdun","Dona","55-59 anys",56
2020,8,"Nou Barris",52,"la Prosperitat","Dona","55-59 anys",114
2020,8,"Nou Barris",53,"la Trinitat Nova","Dona","55-59 anys",28
2020,8,"Nou Barris",54,"Torre Baró","Dona","55-59 anys",8
2020,8,"Nou Barris",55,"Ciutat Meridiana","Dona","55-59 anys",28
2020,8,"Nou Barris",56,"Vallbona","Dona","55-59 anys",3
2020,9,"Sant Andreu",57,"la Trinitat Vella","Dona","55-59 anys",31
2020,9,"Sant Andreu",58,"Baró de Viver","Dona","55-59 anys",9
2020,9,"Sant Andreu",59,"el Bon Pastor","Dona","55-59 anys",35
2020,9,"Sant Andreu",60,"Sant Andreu","Dona","55-59 anys",233
2020,9,"Sant Andreu",61,"la Sagrera","Dona","55-59 anys",109
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Dona","55-59 anys",58
2020,9,"Sant Andreu",63,"Navas","Dona","55-59 anys",83
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dona","55-59 anys",181
2020,10,"Sant Martí",65,"el Clot","Dona","55-59 anys",131
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dona","55-59 anys",57
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dona","55-59 anys",53
2020,10,"Sant Martí",68,"el Poblenou","Dona","55-59 anys",172
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dona","55-59 anys",52
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Dona","55-59 anys",95
2020,10,"Sant Martí",71,"Provençals del Poblenou","Dona","55-59 anys",100
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Dona","55-59 anys",88
2020,10,"Sant Martí",73,"la Verneda i la Pau","Dona","55-59 anys",91
2020,1,"Ciutat Vella",1,"el Raval","Dona","60-64 anys",183
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Dona","60-64 anys",85
2020,1,"Ciutat Vella",3,"la Barceloneta","Dona","60-64 anys",90
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dona","60-64 anys",108
