"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Tipus_Vehicles","Antiguitat","Nombre"
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Turismes","10 anys",144
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Turismes","D'11 a 20 anys",1723
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Turismes","Més de 20 anys",578
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Motos","Menys d'un any d'antiguitat",128
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Motos","1 any",166
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Motos","2 anys",157
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Motos","3 anys",153
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Motos","4 anys",119
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Motos","5 anys",103
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Motos","6 anys",113
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Motos","7 anys",74
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Motos","8 anys",73
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Motos","9 anys",118
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Motos","10 anys",110
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Motos","D'11 a 20 anys",846
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Motos","Més de 20 anys",372
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Ciclomotors","Menys d'un any d'antiguitat",1747
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Ciclomotors","1 any",1117
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Ciclomotors","2 anys",1121
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Ciclomotors","3 anys",344
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Ciclomotors","4 anys",37
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Ciclomotors","5 anys",21
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Ciclomotors","6 anys",8
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Ciclomotors","7 anys",16
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Ciclomotors","8 anys",23
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Ciclomotors","9 anys",41
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Ciclomotors","10 anys",22
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Ciclomotors","D'11 a 20 anys",570
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Ciclomotors","Més de 20 anys",5
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Furgonetes","Menys d'un any d'antiguitat",9
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Furgonetes","1 any",20
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Furgonetes","2 anys",24
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Furgonetes","3 anys",14
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Furgonetes","4 anys",14
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Furgonetes","5 anys",18
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Furgonetes","6 anys",13
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Furgonetes","7 anys",16
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Furgonetes","8 anys",19
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Furgonetes","9 anys",20
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Furgonetes","10 anys",10
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Furgonetes","D'11 a 20 anys",228
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Furgonetes","Més de 20 anys",115
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Camions","Menys d'un any d'antiguitat",2
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Camions","1 any",3
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Camions","2 anys",2
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Camions","3 anys",5
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Camions","4 anys",2
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Camions","5 anys",2
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Camions","6 anys",1
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Camions","8 anys",1
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Camions","9 anys",3
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Camions","10 anys",3
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Camions","D'11 a 20 anys",68
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Camions","Més de 20 anys",35
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Altres vehicles","Menys d'un any d'antiguitat",2
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Altres vehicles","1 any",1
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Altres vehicles","2 anys",6
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Altres vehicles","3 anys",4
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Altres vehicles","4 anys",3
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Altres vehicles","5 anys",3
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Altres vehicles","6 anys",4
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Altres vehicles","8 anys",2
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Altres vehicles","D'11 a 20 anys",44
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Altres vehicles","Més de 20 anys",38
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Altres vehicles","No consta",11
2019,"2","Eixample","5","el Fort Pienc","Turismes","Menys d'un any d'antiguitat",490
2019,"2","Eixample","5","el Fort Pienc","Turismes","1 any",630
2019,"2","Eixample","5","el Fort Pienc","Turismes","2 anys",481
2019,"2","Eixample","5","el Fort Pienc","Turismes","3 anys",449
2019,"2","Eixample","5","el Fort Pienc","Turismes","4 anys",422
2019,"2","Eixample","5","el Fort Pienc","Turismes","5 anys",348
2019,"2","Eixample","5","el Fort Pienc","Turismes","6 anys",312
2019,"2","Eixample","5","el Fort Pienc","Turismes","7 anys",292
2019,"2","Eixample","5","el Fort Pienc","Turismes","8 anys",311
2019,"2","Eixample","5","el Fort Pienc","Turismes","9 anys",377
2019,"2","Eixample","5","el Fort Pienc","Turismes","10 anys",391
2019,"2","Eixample","5","el Fort Pienc","Turismes","D'11 a 20 anys",3610
2019,"2","Eixample","5","el Fort Pienc","Turismes","Més de 20 anys",839
2019,"2","Eixample","5","el Fort Pienc","Motos","Menys d'un any d'antiguitat",219
2019,"2","Eixample","5","el Fort Pienc","Motos","1 any",248
