"Any","Codi_Districte","Nom_Districte","Codi_Barri","Desc_Barri","Tipus_vehicle","Nombre"
2018,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Camions",1.0
2018,5,"Sarrià-Sant Gervasi",23,"Sarrià","Camions",4.0
2018,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Camions",2.0
2018,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Camions",2.0
2018,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Camions",10.0
2018,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Camions",3.0
2018,6,"Gràcia",28,"Vallcarca i els Penitents","Camions",1.0
2018,6,"Gràcia",29,"el Coll","Camions",1.0
2018,6,"Gràcia",30,"la Salut","Camions",1.0
2018,6,"Gràcia",31,"la Vila de Gràcia","Camions",21.0
2018,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Camions",0.0
2018,7,"Horta-Guinardó",33,"el Baix Guinardó","Camions",3.0
2018,7,"Horta-Guinardó",34,"Can Baró","Camions",2.0
2018,7,"Horta-Guinardó",35,"el Guinardó","Camions",24.0
2018,7,"Horta-Guinardó",36,"la Font d'en Fargues","Camions",0.0
2018,7,"Horta-Guinardó",37,"el Carmel","Camions",7.0
2018,7,"Horta-Guinardó",38,"la Teixonera","Camions",1.0
2018,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Camions",0.0
2018,7,"Horta-Guinardó",40,"Montbau","Camions",0.0
2018,7,"Horta-Guinardó",41,"la Vall d'Hebron","Camions",0.0
2018,7,"Horta-Guinardó",42,"la Clota","Camions",0.0
2018,7,"Horta-Guinardó",43,"Horta","Camions",2.0
2018,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Camions",7.0
2018,8,"Nou Barris",45,"Porta","Camions",2.0
2018,8,"Nou Barris",46,"el Turó de la Peira","Camions",0.0
2018,8,"Nou Barris",47,"Can Peguera","Camions",1.0
2018,8,"Nou Barris",48,"la Guineueta","Camions",3.0
2018,8,"Nou Barris",49,"Canyelles","Camions",2.0
2018,8,"Nou Barris",50,"les Roquetes","Camions",4.0
2018,8,"Nou Barris",51,"Verdun","Camions",2.0
2018,8,"Nou Barris",52,"la Prosperitat","Camions",4.0
2018,8,"Nou Barris",53,"la Trinitat Nova","Camions",1.0
2018,8,"Nou Barris",54,"Torre Baró","Camions",1.0
2018,8,"Nou Barris",55,"Ciutat Meridiana","Camions",1.0
2018,8,"Nou Barris",56,"Vallbona","Camions",1.0
2018,9,"Sant Andreu",57,"la Trinitat Vella","Camions",3.0
2018,9,"Sant Andreu",58,"Baró de Viver","Camions",0.0
2018,9,"Sant Andreu",59,"el Bon Pastor","Camions",23.0
2018,9,"Sant Andreu",60,"Sant Andreu","Camions",3.0
2018,9,"Sant Andreu",61,"la Sagrera","Camions",8.0
2018,9,"Sant Andreu",62,"el Congrés i els Indians","Camions",1.0
2018,9,"Sant Andreu",63,"Navas","Camions",0.0
2018,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Camions",9.0
2018,10,"Sant Martí",65,"el Clot","Camions",5.0
2018,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Camions",7.0
2018,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Camions",1.0
2018,10,"Sant Martí",68,"el Poblenou","Camions",14.0
2018,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Camions",0.0
2018,10,"Sant Martí",70,"el Besòs i el Maresme","Camions",1.0
2018,10,"Sant Martí",71,"Provençals del Poblenou","Camions",6.0
2018,10,"Sant Martí",72,"Sant Martí de Provençals","Camions",4.0
2018,10,"Sant Martí",73,"la Verneda i la Pau","Camions",7.0
