"Equipament","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Titularitat","TipusGeneral","TipusEquipament","Ambit","Latitud","Longitud","Web","Notes_Equipament"
"Reial Cercle Artístic",1,"Ciutat Vella",2.0,"el Barri Gòtic","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.3846867,2.174380000000042,"http://www.reialcercleartistic.cat",""
"Societat Coral l'Espiga de Les Corts",4,"Les Corts",19.0,"les Corts","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.3879959,2.1332087000000683,"http://espigadelescorts.cat",""
"Societat Cultural i Esportiva La Lira",9,"Sant Andreu",60.0,"Sant Andreu","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.433065899999995,2.1886806999999635,"http://scelalira.cat/",""
"Biblioteca Barceloneta - La Fraternitat",1,"Ciutat Vella",3.0,"la Barceloneta","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.379201005,2.188854072,"http://www.bcn.cat/bibbarceloneta",""
"Biblioteca Bon Pastor",9,"Sant Andreu",59.0,"el Bon Pastor","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.435164144,2.204659876,"http://www.bcn.cat/bibbonpastor",""
"Biblioteca Camp de l'Arpa - Caterina Albert",10,"Sant Martí",64.0,"el Camp de l'Arpa del Clot","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.415766234,2.182280785,"http://www.bcn.cat/bibcampdelarpa",""
"Biblioteca Can Rosés",4,"Les Corts",19.0,"les Corts","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.388637761999995,2.134585602,"",""
"Biblioteca Canyelles",8,"Nou Barris",49.0,"Canyelles","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.443773486,2.164322669,"http://www.bcn.cat/bibcanyelles",""
"Biblioteca Clarà",5,"Sarrià-Sant Gervasi",24.0,"les Tres Torres","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.399909399,2.129455802,"http://www.bcn.cat/bibclara",""
"Biblioteca Collserola - Josep Miracle",5,"Sarrià-Sant Gervasi",22.0,"Vallvidrera, el Tibidabo i les Planes","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.415359022,2.1025287,"http://www.bcn.cat/bibcollserola",""
"Biblioteca El Carmel - Juan Marsé",7,"Horta-Guinardó",37.0,"el Carmel","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.42110456,2.1552866230000003,"http://www.bcn.cat/bibelcarmel",""
"Biblioteca El Clot - Josep Benet",10,"Sant Martí",66.0,"el Parc i la Llacuna del Poblenou","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.4019532,2.188806,"http://www.bcn.cat/bibelclot",""
"Biblioteca Esquerra de l'Eixample-Agustí Centelles",2,"Eixample",9.0,"la Nova Esquerra de l'Eixample","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.3864488,2.1527896,"http://www.bcn.cat/bibcentelles",""
