"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Seccio_censal","Tipus_Vehicles","Nacionalitat_propietari","Nombre"
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","51","Motos","Altres nacionalitats",45
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","52","Turismes","Nacionalitat espanyola",447
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","52","Turismes","Altres nacionalitats",127
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","52","Motos","Nacionalitat espanyola",197
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","52","Motos","Altres nacionalitats",75
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","53","Turismes","Nacionalitat espanyola",249
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","53","Turismes","Altres nacionalitats",59
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","53","Motos","Nacionalitat espanyola",128
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","53","Motos","Altres nacionalitats",41
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","54","Turismes","Nacionalitat espanyola",136
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","54","Turismes","Altres nacionalitats",37
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","54","Motos","Nacionalitat espanyola",103
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","54","Motos","Altres nacionalitats",39
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","55","Turismes","Nacionalitat espanyola",289
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","55","Turismes","Altres nacionalitats",30
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","55","Motos","Nacionalitat espanyola",108
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","55","Motos","Altres nacionalitats",22
2019,"2","Eixample","5","el Fort Pienc","1","Turismes","Nacionalitat espanyola",417
2019,"2","Eixample","5","el Fort Pienc","1","Turismes","Altres nacionalitats",42
2019,"2","Eixample","5","el Fort Pienc","1","Motos","Nacionalitat espanyola",110
2019,"2","Eixample","5","el Fort Pienc","1","Motos","Altres nacionalitats",23
2019,"2","Eixample","5","el Fort Pienc","2","Turismes","Nacionalitat espanyola",425
2019,"2","Eixample","5","el Fort Pienc","2","Turismes","Altres nacionalitats",46
2019,"2","Eixample","5","el Fort Pienc","2","Motos","Nacionalitat espanyola",179
2019,"2","Eixample","5","el Fort Pienc","2","Motos","Altres nacionalitats",22
2019,"2","Eixample","5","el Fort Pienc","3","Turismes","Nacionalitat espanyola",296
2019,"2","Eixample","5","el Fort Pienc","3","Turismes","Altres nacionalitats",16
2019,"2","Eixample","5","el Fort Pienc","3","Motos","Nacionalitat espanyola",102
2019,"2","Eixample","5","el Fort Pienc","3","Motos","Altres nacionalitats",13
2019,"2","Eixample","5","el Fort Pienc","4","Turismes","Nacionalitat espanyola",322
2019,"2","Eixample","5","el Fort Pienc","4","Turismes","Altres nacionalitats",53
2019,"2","Eixample","5","el Fort Pienc","4","Motos","Nacionalitat espanyola",146
2019,"2","Eixample","5","el Fort Pienc","4","Motos","Altres nacionalitats",24
2019,"2","Eixample","5","el Fort Pienc","5","Turismes","Nacionalitat espanyola",618
2019,"2","Eixample","5","el Fort Pienc","5","Turismes","Altres nacionalitats",46
2019,"2","Eixample","5","el Fort Pienc","5","Motos","Nacionalitat espanyola",254
2019,"2","Eixample","5","el Fort Pienc","5","Motos","Altres nacionalitats",24
2019,"2","Eixample","5","el Fort Pienc","6","Turismes","Nacionalitat espanyola",448
2019,"2","Eixample","5","el Fort Pienc","6","Turismes","Altres nacionalitats",47
2019,"2","Eixample","5","el Fort Pienc","6","Motos","Nacionalitat espanyola",189
2019,"2","Eixample","5","el Fort Pienc","6","Motos","Altres nacionalitats",32
2019,"2","Eixample","5","el Fort Pienc","7","Turismes","Nacionalitat espanyola",332
2019,"2","Eixample","5","el Fort Pienc","7","Turismes","Altres nacionalitats",39
2019,"2","Eixample","5","el Fort Pienc","7","Motos","Nacionalitat espanyola",127
2019,"2","Eixample","5","el Fort Pienc","7","Motos","Altres nacionalitats",23
2019,"2","Eixample","5","el Fort Pienc","8","Turismes","Nacionalitat espanyola",598
2019,"2","Eixample","5","el Fort Pienc","8","Turismes","Altres nacionalitats",42
2019,"2","Eixample","5","el Fort Pienc","8","Motos","Nacionalitat espanyola",224
2019,"2","Eixample","5","el Fort Pienc","8","Motos","Altres nacionalitats",25
2019,"2","Eixample","5","el Fort Pienc","9","Turismes","Nacionalitat espanyola",491
2019,"2","Eixample","5","el Fort Pienc","9","Turismes","Altres nacionalitats",42
2019,"2","Eixample","5","el Fort Pienc","9","Motos","Nacionalitat espanyola",207
2019,"2","Eixample","5","el Fort Pienc","9","Motos","Altres nacionalitats",22
2019,"2","Eixample","5","el Fort Pienc","10","Turismes","Nacionalitat espanyola",308
2019,"2","Eixample","5","el Fort Pienc","10","Turismes","Altres nacionalitats",28
2019,"2","Eixample","5","el Fort Pienc","10","Motos","Nacionalitat espanyola",116
2019,"2","Eixample","5","el Fort Pienc","10","Motos","Altres nacionalitats",25
2019,"2","Eixample","5","el Fort Pienc","11","Turismes","Nacionalitat espanyola",355
2019,"2","Eixample","5","el Fort Pienc","11","Turismes","Altres nacionalitats",8
2019,"2","Eixample","5","el Fort Pienc","11","Motos","Nacionalitat espanyola",136
2019,"2","Eixample","5","el Fort Pienc","11","Motos","Altres nacionalitats",17
2019,"2","Eixample","5","el Fort Pienc","12","Turismes","Nacionalitat espanyola",373
2019,"2","Eixample","5","el Fort Pienc","12","Turismes","Altres nacionalitats",32
2019,"2","Eixample","5","el Fort Pienc","12","Motos","Nacionalitat espanyola",189
2019,"2","Eixample","5","el Fort Pienc","12","Motos","Altres nacionalitats",37
2019,"2","Eixample","5","el Fort Pienc","13","Turismes","Nacionalitat espanyola",272
2019,"2","Eixample","5","el Fort Pienc","13","Turismes","Altres nacionalitats",28
2019,"2","Eixample","5","el Fort Pienc","13","Motos","Nacionalitat espanyola",150
2019,"2","Eixample","5","el Fort Pienc","13","Motos","Altres nacionalitats",23
2019,"2","Eixample","5","el Fort Pienc","14","Turismes","Nacionalitat espanyola",261
2019,"2","Eixample","5","el Fort Pienc","14","Turismes","Altres nacionalitats",30
2019,"2","Eixample","5","el Fort Pienc","14","Motos","Nacionalitat espanyola",115
2019,"2","Eixample","5","el Fort Pienc","14","Motos","Altres nacionalitats",28
2019,"2","Eixample","5","el Fort Pienc","15","Turismes","Nacionalitat espanyola",345
2019,"2","Eixample","5","el Fort Pienc","15","Turismes","Altres nacionalitats",41
2019,"2","Eixample","5","el Fort Pienc","15","Motos","Nacionalitat espanyola",174
2019,"2","Eixample","5","el Fort Pienc","15","Motos","Altres nacionalitats",37
2019,"2","Eixample","5","el Fort Pienc","16","Turismes","Nacionalitat espanyola",478
2019,"2","Eixample","5","el Fort Pienc","16","Turismes","Altres nacionalitats",38
2019,"2","Eixample","5","el Fort Pienc","16","Motos","Nacionalitat espanyola",231
2019,"2","Eixample","5","el Fort Pienc","16","Motos","Altres nacionalitats",25
2019,"2","Eixample","5","el Fort Pienc","17","Turismes","Nacionalitat espanyola",483
2019,"2","Eixample","5","el Fort Pienc","17","Turismes","Altres nacionalitats",46
2019,"2","Eixample","5","el Fort Pienc","17","Motos","Nacionalitat espanyola",252
2019,"2","Eixample","5","el Fort Pienc","17","Motos","Altres nacionalitats",39
2019,"2","Eixample","5","el Fort Pienc","18","Turismes","Nacionalitat espanyola",554
2019,"2","Eixample","5","el Fort Pienc","18","Turismes","Altres nacionalitats",49
2019,"2","Eixample","5","el Fort Pienc","18","Motos","Nacionalitat espanyola",235
2019,"2","Eixample","5","el Fort Pienc","18","Motos","Altres nacionalitats",30
2019,"2","Eixample","5","el Fort Pienc","19","Turismes","Nacionalitat espanyola",477
2019,"2","Eixample","5","el Fort Pienc","19","Turismes","Altres nacionalitats",56
2019,"2","Eixample","5","el Fort Pienc","19","Motos","Nacionalitat espanyola",227
2019,"2","Eixample","5","el Fort Pienc","19","Motos","Altres nacionalitats",24
2019,"2","Eixample","5","el Fort Pienc","20","Turismes","Nacionalitat espanyola",326
2019,"2","Eixample","5","el Fort Pienc","20","Turismes","Altres nacionalitats",44
2019,"2","Eixample","5","el Fort Pienc","20","Motos","Nacionalitat espanyola",144
2019,"2","Eixample","5","el Fort Pienc","20","Motos","Altres nacionalitats",37
2019,"2","Eixample","6","la Sagrada Família","21","Turismes","Nacionalitat espanyola",341
2019,"2","Eixample","6","la Sagrada Família","21","Turismes","Altres nacionalitats",23
2019,"2","Eixample","6","la Sagrada Família","21","Motos","Nacionalitat espanyola",161
2019,"2","Eixample","6","la Sagrada Família","21","Motos","Altres nacionalitats",19
2019,"2","Eixample","6","la Sagrada Família","22","Turismes","Nacionalitat espanyola",310
