"ID_TRAM","UTM_IX","UTM_FX","UTM_IY","UTM_FY","LATITUD_I","LONGITUD_I","LATITUD_F","LONGITUD_F","ID_TARIFA","ID_HORARIO","ID_TARIFA1","ID_HORARIO1","TIPUS_TRAM","ADREÇA","COLOR_RGB","PLACES"
4939,431237.425,431239.89,4582511.469,4582513.8889999995,41.391192185798005,2.177502502563,41.391214192077996,2.177531707983,46,81,"",81,"AZL","ALI BEI, 7, C","0000FF",8.0
4939,431242.239,431244.735,4582516.194,4582518.645,41.391235152697,2.177559539176,41.391257440812,2.1775891118599997,46,81,"",81,"AZL","ALI BEI, 7, C","0000FF",8.0
4943,432540.898,432488.045,4582153.044,4582077.518,41.388074414467,2.19313131618,41.387389758046,2.192507665562,56,12,52.0,12,"VM","ICARIA, 117 , AV","00FF00",19.0
4945,430416.61100000003,430404.848,4583972.109,4583972.007,41.404276704863,2.167518174316,41.404274768092996,2.167377478834,56,13,52.0,13,"VM","NAPOLS, 313, C","00FF00",5.0
4947,430476.061,430431.031,4584106.841,4584152.899,41.405495296476005,2.1682138321849997,41.405906217354,2.167669886657,56,13,52.0,13,"VM","SICILIA, 303, C","00FF00",11.0
4947,430483.891,430480.955,4584098.987,4584101.99,41.40542523737,2.16830839718,41.405452029685,2.168272931689,56,13,52.0,13,"VM","SICILIA, 303, C","00FF00",11.0
4948,430083.845,430070.82899999997,4583742.074,4583756.367,41.402176054040005,2.163564247534,41.402303650366,2.163406906396,47,82,"",82,"AZL","BAILEN, 207, C","0000FF",1.0
4951,428193.153,428193.96,4580630.0430000005,4580669.37,41.373981384737,2.141317763551,41.374335650409996,2.141322754465,56,13,52.0,13,"VM","VINT-I-SIS DE GENER DE 1641, 19, C","00FF00",9.0
4953,428343.22799999994,428326.518,4582975.944,4582993.674,41.395122792586996,2.142834684871,41.395280986109995,2.142632733495,47,82,"",82,"AZL","CALVET, 37, C","0000FF",5.0
4955,428190.042,428179.99700000003,4583156.325,4583169.235,41.396733702281,2.140981178366,41.396849077107,2.140859505267,47,82,"",82,"AZL","CALVET, 77, C","0000FF",2.0
4958,427826.23799999995,427812.041,4582075.018,4582091.803,41.386962522242996,2.136758783741,41.38711241993,2.13658700798,56,13,52.0,13,"VM","NICARAGUA, 141, C","00FF00",30.0
4958,427832.961,427830.161,4582067.067,4582070.379,41.386891515916,2.136840128297,41.386921093748995,2.136806249811,56,13,52.0,13,"VM","NICARAGUA, 141, C","00FF00",30.0
4958,427871.758,427837.783,4582021.196,4582059.998,41.386481865179,2.1373095454390003,41.386828282611,2.1368986344209997,56,13,52.0,13,"VM","NICARAGUA, 141, C","00FF00",30.0
4958,427878.23299999995,427876.88899999997,4582013.021000001,4582014.521000001,41.386408818792,2.137387949755,41.386422207824005,2.13737169901,56,13,52.0,13,"VM","NICARAGUA, 141, C","00FF00",30.0
4958,427881.679,427883.001,4582027.768999999,4582027.313999999,41.386541953288,2.137427403287,41.386537973907,2.137443266584,56,13,52.0,13,"VM","NICARAGUA, 141, C","00FF00",30.0
4959,427804.042,427791.61100000003,4582101.262,4582115.96,41.387196893126,2.136490223984,41.387328152670996,2.136339814686,56,13,52.0,13,"VM","NICARAGUA, 153, C","00FF00",6.0
4962,427429.36600000004,427412.89700000006,4582541.085,4582535.695,41.391124372509,2.131956934138,41.391074342435004,2.131760621874,56,13,52.0,13,"VM","NAU SANTA MARIA, 8, C","00FF00",5.0
4962,427451.906,427433.599,4582548.333000001,4582542.342,41.391191683577,2.132225629317,41.391136075345,2.132007407386,56,13,52.0,13,"VM","NAU SANTA MARIA, 8, C","00FF00",5.0
4963,427366.935,427374.719,4582539.273,4582527.32,41.391102418171,2.131210518831,41.390995468414005,2.131305043218,56,13,52.0,13,"VM","NUMANCIA, isleta, C","00FF00",2.0
4964,427393.422,427398.565,4582545.626,4582537.728,41.391162026595,2.13152652388,41.391091358856,2.1315889773050003,56,13,52.0,13,"VM","NUMANCIA, fte isleta, C","00FF00",1.0
4970,428534.54600000003,428517.424,4582454.625,4582471.838,41.390444632043,2.145184375082,41.390598137114,2.144977577792,46,82,"",82,"AZL","COMTE BORRELL, fte. 324, C","0000FF",5.0
4970,428534.54799999995,428513.907,4582454.874,4582475.624,41.390446874804,2.145184369626,41.390631922635,2.144935070264,46,82,"",82,"AZL","COMTE BORRELL, fte. 324, C","0000FF",5.0
4973,431815.974,431830.292,4582553.491,4582553.279,41.391619904148,2.184416925708,41.391619208354,2.184588186809,56,13,52.0,13,"VM","BUENAVENTURA MUÑOZ, 21, C","00FF00",7.0
4977,431375.69700000004,431375.49,4583983.843,4583974.376,41.404464818621996,2.178989308463,41.404379537238995,2.178987905546,46,82,"",82,"AZL","VALENCIA, 492, C","0000FF",5.0
4980,428130.258,428103.23,4580372.13,4580349.341,41.371652909973,2.140596348838,41.371445249977,2.1402759099610003,56,13,52.0,13,"VM","GAVA, 33, C","00FF00",6.0
4981,427947.854,427937.273,4580222.315,4580215.577,41.370287313362,2.138433367937,41.370225681253,2.1383076671990002,56,13,52.0,13,"VM","GAVA, 91, C","00FF00",2.0
4982,431958.02,431982.175,4583214.206,4583237.829,41.397582625658,2.186041508818,41.397797428157,2.186327765573,54,13,52.0,13,"VM","ALI BEI, 141, C","00FF00",5.0
4982,431965.096,431982.537,4583221.127,4583238.183999999,41.397645557888,2.186125364988,41.397800656061,2.186332055478,54,13,52.0,13,"VM","ALI BEI, 141, C","00FF00",5.0
4984,431200.88399999996,431198.064,4582841.819,4582839.076,41.394164334577,2.177027969023,41.394139388727005,2.176994553356,54,13,52.0,13,"VM","CASP, 100, C","00FF00",6.0
