"N_EXPEDIENT","DISTRICTE","BARRI","TIPUS_CARRER","CARRER","TIPUS_NUM","NUM1","LLETRA1","NUM2","LLETRA2","BLOC","PORTAL","ESCALA","PIS","PORTA","NUMERO_REGISTRE_GENERALITAT","NUMERO_PLACES","LONGITUD_X","LATITUD_Y"
"10-2013-0384","SANT MARTI","el Poblenou","Carrer","PUJADES",2,238,"","","","","","","BJ","I2","HUTB-006258",5.0,2.202386726,41.40181605
"06-2013-0323","GRACIA","el Camp d'en Grassot i Gràcia Nova","Carrer","BAILEN",2,212,"","","","","","B","EN","4","HUTB-006392",7.0,2.162746522,41.40033451
"06-2013-0324","GRACIA","el Camp d'en Grassot i Gràcia Nova","Travessera","GRACIA",2,274,"","","","","","A","1","1","HUTB-006393",3.0,2.165182267,41.40466952
"10-2013-0418","SANT MARTI","el Camp de l'Arpa del Clot","Carrer","INDEPENDENCIA",2,258,"","","","","","","1","2","HUTB-006347",4.0,2.183109678,41.40544192
"03-2013-0324","SANTS-MONTJUÏC","el Poble Sec","Carrer","PIQUER",1,15,"","","","","","","3","1","HUTB-006269",3.0,2.16946058,41.37090087
"02-2013-0987","L'EIXAMPLE","l'Antiga Esquerra de l'Eixample","Carrer","COMTE D'URGELL",2,74,"","","","","","","2","1","HUTB-006266",3.0,2.156956749,41.38087157
"02-2013-0994","L'EIXAMPLE","Sant Antoni","Carrer","SEPULVEDA",2,156,"",160.0,"","","","","6","2","HUTB-006487",7.0,2.1603378380000002,41.38041185
"02-2013-1055","L'EIXAMPLE","Sant Antoni","Carrer","FLORIDABLANCA",2,148,"","","","","","","2","2","HUTB-006465",5.0,2.161777767,41.37980468
"02-2013-1082","L'EIXAMPLE","Sant Antoni","Carrer","MUNTANER",1,7,"","","","","","","PR","1","HUTB-006566",8.0,2.161808251,41.38199327
"06-2013-0332","GRACIA","el Camp d'en Grassot i Gràcia Nova","Carrer","PI I MARGALL",1,7,"","","","","","","3","2","HUTB-006518",3.0,2.161891031,41.40444973
"02-2013-1075","L'EIXAMPLE","la Sagrada Família","Carrer","MALLORCA",1,371,"","","","","","","5","2","HUTB-006517",4.0,2.171657483,41.39979689
"02-2013-1083","L'EIXAMPLE","Sant Antoni","Carrer","MUNTANER",1,7,"","","","","","","PR","2","HUTB-006567",4.0,2.161808251,41.38199327
"02-2013-1058","L'EIXAMPLE","la Dreta de l'Eixample","Rambla","CATALUNYA",2,100,"","","","","","","5","1","HUTB-006468",4.0,2.15924176,41.39168833
"02-2013-1060","L'EIXAMPLE","la Dreta de l'Eixample","Rambla","CATALUNYA",2,100,"","","","","","","3","3","HUTB-006469",4.0,2.15924176,41.39168833
"02-2013-1084","L'EIXAMPLE","Sant Antoni","Carrer","MUNTANER",1,7,"","","","","","","2","2","HUTB-002407",4.0,2.161808251,41.38199327
