"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"K014","Transports i serveis relacionats","Autobusos diürns",426275.196,4585711.387,426183.304,4585510.422,2.116694,41.417759000000004,"BUS -111--",5,22,"Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes","",""
"K014","Transports i serveis relacionats","Autobusos diürns",427306.821,4581203.731000001,427214.91799999995,4581002.807,2.129579,41.377255,"BUS -70--",3,17,"Sants-Montjuïc","Sants - Badal","",""
"K014","Transports i serveis relacionats","Autobusos diürns",429546.44299999997,4584638.069,429454.52,4584437.113,2.155959,41.408386,"BUS -116--",6,31,"Gràcia","la Vila de Gràcia","",""
"K014","Transports i serveis relacionats","Autobusos diürns",429178.124,4584738.376,429086.205,4584537.419,2.151541,41.409257000000004,"BUS -116--",6,30,"Gràcia","la Salut","",""
"K014","Transports i serveis relacionats","Autobusos diürns",433630.37,4584510.047,433538.41,4584309.091,2.20483,41.407581,"BUS -7--",10,69,"Sant Martí","Diagonal Mar i el Front Marítim del Poblenou","",""
"K014","Transports i serveis relacionats","Autobusos diürns",427713.721,4585749.93,427621.815,4585548.964,2.133901,41.418237,"BUS -124--",6,28,"Gràcia","Vallcarca i els Penitents","",""
"K014","Transports i serveis relacionats","Autobusos diürns",431705.31,4587484.708000001,431613.36799999996,4587283.725,2.181464,41.434211,"BUS -11-132--",8,45,"Nou Barris","Porta","",""
"K014","Transports i serveis relacionats","Autobusos diürns",429676.769,4580199.924,429584.844,4579999.009,2.1580340000000002,41.368425,"BUS -55--",3,11,"Sants-Montjuïc","el Poble-sec","",""
"K014","Transports i serveis relacionats","Autobusos diürns",427798.31899999996,4586780.456,427706.41299999994,4586579.48,2.13479,41.427526,"BUS -112--",7,39,"Horta-Guinardó","Sant Genís dels Agudells","",""
"K014","Transports i serveis relacionats","Autobusos diürns",431567.352,4590533.585,431475.412,4590332.574,2.179467,41.461659000000004,"BUS -83--",8,55,"Nou Barris","Ciutat Meridiana","",""
