"dcAccrualPeriodicity","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatereview","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhaspart","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationispartof","dcrelationisreferencedby","dcrelationisversionof","dcrelationreferences","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 46"
"","Districte 4. Les Corts","","Barcelona. Districte 4. Les Corts","2004. 2005. 2006. 2007","","2004-06","2004-06","","","","","","application/pdf","11 p.","PAD2004_2007_LC_GRAFIC","","","districtes","Mandat 2003-2007","http://hdl.handle.net/11703/96340","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica. Política de l'habitatge. Equipaments col·lectius. Espais públics. Ordenació del territori. Rehabilitació urbana. Zones verdes. Política social. Política de transports. Política ambiental","Sector públic","plans estratègics","Programa d'Actuació del Districte de Les Corts (PAD) 2004-2007 (Barcelona)","Programa d'Actuació del Districte de Les Corts: 2004-2007 [versió presentació]","","text",""
2006.0,"Districte 5. Sarrià-Sant Gervasi","","Barcelona. Districte 5. Sarrià-Sant Gervasi","2004. 2005. 2007","","2004-04-30","2004-04-30","","Aprovat pel Plenari del Consell Municipal de 30-04-2004","","","","application/pdf","15 p.","","","","districtes","Mandat 2003-2007","http://hdl.handle.net/11703/102224","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica. Equipaments col·lectius. Desenvolupament urbà sostenible. Política ambiental. Política educativa. Convivència. Espais públics","Sector públic","plans estratègics","Programa d'Actuació del Districte de Sarrià-Sant Gervasi (PAD) 2004-2007 (Barcelona)","Pla d'Actuació 2004-2007: Districte Sarrià-Sant Gervasi","","text",""
"","Comissionat d'Economia Cooperativa, Social i Solidària i Consum. Àrea de Treball, Economia i Planificació Estratègica","","Barcelona","2016. 2017. 2018. 2019","","2016","2016","","","","","","application/pdf","72 p.","","","","","Mandat 2015-","http://hdl.handle.net/11703/99396","cat","","","","","","http://hdl.handle.net/11703/102432","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Economia social","Comerç. Economia","plans estratègics","Pla d'Impuls de l'Economia Social i Solidària a Barcelona 2016-2019","Pla d'impuls de l'economia social i solidària 2016-2019","","text",""
"","Gerència de Serveis Generals i Coordinació Territorial. Àrea d'Habitatge, Urbanisme i Règim Interior","","Dreta de l'Eixample (Barcelona : Barri)","2010. 2011. 2012. 2013. 2014. 2015. 2016. 2017. 2018. 2019. 2020","","2010","2010","","","","","","application/pdf","13 p.","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84983","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Equipaments col·lectius. Infraestructures urbanes. Barris","Sector públic","plans estratègics","Pla de Futur del Barri de la Dreta de l'Eixample 2010-2020 (Barcelona)","Pla de futur del barri de la Dreta de l'Eixample : 2010-2020 : Districte de l'Eixample","","text",""
"","Àrea d'Ecologia, Urbanisme i Mobilitat","","Barcelona","2016. 2017. 2018. 2019. 2020","","2016-07-13","2016-07-13","","Aprovat per la Comissió d'Ecologia, Urbanisme i Mobilitat de 13-07-2016. Es base per el Balanç del Pla de xoc d'inspecció contra els Habitatges d'ús turístic il·legal : informe de 21-set-2016[http://hdl.handle.net/11703/98280]. Es base per la Mesura de Govern de Impuls i reforç del Pla de xoc contra els allotjaments turístics il·legals de 27-01-2017 [http://hdl.handle.net/11703/100131]. Fa referència a la Mesura de Govern d'Impuls del procés participatiu sobre el model turístic de Barcelona [http://hdl.handle.net/11703/83468]. Es base per el Pla d'inspecció als allotjaments turístics : Informe 17-05-2017 [http://hdl.handle.net/11703/102545]","","","","application/pdf","15 p.","","","Publicat a la Gaseta Municipal de Barcelona, núm. 25 (30-09-2016)","","Mandat 2015-","http://hdl.handle.net/11703/97771","cat","","http://hdl.handle.net/11703/88764","","","","http://hdl.handle.net/11703/98280. http://hdl.handle.net/11703/100131. http://hdl.handle.net/11703/102545","","","","","http://hdl.handle.net/11703/83468","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Turisme i urbanisme. Allotjament turístic. Política turística","Turisme","mesures de govern. plans estratègics","Pla de Xoc d'Inspecció contra els Habitatges d'Ús Turístic Il·legal (Barcelona)","Pla de xoc d'inspecció contra els Habitatges d'ús turístic il·legal: mesura de govern","","text",""
"","Àrea de Treball, Economia i Planificació Estratègica. Districte 1. Ciutat Vella. Barcelona Activa, S.A.","","Barcelona. Districte 1. Ciutat Vella","2016. 2017. 2018. 2019. 2020. 2021","","2016","2017","","Basat en el Pla de Desenvolupament Econòmic Ciutat Vella 2016-2021 [http://hdl.handle.net/11703/97961]","","","","application/pdf","10 p.","","","","districtes","","http://hdl.handle.net/11703/101685","cat","Ajuntament de Barcelona","","","","http://hdl.handle.net/11703/97961","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Districte 1. Ciutat Vella. Política econòmica. Política social. Política laboral. Comerç. Turisme urbà","Economia. societats mercantils","plans estratègics","Pla de Desenvolupament Econòmic Ciutat Vella 2016-2021 (Barcelona)","Pla de Desenvolupament Econòmic Ciutat Vella 2016-2021 [versió resum]","","text",""
"","Fundació Barcelona Zoo","","Barcelona","2011. 2012","No","2011","2011","","","","","","application/pdf","11 p.","","","","fundacions","Mandat 2011-2015","http://hdl.handle.net/11703/108713","cat","","","","","","","","","","","","","CC-BY","openAccess","","Fundació Barcelona Zoo","http://creativecommons.org/licenses/by/4.0/deed.ca","Parcs zoològics. Política econòmica. Política fiscal. Fundació Barcelona Zoo","Medi ambient. Economia","plans estratègics","Pla Econòmic de la Fundació Barcelona Zoo 2011-2012","Projecte de viabilitat econòmica de la Fundació Barcelona Zoo 2011-2012","","text",""
"","Àrea d'Hisenda i Promoció Econòmica. Ajuntament de Barcelona","","Barcelona","2010. 2011. 2012. 2013. 2014. 2015","","2010","2010","","","","","","application/pdf","248 p.","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/85035","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Turisme urbà. Política turística","Turisme","plans estratègics","Pla Estratègic de Turisme de la Ciutat de Barcelona 2010-2015","Pla Estratègic de Turisme de la Ciutat de Barcelona : Programa d'Actuació 2010-2015 (Ámbit Turisme i Ciutat)","","text",""
"","Districte 9. Sant Andreu","","Barcelona. Districte 9. Sant Andreu","2016. 2017. 2018. 2019","","2016-12-14","2016-12-14","","Aprovat pel Consell Municipal de Districte de Sant Andreu de 14-12-2016","","","","application/pdf","55 p.","","","","districtes","Mandat 2015-","http://hdl.handle.net/11703/101948","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica. Política social. Política econòmica. Política ambiental. Política pública","Societat i benestar. Sector públic","mesures de govern. plans estratègics","Programa d'Actuació del Districte de Sant Andreu (PAD) 2016-2019 (Barcelona)","Actuacions al districte de Sant Andreu 2016-2019 : mesura de govern","","text",""
"","Àrea de Drets de Ciutadania, Participació i Transparència","","Barcelona","2015. 2016. 2017. 2018","","2017-01-12","2017-02-28","","Presentat a la Comissió de Govern de 12-01-2017. Citada a la Gaseta Municipal de Barcelona, núm. 6 (28-02-2017), p. 1442-1448","","","","application/pdf","33 p.","","","","","Mandat 2015-","http://hdl.handle.net/11703/100953","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Islamofòbia. Drets civils","Societat i benestar","mesures de govern. plans estratègics","Pla de Lluita Contra la Islamofòbia 2015-2018 (Barcelona)","Pla municipal de lluita contra la Islamofòbia : mesura de govern","","text",""
"","Associació Barcelona per l'Acció Social. Àrea d'Acció Social i Ciutadania","","Barcelona","2008","","","2008","","","","","","application/pdf","24 p.","MEASB_S","","","associacions","Mandat 2007-2011","http://hdl.handle.net/11703/96393","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Assistència social. Benestar social","Societat i benestar","plans estratègics","Marc Estratègic per a l'Acció Social a la Ciutat de Barcelona 2008-","Marc estratègic per l'acció social a la ciutat de Barcelona: entitats i institucions compromeses per una ciutat més cohesionada i inclusiva","","text",""
"","Sector de Serveis Personals","","Barcelona","1999. 2000. 2001. 2002. 2003","No","2002","2002","","","","","","application/pdf","4 p.","3076","","","","Mandat 1999-2003","http://hdl.handle.net/11703/96329","cat","","http://hdl.handle.net/11703/84924","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Esports","Esport","plans estratègics","Pla Estratègic de l'Esport de Barcelona 1999-2003","Eix 3 : Barcelona, una ciutat promou la pràctica de l'esport","","text",""
"","Sector de Serveis Personals","","Barcelona","2005. 2006. 2007. 2008. 2009. 2010","","2004","2004","","","","","","application/pdf","78 p.","","","","","Mandat 2003-2007","http://hdl.handle.net/11703/84941","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Integració social. Serveis socials. Benestar social","Societat i benestar","plans estratègics","Pla Municipal per a la Inclusió Social 2005-2010 (Barcelona)","Pla Municipal per a la Inclusió Social : Barcelona Inclusiva 2005-2010","","text",""
"","Àrea de Qualitat de Vida, Igualtat i Esports","","Barcelona","2013","","2013-07","2013","","","","","","application/pdf","27 p.","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/85103","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Temps. Integració social. Educació permanent","Educació. Societat i benestar","plans estratègics","Programa de Deu a Una (Barcelona)","Programa de Deu a Una","","text",""
"","Àrea de Drets Socials. Regidoria d'Habitatge","","Barcelona","2016. 2017. 2018. 2019. 2020. 2021. 2022. 2023. 2024. 2025","Si","2016","2016-09","","","","","Al Pla es presenten les mesures per donar resposta als reptes i necessitats detectades: es descriuen els objectius i principis generals del Pla, les línies estratègiques, línies d'actuació i actuacions, es presenta l'estudi econòmic i financer i el quadre d'objectius específics, es descriuen els agents, òrgans de participació i mecanismes de gestió, seguiment i avaluació. També s'inclou un resum de la memòria jurídica del Pla. Cadascuna de les actuacions, queda descrita de manera detallada en una fitxa específica.. Els annexos inclouen el documents: Memòria del procés de participació ciutadana, Memòria jurídica, Modelos de política de vivienda municipal, i Anàlisi i diagnosi de la situació de l'habitatge de Barcelona.","application/pdf","259 p.","","","","","Mandat 2015-","http://hdl.handle.net/11703/99390","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Habitatge públic. Política de l'habitatge. Política social. Habitatge","Habitatge","plans estratègics","Pla pel Dret a l'Habitatge de Barcelona 2016-2025","Pla pel dret a l'habitatge 2016-2025","","text",""
"","Àrea de Qualitat de Vida, Igualtat i Esports","","Barcelona","2013. 2014. 2015. 2016","","2013-01-28","2013","","","","","","application/pdf","102 p.","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/85079","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Adolescents. Joventut. Política de la joventut","Societat i benestar","plans estratègics","Pla d'Adolescència i Joventut 2013-2016 (Barcelona)","Pla d'Adolescència i Joventut 2013-2016","","text",""
"","Àrea de Medi Ambient","","Barcelona","1995. 1996. 1997. 1999. 2000. 2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 1998","","2009-12","2009","","","","","","application/pdf","21 p.","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84919","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Aigües subterrànies. Aigua. Aigües residuals","Medi ambient","plans estratègics","Pla Tècnic per l'Aprofitament dels Recursos Hídrics Alternatius a Barcelona (1998-2008)","Pla Tècnic per l'Aprofitament dels Recursos Hídrics Alternatius a Barcelona : resum executiu","","text",""
"","Sector de Serveis Generals. Direcció de Solidaritat i Cooperació Internacional","","Barcelona","2006. 2007. 2008","","2005","2005","","","","","","application/pdf","24 p.","","","","","Mandat 2003-2007","http://hdl.handle.net/11703/84951","cas","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Solidaritat. Cooperació internacional","Societat i benestar","plans estratègics","Pla Director de Cooperació Internacional i Solidaritat 2006-2008 (Barcelona)","Plan Director de Cooperación Internacional y Solidaridad 2006-2008 : ""Barcelona ciudad solidaria: un compromiso con el mundo""","","text",""
"","Ajuntament de Barcelona","","Barcelona","2004. 2005. 2006. 2007","No","2004","2004","","","","","","application/pdf","14 p.","PAM2004-2007_BENSOC","","","","Mandat 2003-2007","http://hdl.handle.net/11703/96332","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica. Política social","Sector públic. Societat i benestar","plans estratègics","Programa d'Actuació Municipal (PAM) 2004-2007 (Barcelona)","Programa d'Actuació Municipal 2004-2007: Benestar Social : els 100 compromisos per a una ciutat més inclusiva i solidària","Programa d'Actuació Municipal (PAM) 2004-2007","text",""
"","Districte 1. Ciutat Vella","","Barcelona. Districte 1. Ciutat Vella","2012. 2013. 2014. 2015. 2016. 2017. 2018","","2012","2012","","","","","","application/pdf","9 p.","","","","districtes","Mandat 2011-2015","http://hdl.handle.net/11703/85144","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Comerç. Consum (Economia)","Sector públic","plans estratègics","Pla d'Argent de Ciutat Vella 2012-2018 (Barcelona)","Pla d'Argent 2012-2018 : [Ciutat Vella]","","text",""
"","Àrea de Benestar i Cohesió Territorial. Gerència de Recursos Humans i Organització","","Barcelona","2011. 2012. 2013","","2011","2011-03","","","","","","application/pdf","121 p.","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/85068","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Igualtat entre els sexes","Societat i benestar","plans estratègics","Pla d'Igualtat de l'Ajuntament de Barcelona 2011-2013","Pla d'Igualtat de l'Ajuntament de Barcelona : document de gestió","","text",""
"","Àrea de Presidència, Règim Interior, Seguretat i Mobilitat. Districte 4. Les Corts","","Barcelona. Districte 4. Les Corts","2012. 2013. 2014. 2015","","2012","2012","","","","","","application/pdf","52 p.","","","","districtes","Mandat 2011-2015","http://hdl.handle.net/11703/85113","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica. Organització i organigrames. Política social. Política econòmica. Política pública","Sector públic","plans estratègics","Programa d'Actuació del Districte de Les Corts (PAD) 2012-2015 (Barcelona)","Programa d'Actuació del Districte de les Corts: 2012-2015: Marc Estratègic de l'Ajuntament de Barcelona","","text",""
"","Àrea de Qualitat de Vida, Igualtat i Esports","","Barcelona","2014","","2014","2014","","","","","","application/pdf","89 p.","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/85151","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Infants. Adolescents. Política de la joventut","Societat i benestar","plans estratègics","Programa Municipal per a la Infància i l'Adolescència 2013-2016 (Barcelona). Pla d'Adolescència i Joventut 2013-2016 (Barcelona)","Pla d'Adolescència i Joventut 2013-2016 : pla d'accions 2014","","text",""
"","Àrea d'Habitatge, Urbanisme i Règim Interior","","Barcelona","2008. 2009. 2010. 2011. 2012. 2013. 2014. 2015. 2016","","2005","2008","","","","","","application/pdf","73 p.","18310","","","","Mandat 2007-2011","http://hdl.handle.net/11703/86339","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Habitatge. Habitatge públic. Rehabilitació urbana","Habitatge","plans estratègics","Pla d'Habitatge de Barcelona 2008-2016","Pla d'Habitatge de Barcelona 2008-2016 [versió presentació]","PHB 2008-2016","text",""
"","Martí Carral, Izaskun. Guitart, Joan. Rull, Coloma. París, Antoni. Bayo, Laura. Comissionat d'Ecologia. Gerència Adjunta de Medi Ambient i Serveis Urbans. Direcció d'Espais Verds i Biodiversitat","Hernández Marcet, Xavier. Udina, Sara. Rodal, Héctor. Rivero, Montse. Parés, Margarida. Franquesa, Teresa. Francolí, Albert. Font, Rosendo. Casamor Maldonado, Carles","Barcelona","2017. 2018. 2019. 2020. 2021. 2022. 2023. 2024. 2025. 2026. 2027. 2028. 2029. 2030. 2031. 2032. 2033. 2034. 2035. 2036. 2037","","2017-01-27","2017-03","","Les mencions de responsabilitat s'han basat en els crèdits que ens han facilitat des de l'àrea responsable. Presentada al Consell Plenari de 27-01-2017 per la Cinquena Tinència d'Alcaldia (Àrea d'Ecologia, Urbanisme i Mobilitat). Citada a la Gaseta Municipal de Barcelona, núm. 8 (10-03-2017), p. 1855-1859","","","","application/pdf","23 p.","","","","","Mandat 2015-","http://hdl.handle.net/11703/102492","eng","Àrea d'Ecologia, Urbanisme i Mobilitat","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona. Àrea d'Ecologia Urbana","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbres en les ciutats","Medi ambient","plans estratègics. mesures de govern","Pla Director de l'Arbrat de Barcelona 2017-2037","Trees for life: Master Plan for Barcelona’s Trees: 2017 - 2037","","text",""
"","Àrea de Qualitat de Vida, Igualtat i Esports","","Barcelona","2013. 2014. 2015. 2016","","2014","2014","","","","","","application/pdf","23 p","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/85088","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Infants. Adolescents","Societat i benestar","plans estratègics","Pla Municipal per a la infància 2013-2016 (Barcelona)","Pla Municipal per a la infància : 2013-2016 : Textos de Lectura Fàcil","Programa Municipal per a la infància 2013-2016","text",""
