"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifieruri","dclanguage","dcrelation","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 36"
"","","Ajuntament de Barcelona","","Barcelona","2010","","2010-01-14","2010-01-22","","","Aprovat per Decret de l'Alcaldia de 14-01-2010","","application/pdf","","12087","","Butlletí Oficial de la Província de Barcelona, núm. 19 (22-01-2010)","","http://hdl.handle.net/11703/89301","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi 8 de març - Maria Aurèlia Capmany","Societat i benestar","premis","","Premi 8 de març -Maria Aurèlia Capmany 2010 : convocatòria","","text",""
"","","Districte 3. Sants-Montjuïc. Fundació Barcelona Comerç","","Barcelona","2017","","2017-11-16","2018-01-24","","2018-01-25","Aprovat per la Comissió de Govern de 16-11-2017.  Inclou el text íntegre de les bases","","application/pdf","4 documents","","Núm. Exp. 20172131","Aprovació inicial [inclou les Bases]: Gaseta Municipal de Barcelona (27-11-2017). Aprovació definitiva: Butlletí Oficial de la Província de Barcelona (24-01-2018). Aprovació definitiva: Gaseta Municipal de Barcelona (19-01-2018). Publicat també al Diari Oficial de la Generalitat de Catalunya, núm. 7541 (23-01-2018). Aprovació inicial [inclou les Bases]: Butlletí Oficial de la Província de Barcelona (24-11-2017)","fundacions. districtes","http://hdl.handle.net/11703/107400","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Concurs de curts de cinema i comerç BCN Shopping & Shooting. Fundació Barcelona Comerç. Curtmetratges. Comerç","Comerç. Cultura i oci","premis","","5è Concurs de curts de cinema i comerç BCN Shopping & Shooting de la Fundació Barcelona Comerç 2017 : convocatòria i bases","Premis del V Concurs de curts de cinema i comerç BCN Shopping & Shooting","text",""
"Anual","","Districte 3. Sants-Montjuïc","","Barcelona. Districte 3. Sants-Montjuïc","2017","","2017-01-19","2017-03-08","","2017-03-09","Aprovació  inicial per la Comissió de Govern de 19-01-2017. Atès que dins del termini d'informació pública de les indicades bases particulars no s'han presentat al·legacions, aquestes bases han quedat aprovades definitivament","","application/pdf","","","Núm. Exp. 20172013","Butlletí Oficial de la Província de Barcelona (08-03-2017)","districtes","http://hdl.handle.net/11703/101032","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Creació literària, artística, etc.. Certamen Literari Francesc Candel. Certàmens literaris","Cultura i oci","premis","","XXIV Certamen literari Francesc Candel  2017 :  convocatòria i bases","","text",""
"Anual","","Institut Barcelona Esports","","Barcelona","2016","","2016-07-27","2016-09-07","","2016-09-08","Aprovat pel President de l'Institut Barcelona d'Esports el 27-07-2016. Text íntegre de les bases , publicat al Butlletí Oficial de la Província de Barcelona (05-10-2015) : http://hdl.handle.net/11703/84109","","application/pdf","3 p.","","","Butlletí Oficial de la Província de Barcelona (07-09-2016)","organismes autònoms","http://hdl.handle.net/11703/98178","cat","http://hdl.handle.net/11703/84109","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Córrer per Compromís. Solidaritat. Esports","Esport. Societat i benestar. Societat i benestar","premis","","Premis Córrer per compromís 2016 : convocatòria","","text",""
"Anual","Obert","Districte 3. Sants-Montjuïc","","Barcelona. Districte 3. Sants-Montjuïc","2018","","2018-02-08","2018-04-17","","2018-04-06","Aprovació  inicial per la Comissió de Govern de 08-02-2018. Atès que dins del termini d'informació pública de les indicades bases particulars no s'han presentat al·legacions, aquestes bases han quedat aprovades definitivament","","application/pdf","4 documents","","Núm. Exp. 20182011","Aprovació inicial [inclou les Bases]: Butlletí Oficial de la Província de Barcelona (20-02-2018). Aprovació inicial [inclou les Bases]: Gaseta Municipal de Barcelona (19-02-2018). Butlletí Oficial de la Província de Barcelona (17-04-2018). Gaseta Municipal de Barcelona (05-04-2018)","districtes","http://hdl.handle.net/11703/108640","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Creació literària, artística, etc.. Certàmens literaris. Certamen Literari Francesc Candel","Cultura i oci","premis","","XXV Certamen literari Francesc Candel 2018 : convocatòria i bases","","text",""
"","","Ajuntament de Barcelona","Consell Assessor de Salut Laboral de Barcelona","Barcelona","2011","","2011-01-26","2011-02-08","","","Aprovat per Decret de l'Alcaldia de 26-01-2011","","application/pdf","","12423","","Butlletí Oficial de la Província de Barcelona (08-02-2011)","consells","http://hdl.handle.net/11703/86938","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Ignasi Fina de Salut Laboral","Ocupació. Salut","premis","","Premi Ignasi Fina de Salut Laboral 2011 : convocatòria i bases","","text",""
"","","Institut de Cultura de Barcelona","","Barcelona","2017","No","2016-10-18","2016-11-21","","2016-11-22","Aprovació inicial pel President de l'Institut de Cultura de Barcelona el 18-10-2016. No s'ha presentat cap al·legació, per tant, estan definitivament aprovades","","application/pdf","1 p.","","","Butlletí Oficial de la Província de Barcelona (21-11-2016)","entitats públiques empresarials","http://hdl.handle.net/11703/99418","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Jocs Florals de Barcelona. Jocs Florals","Cultura i oci","premis","","Premis Jocs Florals de Barcelona 2017 : convocatòria i bases","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2009","","2008-12-11","2008-12-20","","","Aprovat per Decret de l'Alcaldia de 11-12-2008","","application/pdf","","12090","","Butlletí Oficial de la Província de Barcelona, núm. 305  (20-12-2008)","","http://hdl.handle.net/11703/89303","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi 8 de març - Maria Aurèlia Capmany","Societat i benestar","premis","","Premi 8 de març -Maria Aurèlia Capmany 2009 : convocatòria","","text",""
"Anual","Obert","Districte 10. Sant Martí","","Barcelona. Districte 10. Sant Martí","2017","Si","2016-09-07","2017-09-26","","2017-09-27","Aprovades pel Consell del Districte de Sant Martí el 06-07-2016. Ratificades per resolució de l'alcaldessa el 07-09-2017","","application/pdf","2 documents","","","Gaseta Municipal de Barcelona (26-09-2017). Butlletí Oficial de la Província de Barcelona (26-09-2017)","districtes","http://hdl.handle.net/11703/105843","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premis Sant Martí. Condecoracions. Medalles. Integració social","Societat i benestar. Cultura i oci","premis","","Premis Sant Martí 2017: bases","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2011","","2011-02-21","2011-03-03","","","Aprovat per Decret de l'Alcaldia de 21-02-2011","","application/pdf","","12449","","Butlletí Oficial de la Província de Barcelona (03-03-2011)","","http://hdl.handle.net/11703/86943","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Barcelona Associacions","Societat i benestar","premis","","Premi Barcelona Associacions 2011 : convocatòria i bases","","text",""
"","","Districte 5. Sarrià-Sant Gervasi","","Barcelona. Districte 5. Sarrià-Sant Gervasi","2016","","2016-02-15","2016-02-26","","","","","application/pdf","1 p.","","","Butlletí Oficial de la Província de Barcelona (26-02-2016)","districtes","http://hdl.handle.net/11703/88421","cat","","","","","http://hdl.handle.net/11703/86518","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premis Punts de Llibre Sant Jordi. Punts de llibre. Diada de Sant Jordi","Cultura i oci","premis","","Concurs Punts de Llibre Sant Jordi 2016: convocatòria","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2009","","2009-05-12","2009-05-18","","","Aprovat per Decret de l'Alcaldia de 12-05-2009","","application/pdf","","12356","","Butlletí Oficial de la Província de Barcelona, núm. 118 (18-05-2009)","","http://hdl.handle.net/11703/89314","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Consell Municipal de Benestar Social als Mitjans de Comunicació","Societat i benestar","premis","","Premi Consell Municipal de Benestar Social als Mitjans de Comunicació 2009 : convocatòria","","text",""
"Anual","Obert","Institut Barcelona Esports","","Barcelona","2017","","2017-10-31","2017-11-06","","2017-11-07","Convocatòria aprovada pel President de l'Institut Barcelona el 31-10-2017. Aprovades inicialment pel President de l'Institut Barcelona Esports el  24-07-2017. Aprovades definitivament pel President de l'Institut Barcelona Esports el 31-10-2017","","application/pdf","2 documents","","","Aprovació inicial [inclou les Bases]: Butlletí Oficial de la Província de Barcelona (01-08-2017). Butlletí Oficial de la Província de Barcelona (06-11-2017)","organismes autònoms","http://hdl.handle.net/11703/106192","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Córrer per Compromís. Solidaritat. Esports","Esport. Societat i benestar","premis","","Premis Córrer per compromís 2017 : convocatòria i bases","","text",""
"","","Institut de Cultura de Barcelona","","Barcelona","2014","","2013-09-02","2013-10-17","","","De conformitat amb el Decret de Presidència de l'Institut de Cultura de Barcelona de data 2 de setembre de 2013, s'exposen al públic les bases que regulen els premis ""Jocs Florals de Barcelona 2014""","","application/pdf","","12063","","Butlletí Oficial de la Província de Barcelona (17-10-2013)","entitats públiques empresarials","http://hdl.handle.net/11703/86920","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Jocs Florals de Barcelona. Jocs Florals","Cultura i oci","premis","","Premis Jocs Florals de Barcelona 2014: convocatòria","","text",""
"","","Institut Barcelona Esports","","Barcelona","2014","","2014-04-02","2014-04-09","","","Aprovada per la Presidenta de l'Institut Barcelona Esports el 02-04-2014","","application/pdf","","13385","","Butlletí Oficial de la Província de Barcelona (09-04-2014)","organismes autònoms","http://hdl.handle.net/11703/86958","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Joan Serra a la dansa educativa","Educació. Cultura i oci","premis","","Premi Joan Serra a la dansa educativa 2014 : convocatòria","","text",""
"Anual","Obert","Districte 4. Les Corts","","Barcelona. Districte 4. Les Corts","2016","Si","2016-06-16","2016-06-20","","2016-06-21","Aprovat per la Comissió de Govern de 16-06-2016","","application/pdf","2 p.","","Exp. U13-2016-0003","Butlletí Oficial de la Província de Barcelona (20-06--2016)","districtes","http://hdl.handle.net/11703/97473","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Concursos. Premis. Festes majors. Concurs de Cartells de la Festa Major de les Corts","Cultura i oci","premis","","Concurs de Cartells de la Festa Major del Districte de les Corts 2016: convocatòria i bases","","text",""
"Anual","","Ajuntament de Barcelona","","Barcelona","2017","No","2016-10-06","2016-10-27","","2016-10-28","Aprovat per la Comissió de Govern de 06-10-2016","","application/pdf","7 p.","","","Butlletí Oficial de la Província de Barcelona (27-10-2016)","","http://hdl.handle.net/11703/98712","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Barcelona VisualSound. Festival Barcelona VisualSound. Audiovisuals. Joves. Creativitat","Cultura i oci","premis","","Premi Barcelona Visualsound, Festival audiovisual de creació jove 2017: convocatòria i bases","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2013","","2013-04-12","2013-05-09","","","Aprovat per Decret de l'Alcaldia de 12-04-2013","","application/pdf","","11110","","Butlletí Oficial de la Província de Barcelona (09-05-2013)","","http://hdl.handle.net/11703/86912","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Benestar Social i Comunicació","Ciència i tecnologia. Societat i benestar","premis","","Premi Benestar Social i Comunicació 2013 : bases","","text",""
"","","Institut Barcelona Esports","","Barcelona","2007","No","2008-07-29","2008-09-09","","","Aprovat per resolució del president de l'Institut Barcelona Esports el 29-07-2008","","application/pdf","","","12372","Butlletí Oficial de la Província de Barcelona, núm. 217 (09-09-2008)","organismes autònoms","http://hdl.handle.net/11703/89316","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Dona i Esport","Esport","premis","","Premi Dona i Esport ""Mireia Tapiador"" 2007 : convocatòria","","text",""
"","","Institut de Cultura de Barcelona. Museu del Disseny de Barcelona","","Barcelona","2016","","2016-09-02","2016-10-10","","2016-10-11","Aprovades pel President de l'Institut de Cultura de Barcelona el 02-09-2016","","application/pdf","2 p.","","","Butlletí Oficial de la Província de Barcelona (10-10-2016)","entitats públiques empresarials","http://hdl.handle.net/11703/98458","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Xarxes socials. Concursos","Cultura i oci. Ciència i tecnologia","premis","","Concursos convocats pel Museu del Disseny de Barcelona i el Disseny Hub Barcelona a les seves xarxes socials 2016 : bases","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2015","","2014-11-20","2014-12-05","","","Aprovada pel Gerent de Qualitat de Vida, Igualtat i Esports el 20-11-2014","","application/pdf","","17239","","Butlletí Oficial de la Província de Barcelona (05-12-2014)","","http://hdl.handle.net/11703/86970","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Barcelona VisualSound. Festival Barcelona VisualSound. Audiovisuals. Joves. Creativitat","Ciència i tecnologia","premis","","Premi Barcelona Visualsound, Festival audiovisual de creació jove 2015 : convocatòria","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2012","","2012-11-16","2012-11-27","","","Aprovat pel gerent de Qualitat de vida, Igualtat i Esports el 16-11-2012","","application/pdf","","13314","","Butlletí Oficial de la Província de Barcelona (27-11-2012)","","http://hdl.handle.net/11703/86917","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Barcelona Empresa Innovadora en Conciliació i Temps. Conciliació de la vida personal i laboral. Empreses","Ocupació","premis","","Premi Barcelona a l'Empresa Innovadora en Conciliació i Temps 2012 : convocatòria i bases","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2015","","2015-01-14","2015-01-22","","","Aprovat per Decret de l'Alcaldia de 14-01-2015","","application/pdf","","17588","","Butlletí Oficial de la Província de Barcelona (22-01-2015)","","http://hdl.handle.net/11703/86972","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi 8 de març - Maria Aurèlia Capmany","Societat i benestar","premis","","Premi 8 de març -Maria Aurèlia Capmany 2015 : convocatòria","","text",""
"","","Institut de Cultura de Barcelona","","Barcelona","2017","","2017-08-03","2017-08-14","","2017-08-15","Podeu consultar un fulletó amb les bases del concurs a: http://hdl.handle.net/11703/106761. Aprovació inicial pel President de l'Institut de Cultura de Barcelona el 03-08-2017.  No s'ha presentat cap al·legació, per tant, està definitivament aprovada","","application/pdf","1 p.","","","Butlletí Oficial de la Província de Barcelona (14-08-2017)","entitats públiques empresarials","http://hdl.handle.net/11703/106646","cat","http://hdl.handle.net/11703/106761","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Festes de la Mercè (Barcelona). Concurs Fotomercè","Ciència i tecnologia. Cultura i oci","premis","","Concurs Fotomercè 2017 : convocatòria","","text",""
"","","Àrea de Qualitat de Vida, Igualtat i Esports","","Barcelona","2015","","2015-01-14","2015-01-22","","2015-01-23","Aprovat per Decret de l'Alcaldia de 14-01-2015","","application/pdf","6 p.","17589","","Butlletí Oficial de la Província de Barcelona (22-01-2015)","","http://hdl.handle.net/11703/86973","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premis Brot. Festival Brot (Barcelona). Festivals de música","Cultura i oci","premis","","Premis El Brot 2015 : convocatòria i bases","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2014","","2014-01-20","2014-02-03","","","Aprovada pel Gerent de Qualitat de Vida, Igualtat i Esports el 20-01-2014","","application/pdf","","12902","","Butlletí Oficial de la Província de Barcelona (03-02-2014)","","http://hdl.handle.net/11703/86956","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi 8 de març - Maria Aurèlia Capmany","Societat i benestar","premis","","Premi 8 de març -Maria Aurèlia Capmany 2014 : convocatòria","","text",""
"","","Districte 3. Sants-Montjuïc","","Barcelona. Districte 3. Sants-Montjuïc","2017","Si","2017-03-23","2017-04-06","","2017-04-07","No s'ha presentat cap al·legació, per tant, estan definitivament aprovades","","application/pdf","4 p.","","Núm. Exp. 20172039","Butlletí Oficial de la Província de Barcelona (06-04-2017). Publicat també a la Gaseta Municipal de Barcelona (16-05-2017)","districtes","http://hdl.handle.net/11703/102246","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Concurs Fotogràfic Francesc Boix. Fotografia","Cultura i oci","premis","","Concurs Fotogràfic Francesc Boix 2017 : bases","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2007","","2007-07-13","2007-07-19","","","Aprovades per DA de 13-07-2007","","application/pdf","","12441","","Butlletí Oficial de la Província de Barcelona, núm. 172 (19-07-2007)","","http://hdl.handle.net/11703/89332","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Concurs Fotoweb","Cultura i oci","premis","","Concurs Fotoweb a través de la web de l'Ajuntament de Barcelona 2007 : bases","","text",""
"Anual","","Institut Barcelona Esports","","Barcelona","2017","Si","2017-03-22","2017-04-07","","2017-05-24","Bases aprovades inicialment per la Presidència de l'Institut Barcelona Esports el 22-03-2017. No s'ha presentat cap al·legació, per tant, estan definitivament aprovades. Convocatòria aprovada per la Presidència de l'Institut Barcelona Esports el  19-05-2017","","application/pdf","","","","Aprovació inicial [inclou les Bases]: Butlletí Oficial de la Província de Barcelona (07-04-2017). Butlletí Oficial de la Província de Barcelona (23-05 -2017)","organismes autònoms","http://hdl.handle.net/11703/102348","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premis compta fins a tres. Competicions esportives. Esports escolars","Esport. Educació","premis","","Premis Compta fins a tres 2017 : convocatòria i bases","","text",""
"","","Institut de Cultura de Barcelona","","Barcelona","2017","Si","2016-10-25","2016-12-30","","2016-12-31","Aprovat per la Presidència de l'Institut de Cultura el 25-10-2016 i i pel decret del president de 16-12-2016","","application/pdf","5 p.","","","Butlletí Oficial de la Província de Barcelona (30-12-2016)","entitats públiques empresarials","http://hdl.handle.net/11703/99589","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Literatura. Premi Montserrat Roig","Cultura i oci","premis","Barcelona Ciutat de la Literatura 2015-","Premis Montserrat Roig 2017: convocatòria","","text",""
"","","Institut Barcelona Esports","","Barcelona","2010","No","2011-09-15","2011-09-29","","","Aprovat per resolució del president de l'Institut Barcelona Esports el 15-09-2011","","application/pdf","","","12379","Butlletí Oficial de la Província de Barcelona (29-09-2011)","organismes autònoms","http://hdl.handle.net/11703/86934","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Dona i Esport","Esport","premis","","Premi Dona i Esport ""Mireia Tapiador"" 2010 : convocatòria","","text",""
"","","Ajuntament de Barcelona","Consell Assessor de Salut Laboral de Barcelona","Barcelona","2013","No","2013-04-08","2013-04-26","","2013-04-27","Aprovat pel Gerent de Qualitat de Vida, Igualtat i Esports el 08-04-2013","","application/pdf","3 p.","","","Butlletí Oficial de la Província de Barcelona (26-04-2013)","consells","http://hdl.handle.net/11703/98763","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Ignasi Fina de Salut Laboral","Salut. Ocupació","premis","","Premi Ignasi Fina de Salut Laboral 2013 : convocatòria i bases","","text",""
"","","Institut de Cultura de Barcelona","","Barcelona","2013","","2012-11-28","2013-11-25","","","Aprovada per decret de Presidència de l'Institut de Cultura de Barcelona el 28-11-2012","","application/pdf","","12426","","Butlletí Oficial de la Província de Barcelona (25-11-2013)","entitats públiques empresarials","http://hdl.handle.net/11703/86940","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Certamen BCN Producció","Cultura i oci","premis","","Certamen BCN Producció 2013 : convocatòria","","text",""
"","","Àrea de Drets Socials","","Barcelona","2016","","2015-12-21","2015-12-30","","2015-12-31","Aprovades pel Gerent de Drets Socials el 21-12-2015","","application/pdf","6 p.","","","Butlletí Oficial de la Província de Barcelona (30-12-2015)","","http://hdl.handle.net/11703/86391","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premis Brot. Festival Brot (Barcelona). Festivals de música","Cultura i oci","premis","","Premis El Brot 2016 : convocatòria i bases","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2011","","2011-06-30","2011-07-29","","","Aprovat per Decret de l'Alcaldia de 30-06-2011","","application/pdf","","12477","","Butlletí Oficial de la Província de Barcelona (29-07-2011)","","http://hdl.handle.net/11703/86948","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Consell Municipal d'Immigració de Barcelona","Demografia","premis","","Premi Consell Municipal d'Immigració de Barcelona 2011 : convocatòria i bases","","text",""
