"dccontributorauthor","dccoveragespatial","dcdatecreated","dcdateissued","dcdescription","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierab","dcidentifieruri","dclanguage","dcrelationisrequiredby","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dctitle","dctype","Unnamed: 22"
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-11-28","2017-11-28","","","application/pdf","1 p.","Núm. Exp. 0030/17","http://hdl.handle.net/11703/108245","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Bugaderia","Comerç","laudes","Laude 0030/2017 sobre un procés de neteja controvertit","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-02-02","2017-02-02","Corregeix el laude de 12-01-2017 [http://hdl.handle.net/11703/104923]","","application/pdf","2 p.","Núm. Exp. 0799/16","http://hdl.handle.net/11703/104924","cas","http://hdl.handle.net/11703/104923","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Ferrocarrils. Garantia de qualitat","Comerç","laudes","Laudo 0799/2016 sobre unos billetes de tren : corrección [2017-02-02]","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-09-27","2016-09-27","","","application/pdf","1 p.","Núm. Exp. 0312/16","http://hdl.handle.net/11703/99607","cas","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Contractes de serveis","Comerç","laudes","Laudo 0312/2016 sobre un contrato de enseñanza","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-04-14","2016-04-14","","","application/pdf","1 p.","Núm. Exp. 1470/15","http://hdl.handle.net/11703/98662","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia mòbil","Comerç","laudes","Laude 1470/2015 sobre un compromís de permanència","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-03-09","2017-03-09","","","application/pdf","1 p.","Núm. Exp. 0508/16","http://hdl.handle.net/11703/104951","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Contractes de serveis","Comerç","laudes","Laude 0508/2016 sobre acordar la inhibició","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-07-12","2016-07-12","Complementat pel laude de 04-10-2016 [http://hdl.handle.net/11703/99523]","","application/pdf","1 p.","Núm. Exp. 0202/16","http://hdl.handle.net/11703/99522","cas","","http://hdl.handle.net/11703/99523","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Contractes de serveis. Telefonia mòbil. Telefonia per internet","Comerç","laudes","Laudo 0202/2016 sobre unas línias contratadas","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-03-31","2016-03-31","","","application/pdf","1 p.","Núm. Exp. 2167/14","http://hdl.handle.net/11703/98322","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Contractes de serveis","Comerç","laudes","Laude 2167/2014 sobre la compra d'uns títols de transport","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-11-14","2017-11-14","","","application/pdf","1 p.","Núm. Exp. 0354/17","http://hdl.handle.net/11703/108054","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Productes defectuosos","Comerç","laudes","Laude 0354/2017 sobre uns aires acondicionats","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-11-28","2017-11-28","Modifica el laude de 25-10-2017 [http://hdl.handle.net/11703/108015]","","application/pdf","2 p.","Núm. Exp. 1602/16","http://hdl.handle.net/11703/108119","cat","http://hdl.handle.net/11703/108015","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia mòbil. Factures","Comerç","laudes","Laude 1602/2016 sobre uns serveis roaming : correcció [2017-11-28]","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-05-10","2016-05-10","","","application/pdf","1 p.","Núm. Exp. 1807/15","http://hdl.handle.net/11703/98796","cas","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Contractes de serveis","Comerç","laudes","Laudo 1807/2015 sobre una contratación controvertida","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-10-04","2016-10-04","","","application/pdf","1 p.","Núm. Exp. 0741/16","http://hdl.handle.net/11703/99631","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Motocicletes","Comerç","laudes","Laude 0741/2016 sobre l'avaria d'una moto","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-05-18","2016-05-18","","","application/pdf","1 p.","Núm. Exp. 1543/15","http://hdl.handle.net/11703/99026","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia mòbil","Comerç","laudes","Laude 1543/2015 sobre la fiança associada a un terminal de substitució","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-04-11","2016-04-11","","","application/pdf","1 p.","Núm. Exp. 1956/15","http://hdl.handle.net/11703/98643","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Productes defectuosos","Comerç","laudes","Laude 1956/2015 sobre els arranjaments d'un parquet","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-05-10","2016-05-10","","","application/pdf","1 p.","Núm. Exp. 1937/15","http://hdl.handle.net/11703/98794","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Contractes de serveis. Telefonia per internet","Comerç","laudes","Laude 1937/2015 sobre uns serveis contractats i unes factures controvertides","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-01-12","2016-01-12","","","application/pdf","1p.","Núm. Exp. 1346/15","http://hdl.handle.net/11703/97456","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude","Comerç","laudes","Laude 1346/2015","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-07-05","2016-07-05","","","application/pdf","1 p.","Núm. exp. 0329/16","http://hdl.handle.net/11703/99241","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Bugaderia","Comerç","laudes","Laude 0329/2016 sobre el procés de neteja d'un abric","text",""
